.HEADER
..NAMES
Time,V U3.H3
.DATA
4.07704e-008,0.3450
4.08128e-008,0.2845
4.08553e-008,0.2434
4.08977e-008,0.2249
4.09401e-008,0.2129
4.09825e-008,0.2075
4.10250e-008,0.2051
4.10674e-008,0.2026
4.11098e-008,0.2043
4.11523e-008,0.2035
4.11947e-008,0.2037
4.12371e-008,0.2109
4.12795e-008,0.2196
4.13220e-008,0.2161
4.13644e-008,0.1933
4.14068e-008,0.1911
4.14492e-008,0.2050
4.14916e-008,0.3123
4.15341e-008,0.4835
4.15765e-008,0.6498
4.16189e-008,0.8351
4.16614e-008,0.9668
4.17038e-008,1.0724
4.17462e-008,1.1453
4.17886e-008,1.1980
4.18311e-008,1.2278
4.18735e-008,1.2478
4.19159e-008,1.2585
4.19583e-008,1.2635
4.20007e-008,1.2674
4.20432e-008,1.2698
4.20856e-008,1.2715
4.21280e-008,1.2695
4.21704e-008,1.2637
4.22129e-008,1.2605
4.22553e-008,1.2588
4.22977e-008,1.2733
4.23402e-008,1.2805
4.23826e-008,1.2803
4.24250e-008,1.2783
4.24674e-008,1.2687
4.25098e-008,1.2611
4.25523e-008,1.2570
4.25947e-008,1.2546
4.26371e-008,1.2528
4.26795e-008,1.2535
4.27220e-008,1.2536
4.27644e-008,1.2543
4.28068e-008,1.2555
4.28493e-008,1.2560
4.28917e-008,1.2570
4.29341e-008,1.2569
4.29765e-008,1.2562
4.30190e-008,1.2558
4.30614e-008,1.2571
4.31038e-008,1.2602
4.31462e-008,1.2594
4.31886e-008,1.2581
4.32311e-008,1.2572
4.32735e-008,1.2560
4.33159e-008,1.2488
4.33584e-008,1.1536
4.34008e-008,0.9675
4.34432e-008,0.8258
4.34856e-008,0.6453
4.35281e-008,0.4955
4.35705e-008,0.3921
4.36129e-008,0.3217
4.36553e-008,0.2665
4.36977e-008,0.2397
4.37402e-008,0.2216
4.37826e-008,0.2124
4.38250e-008,0.2079
4.38675e-008,0.2058
4.39099e-008,0.2065
4.39523e-008,0.2074
4.39947e-008,0.2045
4.40372e-008,0.2068
4.40796e-008,0.2146
4.41220e-008,0.2203
4.41644e-008,0.2042
4.42068e-008,0.1945
4.42493e-008,0.2005
4.42917e-008,0.1979
4.43341e-008,0.2036
4.43765e-008,0.2150
4.44190e-008,0.2200
4.44614e-008,0.2222
4.45038e-008,0.2260
4.45463e-008,0.2258
4.45887e-008,0.2253
4.46311e-008,0.2248
4.46735e-008,0.2241
4.47160e-008,0.2247
4.47584e-008,0.2237
4.48008e-008,0.2217
4.48432e-008,0.2229
4.48856e-008,0.2253
4.49281e-008,0.2240
4.49705e-008,0.2195
4.50129e-008,0.2207
4.50554e-008,0.2228
4.50978e-008,0.2218
4.51402e-008,0.2233
