.HEADER
..NAMES
Time,V U2.P3
.DATA
3.64185e-008,1.2111
3.64644e-008,1.1359
3.65104e-008,1.0301
3.65563e-008,0.9102
3.66022e-008,0.7492
3.66481e-008,0.5885
3.66941e-008,0.4536
3.67400e-008,0.3645
3.67859e-008,0.3183
3.68318e-008,0.3019
3.68778e-008,0.2999
3.69237e-008,0.3047
3.69696e-008,0.3015
3.70155e-008,0.2839
3.70615e-008,0.2585
3.71074e-008,0.2335
3.71533e-008,0.2186
3.71992e-008,0.2148
3.72452e-008,0.2226
3.72911e-008,0.2416
3.73370e-008,0.2615
3.73830e-008,0.2738
3.74289e-008,0.2736
3.74748e-008,0.2645
3.75207e-008,0.2509
3.75667e-008,0.2347
3.76126e-008,0.2254
3.76585e-008,0.2251
3.77044e-008,0.2341
3.77504e-008,0.2461
3.77963e-008,0.2559
3.78422e-008,0.2609
3.78881e-008,0.2598
3.79341e-008,0.2538
3.79800e-008,0.2480
3.80259e-008,0.2465
3.80718e-008,0.2492
3.81178e-008,0.2557
3.81637e-008,0.2624
3.82096e-008,0.2663
3.82555e-008,0.2664
3.83015e-008,0.2613
3.83474e-008,0.2532
3.83933e-008,0.2458
3.84392e-008,0.2416
3.84852e-008,0.2417
3.85311e-008,0.2453
3.85770e-008,0.2516
3.86229e-008,0.2578
3.86689e-008,0.2615
3.87148e-008,0.2611
3.87607e-008,0.2570
3.88066e-008,0.2510
3.88526e-008,0.2455
3.88985e-008,0.2428
3.89444e-008,0.2441
3.89903e-008,0.2486
3.90363e-008,0.2540
3.90822e-008,0.2580
3.91281e-008,0.2590
3.91740e-008,0.2569
3.92199e-008,0.2527
3.92659e-008,0.2481
3.93118e-008,0.2452
3.93577e-008,0.2450
3.94036e-008,0.2472
3.94496e-008,0.2506
3.94955e-008,0.2537
3.95414e-008,0.2554
3.95873e-008,0.2550
3.96333e-008,0.2530
3.96792e-008,0.2503
3.97251e-008,0.2481
3.97710e-008,0.2472
3.98170e-008,0.2477
3.98629e-008,0.2495
3.99088e-008,0.2517
3.99547e-008,0.2534
4.00007e-008,0.2538
4.00466e-008,0.2527
4.00925e-008,0.2508
