.HEADER
..NAMES
Time,V U3.A3
.DATA
3.06309e-008,0.2247
3.06733e-008,0.2139
3.07157e-008,0.2145
3.07581e-008,0.2075
3.08005e-008,0.2049
3.08430e-008,0.2024
3.08854e-008,0.1987
3.09278e-008,0.2023
3.09702e-008,0.2152
3.10127e-008,0.2250
3.10551e-008,0.2081
3.10975e-008,0.1873
3.11400e-008,0.1938
3.11824e-008,0.1984
3.12248e-008,0.2028
3.12672e-008,0.2126
3.13096e-008,0.2171
3.13521e-008,0.2206
3.13945e-008,0.2255
3.14369e-008,0.2276
3.14793e-008,0.2254
3.15218e-008,0.2252
3.15642e-008,0.2234
3.16066e-008,0.2217
3.16491e-008,0.2229
3.16915e-008,0.2213
3.17339e-008,0.2215
3.17763e-008,0.2252
3.18188e-008,0.2275
3.18612e-008,0.2222
3.19036e-008,0.2170
3.19460e-008,0.2205
3.19884e-008,0.2233
3.20309e-008,0.2232
3.20733e-008,0.2238
3.21157e-008,0.2228
3.21582e-008,0.2217
3.22006e-008,0.2224
3.22430e-008,0.2223
3.22854e-008,0.2211
3.23279e-008,0.2211
3.23703e-008,0.2210
3.24127e-008,0.2208
3.24551e-008,0.2218
3.24975e-008,0.2214
3.25400e-008,0.2209
3.25824e-008,0.2221
3.26248e-008,0.2227
3.26672e-008,0.2210
3.27097e-008,0.2196
3.27521e-008,0.2210
3.27945e-008,0.2221
3.28370e-008,0.2217
3.28794e-008,0.2215
3.29218e-008,0.2210
3.29642e-008,0.2208
3.30066e-008,0.2213
3.30491e-008,0.2214
3.30915e-008,0.2210
3.31339e-008,0.2210
3.31763e-008,0.2211
3.32188e-008,0.2210
3.32612e-008,0.2213
3.33036e-008,0.2211
3.33461e-008,0.2208
3.33885e-008,0.2212
3.34309e-008,0.2214
3.34733e-008,0.2208
3.35158e-008,0.2204
3.35582e-008,0.2210
3.36006e-008,0.2213
3.36430e-008,0.2211
3.36854e-008,0.2209
3.37279e-008,0.2207
3.37703e-008,0.2207
3.38127e-008,0.2210
3.38552e-008,0.2210
3.38976e-008,0.2208
3.39400e-008,0.2208
3.39824e-008,0.2208
3.40249e-008,0.2208
3.40673e-008,0.2209
3.41097e-008,0.2208
3.41521e-008,0.2206
3.41945e-008,0.2208
3.42370e-008,0.2209
3.42794e-008,0.2207
3.43218e-008,0.2206
3.43643e-008,0.2207
3.44067e-008,0.2208
3.44491e-008,0.2207
3.44915e-008,0.2207
3.45340e-008,0.2206
3.45764e-008,0.2206
3.46188e-008,0.2207
3.46612e-008,0.2207
3.47036e-008,0.2206
3.47461e-008,0.2206
3.47885e-008,0.2206
3.48309e-008,0.2206
3.48733e-008,0.2206
3.49158e-008,0.2206
3.49582e-008,0.2205
3.50006e-008,0.2206
3.50431e-008,0.2206
3.50855e-008,0.2206
3.51279e-008,0.2205
3.51703e-008,0.2206
3.52128e-008,0.2206
3.52552e-008,0.2205
3.52976e-008,0.2205
3.53400e-008,0.2205
3.53824e-008,0.2205
3.54249e-008,0.2205
3.54673e-008,0.2205
3.55097e-008,0.2205
3.55522e-008,0.2205
3.55946e-008,0.2205
3.56370e-008,0.2205
3.56794e-008,0.2205
3.57219e-008,0.2205
3.57643e-008,0.2204
3.58067e-008,0.2206
3.58491e-008,0.2515
3.58915e-008,0.3870
3.59340e-008,0.5334
