.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
2.20186e-008,1.2784
2.20610e-008,1.2752
2.21034e-008,1.2759
2.21458e-008,1.2827
2.21883e-008,1.2755
2.22307e-008,1.2221
2.22731e-008,1.0367
2.23156e-008,0.8231
2.23580e-008,0.6644
2.24004e-008,0.5284
2.24428e-008,0.4208
2.24852e-008,0.3488
2.25277e-008,0.2912
2.25701e-008,0.2539
2.26125e-008,0.2324
2.26549e-008,0.2205
2.26974e-008,0.2151
2.27398e-008,0.2140
2.27822e-008,0.2119
2.28247e-008,0.2124
2.28671e-008,0.2093
2.29095e-008,0.2018
2.29519e-008,0.1941
2.29943e-008,0.1958
2.30368e-008,0.1991
2.30792e-008,0.1918
2.31216e-008,0.1927
2.31641e-008,0.2268
2.32065e-008,0.3654
2.32489e-008,0.5462
2.32913e-008,0.7098
2.33338e-008,0.8665
2.33762e-008,0.9790
2.34186e-008,1.0588
2.34610e-008,1.1308
2.35034e-008,1.1822
2.35459e-008,1.2157
2.35883e-008,1.2353
2.36307e-008,1.2470
2.36732e-008,1.2549
2.37156e-008,1.2610
2.37580e-008,1.2612
2.38004e-008,1.2644
2.38428e-008,1.2731
2.38853e-008,1.2792
2.39277e-008,1.2773
2.39701e-008,1.2757
2.40126e-008,1.2828
2.40550e-008,1.2791
2.40974e-008,1.2416
2.41398e-008,1.0820
2.41823e-008,0.8593
2.42247e-008,0.6935
2.42671e-008,0.5528
2.43095e-008,0.4386
2.43519e-008,0.3612
2.43944e-008,0.3007
2.44368e-008,0.2600
2.44792e-008,0.2360
2.45217e-008,0.2227
2.45641e-008,0.2146
2.46065e-008,0.2111
2.46489e-008,0.2085
2.46913e-008,0.2092
2.47338e-008,0.2076
2.47762e-008,0.2010
2.48186e-008,0.1939
2.48611e-008,0.1935
2.49035e-008,0.1981
2.49459e-008,0.1924
2.49883e-008,0.1905
2.50308e-008,0.2137
2.50732e-008,0.3297
2.51156e-008,0.5136
2.51580e-008,0.6771
2.52004e-008,0.8392
2.52429e-008,0.9606
2.52853e-008,1.0441
2.53277e-008,1.1178
2.53702e-008,1.1731
2.54126e-008,1.2099
2.54550e-008,1.2323
2.54974e-008,1.2461
2.55398e-008,1.2539
2.55823e-008,1.2609
2.56247e-008,1.2619
2.56671e-008,1.2634
2.57096e-008,1.2714
2.57520e-008,1.2786
2.57944e-008,1.2784
2.58368e-008,1.2751
2.58793e-008,1.2817
2.59217e-008,1.2812
2.59641e-008,1.2553
2.60065e-008,1.1242
2.60489e-008,0.8985
2.60914e-008,0.7232
2.61338e-008,0.5784
2.61762e-008,0.4582
2.62187e-008,0.3743
2.62611e-008,0.3114
2.63035e-008,0.2665
2.63459e-008,0.2395
2.63883e-008,0.2248
2.64308e-008,0.2154
2.64732e-008,0.2117
2.65156e-008,0.2087
2.65580e-008,0.2089
2.66005e-008,0.2085
2.66429e-008,0.2024
2.66853e-008,0.1951
2.67278e-008,0.1925
2.67702e-008,0.1979
2.68126e-008,0.1940
2.68550e-008,0.1896
2.68974e-008,0.2050
2.69399e-008,0.2972
2.69823e-008,0.4793
2.70247e-008,0.6446
2.70672e-008,0.8097
2.71096e-008,0.9403
2.71520e-008,1.0293
2.71944e-008,1.1041
2.72368e-008,1.1641
2.72793e-008,1.2040
2.73217e-008,1.2287
2.73641e-008,1.2441
2.74065e-008,1.2524
2.74490e-008,1.2599
2.74914e-008,1.2620
2.75338e-008,1.2625
2.75763e-008,1.2697
2.76187e-008,1.2775
2.76611e-008,1.2792
2.77035e-008,1.2750
2.77459e-008,1.2802
2.77884e-008,1.2826
2.78308e-008,1.2645
2.78732e-008,1.1617
2.79157e-008,0.9407
2.79581e-008,0.7537
2.80005e-008,0.6049
2.80429e-008,0.4793
2.80854e-008,0.3878
2.81278e-008,0.3228
2.81702e-008,0.2736
2.82126e-008,0.2436
2.82550e-008,0.2271
2.82975e-008,0.2167
2.83399e-008,0.2123
2.83823e-008,0.2091
2.84248e-008,0.2086
2.84672e-008,0.2090
2.85096e-008,0.2038
2.85520e-008,0.1965
2.85944e-008,0.1921
2.86369e-008,0.1971
2.86793e-008,0.1955
2.87217e-008,0.1894
2.87642e-008,0.1992
2.88066e-008,0.2689
2.88490e-008,0.4433
2.88914e-008,0.6127
2.89339e-008,0.7787
2.89763e-008,0.9185
2.90187e-008,1.0141
2.90611e-008,1.0896
2.91035e-008,1.1542
2.91460e-008,1.1974
2.91884e-008,1.2247
2.92308e-008,1.2418
2.92733e-008,1.2500
2.93157e-008,1.2564
2.93581e-008,1.2596
2.94005e-008,1.2591
2.94429e-008,1.2655
2.94854e-008,1.2743
2.95278e-008,1.2784
2.95702e-008,1.2742
2.96127e-008,1.2775
2.96551e-008,1.2826
2.96975e-008,1.2704
2.97399e-008,1.1935
2.97824e-008,0.9856
2.98248e-008,0.7856
2.98672e-008,0.6326
2.99096e-008,0.5019
2.99521e-008,0.4027
2.99945e-008,0.3349
3.00369e-008,0.2814
3.00793e-008,0.2478
3.01218e-008,0.2294
3.01642e-008,0.2185
3.02066e-008,0.2148
3.02490e-008,0.2134
3.02914e-008,0.2116
3.03339e-008,0.2122
3.03763e-008,0.2078
3.04187e-008,0.1999
3.04612e-008,0.1933
3.05036e-008,0.1971
3.05460e-008,0.1979
3.05884e-008,0.1905
3.06309e-008,0.1956
3.06733e-008,0.2459
3.07157e-008,0.4060
3.07581e-008,0.5810
3.08005e-008,0.7461
3.08430e-008,0.8946
3.08854e-008,0.9980
3.09278e-008,1.0749
3.09702e-008,1.1437
3.10127e-008,1.1909
3.10551e-008,1.2206
3.10975e-008,1.2384
3.11400e-008,1.2486
3.11824e-008,1.2565
3.12248e-008,1.2613
3.12672e-008,1.2612
3.13096e-008,1.2661
3.13521e-008,1.2747
3.13945e-008,1.2796
3.14369e-008,1.2761
3.14793e-008,1.2769
3.15218e-008,1.2833
3.15642e-008,1.2755
3.16066e-008,1.2198
3.16491e-008,1.0317
3.16915e-008,0.8191
3.17339e-008,0.6609
3.17763e-008,0.5253
3.18188e-008,0.4186
3.18612e-008,0.3470
3.19036e-008,0.2899
3.19460e-008,0.2534
3.19884e-008,0.2325
3.20309e-008,0.2202
3.20733e-008,0.2136
3.21157e-008,0.2103
3.21582e-008,0.2083
3.22006e-008,0.2093
3.22430e-008,0.2063
3.22854e-008,0.1994
3.23279e-008,0.1927
3.23703e-008,0.1947
3.24127e-008,0.1977
3.24551e-008,0.1908
3.24975e-008,0.1924
3.25400e-008,0.2276
3.25824e-008,0.3687
3.26248e-008,0.5495
3.26672e-008,0.7135
3.27097e-008,0.8694
3.27521e-008,0.9810
3.27945e-008,1.0603
3.28370e-008,1.1319
3.28794e-008,1.1824
3.29218e-008,1.2156
3.29642e-008,1.2360
3.30066e-008,1.2479
3.30491e-008,1.2556
3.30915e-008,1.2615
3.31339e-008,1.2616
3.31763e-008,1.2647
3.32188e-008,1.2732
3.32612e-008,1.2793
3.33036e-008,1.2772
3.33461e-008,1.2758
3.33885e-008,1.2828
3.34309e-008,1.2787
3.34733e-008,1.2394
3.35158e-008,1.0769
3.35582e-008,0.8549
3.36006e-008,0.6899
3.36430e-008,0.5498
3.36854e-008,0.4363
3.37279e-008,0.3597
3.37703e-008,0.2996
3.38127e-008,0.2593
3.38552e-008,0.2355
3.38976e-008,0.2222
3.39400e-008,0.2140
3.39824e-008,0.2091
3.40249e-008,0.2060
3.40673e-008,0.2064
3.41097e-008,0.2048
3.41521e-008,0.1985
3.41945e-008,0.1921
3.42370e-008,0.1922
3.42794e-008,0.1969
3.43218e-008,0.1913
3.43643e-008,0.1899
3.44067e-008,0.2140
3.44491e-008,0.3326
3.44915e-008,0.5169
3.45340e-008,0.6807
3.45764e-008,0.8423
3.46188e-008,0.9627
3.46612e-008,1.0457
3.47036e-008,1.1192
3.47461e-008,1.1738
3.47885e-008,1.2100
3.48309e-008,1.2326
3.48733e-008,1.2465
3.49158e-008,1.2546
3.49582e-008,1.2615
3.50006e-008,1.2623
3.50431e-008,1.2637
3.50855e-008,1.2717
3.51279e-008,1.2787
3.51703e-008,1.2784
3.52128e-008,1.2752
3.52552e-008,1.2818
3.52976e-008,1.2809
3.53400e-008,1.2536
3.53824e-008,1.1194
3.54249e-008,0.8937
3.54673e-008,0.7196
3.55097e-008,0.5753
3.55522e-008,0.4557
3.55946e-008,0.3726
3.56370e-008,0.3102
3.56794e-008,0.2658
3.57219e-008,0.2390
3.57643e-008,0.2244
3.58067e-008,0.2154
3.58491e-008,0.2135
3.58915e-008,0.2115
3.59340e-008,0.2113
3.59764e-008,0.2109
3.60188e-008,0.2047
3.60613e-008,0.1964
3.61037e-008,0.1935
3.61461e-008,0.1990
3.61885e-008,0.1946
3.62310e-008,0.1901
3.62734e-008,0.2062
3.63158e-008,0.3003
3.63582e-008,0.4827
3.64006e-008,0.6477
3.64431e-008,0.8126
3.64855e-008,0.9422
3.65279e-008,1.0307
3.65703e-008,1.1053
3.66128e-008,1.1652
3.66552e-008,1.2052
3.66976e-008,1.2290
3.67401e-008,1.2437
3.67825e-008,1.2519
3.68249e-008,1.2593
3.68673e-008,1.2613
3.69097e-008,1.2621
3.69522e-008,1.2697
3.69946e-008,1.2774
3.70370e-008,1.2790
3.70794e-008,1.2748
3.71219e-008,1.2801
3.71643e-008,1.2823
3.72067e-008,1.2634
3.72492e-008,1.1577
3.72916e-008,0.9362
3.73340e-008,0.7505
3.73764e-008,0.6019
3.74189e-008,0.4769
3.74613e-008,0.3862
3.75037e-008,0.3213
3.75461e-008,0.2726
3.75885e-008,0.2430
3.76310e-008,0.2268
3.76734e-008,0.2166
3.77158e-008,0.2122
3.77583e-008,0.2090
3.78007e-008,0.2086
3.78431e-008,0.2089
3.78855e-008,0.2035
3.79280e-008,0.1963
3.79704e-008,0.1921
3.80128e-008,0.1971
3.80552e-008,0.1952
3.80976e-008,0.1894
3.81401e-008,0.1999
3.81825e-008,0.2732
3.82249e-008,0.4484
3.82673e-008,0.6168
3.83098e-008,0.7827
3.83522e-008,0.9214
3.83946e-008,1.0162
3.84371e-008,1.0915
3.84795e-008,1.1555
3.85219e-008,1.1981
3.85643e-008,1.2251
3.86067e-008,1.2420
3.86492e-008,1.2500
3.86916e-008,1.2565
3.87340e-008,1.2596
3.87764e-008,1.2591
3.88189e-008,1.2656
3.88613e-008,1.2744
3.89037e-008,1.2782
3.89462e-008,1.2740
3.89886e-008,1.2777
3.90310e-008,1.2825
3.90734e-008,1.2696
3.91159e-008,1.1899
3.91583e-008,0.9807
3.92007e-008,0.7822
3.92431e-008,0.6296
3.92855e-008,0.4995
3.93280e-008,0.4010
3.93704e-008,0.3335
3.94128e-008,0.2804
3.94553e-008,0.2473
3.94977e-008,0.2290
3.95401e-008,0.2181
3.95825e-008,0.2132
3.96250e-008,0.2101
3.96674e-008,0.2090
3.97098e-008,0.2096
3.97522e-008,0.2051
3.97946e-008,0.1978
3.98371e-008,0.1923
3.98795e-008,0.1961
3.99219e-008,0.1967
3.99644e-008,0.1899
4.00068e-008,0.1956
4.00492e-008,0.2492
4.00916e-008,0.4114
4.01341e-008,0.5853
4.01765e-008,0.7505
4.02189e-008,0.8980
4.02613e-008,1.0002
4.03037e-008,1.0769
4.03462e-008,1.1450
4.03886e-008,1.1911
4.04310e-008,1.2209
4.04734e-008,1.2394
4.05159e-008,1.2504
4.05583e-008,1.2600
4.06007e-008,1.2644
4.06432e-008,1.2641
4.06856e-008,1.2689
4.07280e-008,1.2770
4.07704e-008,1.2808
4.08128e-008,1.2770
4.08553e-008,1.2782
4.08977e-008,1.2840
4.09401e-008,1.2753
4.09825e-008,1.2171
4.10250e-008,1.0266
4.10674e-008,0.8152
4.11098e-008,0.6575
4.11523e-008,0.5224
4.11947e-008,0.4167
4.12371e-008,0.3456
4.12795e-008,0.2890
4.13220e-008,0.2534
4.13644e-008,0.2324
4.14068e-008,0.2195
4.14492e-008,0.2128
4.14916e-008,0.2095
4.15341e-008,0.2077
4.15765e-008,0.2087
4.16189e-008,0.2059
4.16614e-008,0.1990
4.17038e-008,0.1925
4.17462e-008,0.1947
4.17886e-008,0.1974
4.18311e-008,0.1906
4.18735e-008,0.1927
4.19159e-008,0.2304
4.19583e-008,0.3744
4.20007e-008,0.5539
4.20432e-008,0.7178
4.20856e-008,0.8729
4.21280e-008,0.9833
4.21704e-008,1.0621
4.22129e-008,1.1333
4.22553e-008,1.1832
4.22977e-008,1.2162
4.23402e-008,1.2365
4.23826e-008,1.2477
4.24250e-008,1.2539
4.24674e-008,1.2592
4.25098e-008,1.2589
4.25523e-008,1.2622
4.25947e-008,1.2712
4.26371e-008,1.2779
4.26795e-008,1.2758
4.27220e-008,1.2748
4.27644e-008,1.2821
4.28068e-008,1.2776
4.28493e-008,1.2367
4.28917e-008,1.0717
4.29341e-008,0.8510
4.29765e-008,0.6870
4.30190e-008,0.5474
4.30614e-008,0.4345
4.31038e-008,0.3584
4.31462e-008,0.2986
4.31886e-008,0.2583
4.32311e-008,0.2346
4.32735e-008,0.2219
4.33159e-008,0.2144
4.33584e-008,0.2113
4.34008e-008,0.2090
4.34432e-008,0.2097
4.34856e-008,0.2075
4.35281e-008,0.2007
4.35705e-008,0.1937
4.36129e-008,0.1937
4.36553e-008,0.1980
4.36977e-008,0.1921
4.37402e-008,0.1908
4.37826e-008,0.2166
4.38250e-008,0.3384
4.38675e-008,0.5214
4.39099e-008,0.6846
4.39523e-008,0.8457
4.39947e-008,0.9650
4.40372e-008,1.0476
4.40796e-008,1.1209
4.41220e-008,1.1751
4.41644e-008,1.2111
4.42068e-008,1.2330
4.42493e-008,1.2467
4.42917e-008,1.2563
4.43341e-008,1.2637
4.43765e-008,1.2641
4.44190e-008,1.2661
4.44614e-008,1.2741
4.45038e-008,1.2800
4.45463e-008,1.2790
4.45887e-008,1.2761
4.46311e-008,1.2827
4.46735e-008,1.2810
4.47160e-008,1.2524
4.47584e-008,1.1150
4.48008e-008,0.8894
4.48432e-008,0.7163
4.48856e-008,0.5723
4.49281e-008,0.4535
4.49705e-008,0.3711
4.50129e-008,0.3088
4.50554e-008,0.2652
4.50978e-008,0.2392
4.51402e-008,0.2240
4.51826e-008,0.2145
4.52251e-008,0.2108
