.HEADER
..NAMES
Time,V U3.E7
.DATA
2.33338e-008,1.3838
2.33762e-008,1.3904
2.34186e-008,1.4043
2.34610e-008,1.4188
2.35034e-008,1.4250
2.35459e-008,1.4311
2.35883e-008,1.4445
2.36307e-008,1.4615
2.36732e-008,1.4845
2.37156e-008,1.5120
2.37580e-008,1.5364
2.38004e-008,1.5506
2.38428e-008,1.5534
2.38853e-008,1.5474
2.39277e-008,1.5334
2.39701e-008,1.5197
2.40126e-008,1.5135
2.40550e-008,1.5151
2.40974e-008,1.5218
2.41398e-008,1.5314
2.41823e-008,1.5410
2.42247e-008,1.5452
2.42671e-008,1.5424
2.43095e-008,1.5341
2.43519e-008,1.5254
2.43944e-008,1.5208
2.44368e-008,1.5182
2.44792e-008,1.5153
2.45217e-008,1.5110
2.45641e-008,1.5038
2.46065e-008,1.4938
2.46489e-008,1.4836
2.46913e-008,1.4768
2.47338e-008,1.4740
2.47762e-008,1.4757
2.48186e-008,1.4820
2.48611e-008,1.4894
2.49035e-008,1.4939
2.49459e-008,1.4942
2.49883e-008,1.4914
2.50308e-008,1.4863
2.50732e-008,1.4809
2.51156e-008,1.4779
2.51580e-008,1.4786
2.52004e-008,1.4828
2.52429e-008,1.4877
2.52853e-008,1.4912
2.53277e-008,1.4927
2.53702e-008,1.4932
2.54126e-008,1.4936
2.54550e-008,1.4953
2.54974e-008,1.5010
2.55398e-008,1.5141
2.55823e-008,1.4593
2.56247e-008,1.3616
2.56671e-008,1.2199
2.57096e-008,0.9908
2.57520e-008,0.7258
2.57944e-008,0.4606
2.58368e-008,0.2219
2.58793e-008,0.0240
2.59217e-008,-0.1183
2.59641e-008,-0.2056
2.60065e-008,-0.2673
2.60489e-008,-0.3077
2.60914e-008,-0.3393
2.61338e-008,-0.3650
2.61762e-008,-0.3883
2.62187e-008,-0.4017
2.62611e-008,-0.4055
2.63035e-008,-0.4034
2.63459e-008,-0.3946
2.63883e-008,-0.3935
2.64308e-008,-0.3906
2.64732e-008,-0.3370
2.65156e-008,-0.1459
2.65580e-008,0.0887
2.66005e-008,0.4126
2.66429e-008,0.8033
2.66853e-008,1.1665
2.67278e-008,1.4648
2.67702e-008,1.6631
2.68126e-008,1.7744
2.68550e-008,1.8088
2.68974e-008,1.8057
2.69399e-008,1.8041
2.69823e-008,1.8012
2.70247e-008,1.8111
2.70672e-008,1.8239
2.71096e-008,1.8383
2.71520e-008,1.8380
2.71944e-008,1.8223
2.72368e-008,1.7934
2.72793e-008,1.7639
2.73217e-008,1.7492
2.73641e-008,1.7147
