.HEADER
..NAMES
Time,V U3.P8
.DATA
3.86689e-008,0.8941
3.87148e-008,1.0196
3.87607e-008,1.1204
3.88066e-008,1.1816
3.88526e-008,1.2036
3.88985e-008,1.2023
3.89444e-008,1.1877
3.89903e-008,1.1699
3.90363e-008,1.1611
3.90822e-008,1.1633
3.91281e-008,1.1736
3.91740e-008,1.1900
3.92199e-008,1.2064
3.92659e-008,1.2174
3.93118e-008,1.2227
3.93577e-008,1.2244
3.94036e-008,1.2248
3.94496e-008,1.2267
3.94955e-008,1.2311
3.95414e-008,1.2371
3.95873e-008,1.2434
3.96333e-008,1.2480
3.96792e-008,1.2495
3.97251e-008,1.2477
3.97710e-008,1.2432
3.98170e-008,1.2374
3.98629e-008,1.2322
3.99088e-008,1.2291
3.99547e-008,1.2278
4.00007e-008,1.2274
4.00466e-008,1.2267
4.00925e-008,1.2246
4.01384e-008,1.2212
4.01844e-008,1.2177
4.02303e-008,1.2123
4.02762e-008,1.1938
4.03221e-008,1.1497
4.03681e-008,1.0849
4.04140e-008,1.0002
4.04599e-008,0.8823
4.05058e-008,0.7393
4.05518e-008,0.6001
4.05977e-008,0.4776
4.06436e-008,0.3770
4.06895e-008,0.3098
4.07355e-008,0.2775
4.07814e-008,0.2710
4.08273e-008,0.2817
4.08732e-008,0.2983
4.09192e-008,0.3088
4.09651e-008,0.3098
4.10110e-008,0.3025
4.10569e-008,0.2892
4.11029e-008,0.2752
4.11488e-008,0.2645
4.11947e-008,0.2577
4.12407e-008,0.2540
4.12866e-008,0.2521
4.13325e-008,0.2501
4.13784e-008,0.2465
4.14244e-008,0.2408
4.14703e-008,0.2338
4.15162e-008,0.2278
4.15621e-008,0.2247
4.16081e-008,0.2252
4.16540e-008,0.2287
4.16999e-008,0.2337
4.17458e-008,0.2383
4.17918e-008,0.2417
4.18377e-008,0.2439
4.18836e-008,0.2454
4.19295e-008,0.2467
4.19755e-008,0.2486
4.20214e-008,0.2513
4.20673e-008,0.2545
4.21132e-008,0.2610
4.21592e-008,0.2844
4.22051e-008,0.3377
4.22510e-008,0.4145
4.22969e-008,0.5149
4.23429e-008,0.6494
4.23888e-008,0.8001
4.24347e-008,0.9383
4.24806e-008,1.0567
4.25266e-008,1.1459
4.25725e-008,1.1927
4.26184e-008,1.2054
4.26643e-008,1.1989
4.27103e-008,1.1815
4.27562e-008,1.1655
4.28021e-008,1.1604
4.28480e-008,1.1652
4.28940e-008,1.1779
4.29399e-008,1.1953
4.29858e-008,1.2105
4.30317e-008,1.2196
4.30777e-008,1.2237
4.31236e-008,1.2247
4.31695e-008,1.2252
4.32154e-008,1.2278
4.32613e-008,1.2327
4.33073e-008,1.2388
4.33532e-008,1.2448
4.33991e-008,1.2486
4.34450e-008,1.2491
4.34910e-008,1.2464
4.35369e-008,1.2413
4.35828e-008,1.2354
4.36287e-008,1.2308
4.36747e-008,1.2283
4.37206e-008,1.2273
4.37665e-008,1.2270
4.38124e-008,1.2259
4.38584e-008,1.2234
4.39043e-008,1.2199
4.39502e-008,1.2163
4.39961e-008,1.2082
4.40421e-008,1.1815
4.40880e-008,1.1290
4.41339e-008,1.0583
4.41798e-008,0.9634
4.42258e-008,0.8342
4.42717e-008,0.6897
4.43176e-008,0.5559
4.43635e-008,0.4400
4.44095e-008,0.3497
4.44554e-008,0.2950
4.45013e-008,0.2726
4.45472e-008,0.2730
4.45932e-008,0.2872
4.46391e-008,0.3027
4.46850e-008,0.3100
4.47309e-008,0.3080
