.HEADER
..NAMES
Time,V U2.R3
.DATA
4.40880e-008,0.2359
4.41339e-008,0.2409
4.41798e-008,0.2479
4.42258e-008,0.2544
4.42717e-008,0.2585
4.43176e-008,0.2590
4.43635e-008,0.2560
4.44095e-008,0.2508
4.44554e-008,0.2455
4.45013e-008,0.2421
4.45472e-008,0.2418
4.45932e-008,0.2446
4.46391e-008,0.2492
4.46850e-008,0.2534
4.47309e-008,0.2554
4.47769e-008,0.2544
4.48228e-008,0.2510
4.48687e-008,0.2469
4.49146e-008,0.2439
4.49606e-008,0.2432
4.50065e-008,0.2450
4.50524e-008,0.2481
4.50983e-008,0.2510
4.51443e-008,0.2524
4.51902e-008,0.2519
4.52361e-008,0.2500
4.52821e-008,0.2478
4.53280e-008,0.2461
4.53739e-008,0.2457
4.54198e-008,0.2464
4.54658e-008,0.2478
4.55117e-008,0.2492
4.55576e-008,0.2500
4.56035e-008,0.2501
4.56495e-008,0.2494
4.56954e-008,0.2482
4.57413e-008,0.2470
4.57872e-008,0.2463
4.58332e-008,0.2463
4.58791e-008,0.2471
4.59250e-008,0.2483
4.59709e-008,0.2495
4.60169e-008,0.2501
4.60628e-008,0.2498
4.61087e-008,0.2487
4.61546e-008,0.2475
4.62006e-008,0.2465
4.62465e-008,0.2463
4.62924e-008,0.2469
4.63383e-008,0.2480
4.63843e-008,0.2490
4.64302e-008,0.2495
4.64761e-008,0.2493
4.65220e-008,0.2486
4.65680e-008,0.2477
4.66139e-008,0.2471
4.66598e-008,0.2470
4.67057e-008,0.2473
4.67517e-008,0.2478
4.67976e-008,0.2484
4.68435e-008,0.2487
4.68894e-008,0.2487
4.69354e-008,0.2485
4.69813e-008,0.2481
4.70272e-008,0.2477
4.70731e-008,0.2474
4.71190e-008,0.2474
4.71650e-008,0.2476
4.72109e-008,0.2479
4.72568e-008,0.2483
4.73027e-008,0.2485
4.73487e-008,0.2485
4.73946e-008,0.2482
4.74405e-008,0.2478
4.74864e-008,0.2475
4.75324e-008,0.2474
4.75783e-008,0.2476
4.76242e-008,0.2479
4.76701e-008,0.2482
4.77161e-008,0.2484
4.77620e-008,0.2483
4.78079e-008,0.2481
4.78538e-008,0.2478
4.78998e-008,0.2476
4.79457e-008,0.2476
4.79916e-008,0.2477
4.80375e-008,0.2479
4.80835e-008,0.2480
4.81294e-008,0.2481
4.81753e-008,0.2481
4.82212e-008,0.2480
4.82672e-008,0.2479
4.83131e-008,0.2478
4.83590e-008,0.2477
4.84049e-008,0.2477
4.84509e-008,0.2478
4.84968e-008,0.2479
4.85427e-008,0.2480
4.85886e-008,0.2480
4.86346e-008,0.2480
4.86805e-008,0.2480
4.87264e-008,0.2479
4.87723e-008,0.2478
4.88183e-008,0.2477
4.88642e-008,0.2477
4.89101e-008,0.2478
4.89560e-008,0.2479
4.90020e-008,0.2480
