.HEADER
..NAMES
Time,V U2.L2
.DATA
3.71992e-008,0.2497
3.72452e-008,0.2547
3.72911e-008,0.2587
3.73370e-008,0.2599
3.73830e-008,0.2573
3.74289e-008,0.2521
3.74748e-008,0.2465
3.75207e-008,0.2434
3.75667e-008,0.2442
3.76126e-008,0.2482
3.76585e-008,0.2534
3.77044e-008,0.2569
3.77504e-008,0.2572
3.77963e-008,0.2544
3.78422e-008,0.2501
3.78881e-008,0.2467
3.79341e-008,0.2455
3.79800e-008,0.2468
3.80259e-008,0.2496
3.80718e-008,0.2524
3.81178e-008,0.2539
3.81637e-008,0.2538
3.82096e-008,0.2524
3.82555e-008,0.2507
3.83015e-008,0.2513
3.83474e-008,0.2835
3.83933e-008,0.3788
3.84392e-008,0.4954
3.84852e-008,0.6632
3.85311e-008,0.8455
3.85770e-008,0.9871
3.86229e-008,1.0754
3.86689e-008,1.1092
3.87148e-008,1.0949
3.87607e-008,1.0774
3.88066e-008,1.0690
3.88526e-008,1.0846
3.88985e-008,1.1267
3.89444e-008,1.1739
3.89903e-008,1.2104
3.90363e-008,1.2323
3.90822e-008,1.2347
3.91281e-008,1.2240
3.91740e-008,1.2119
3.92199e-008,1.2021
3.92659e-008,1.1992
3.93118e-008,1.2078
3.93577e-008,1.2180
3.94036e-008,1.2342
3.94496e-008,1.2491
3.94955e-008,1.2570
3.95414e-008,1.2594
3.95873e-008,1.2531
3.96333e-008,1.2387
3.96792e-008,1.2247
3.97251e-008,1.2152
3.97710e-008,1.2150
3.98170e-008,1.2248
3.98629e-008,1.2381
3.99088e-008,1.2465
3.99547e-008,1.2435
4.00007e-008,1.2302
4.00466e-008,1.2121
4.00925e-008,1.1977
4.01384e-008,1.1941
4.01844e-008,1.1971
4.02303e-008,1.1685
4.02762e-008,1.0918
4.03221e-008,0.9893
4.03681e-008,0.8331
4.04140e-008,0.6643
4.04599e-008,0.5200
4.05058e-008,0.4211
4.05518e-008,0.3730
4.05977e-008,0.3657
4.06436e-008,0.3727
4.06895e-008,0.3828
4.07355e-008,0.3761
4.07814e-008,0.3478
4.08273e-008,0.3105
4.08732e-008,0.2747
4.09192e-008,0.2489
4.09651e-008,0.2377
4.10110e-008,0.2389
4.10569e-008,0.2460
4.11029e-008,0.2566
4.11488e-008,0.2636
4.11947e-008,0.2642
4.12407e-008,0.2598
4.12866e-008,0.2454
4.13325e-008,0.2286
4.13784e-008,0.2137
4.14244e-008,0.2052
4.14703e-008,0.2082
4.15162e-008,0.2216
4.15621e-008,0.2381
4.16081e-008,0.2508
4.16540e-008,0.2535
4.16999e-008,0.2457
4.17458e-008,0.2333
4.17918e-008,0.2243
4.18377e-008,0.2251
4.18836e-008,0.2349
4.19295e-008,0.2504
4.19755e-008,0.2643
4.20214e-008,0.2711
4.20673e-008,0.2681
4.21132e-008,0.2578
4.21592e-008,0.2462
4.22051e-008,0.2379
4.22510e-008,0.2362
4.22969e-008,0.2400
4.23429e-008,0.2470
4.23888e-008,0.2539
4.24347e-008,0.2582
4.24806e-008,0.2592
4.25266e-008,0.2575
4.25725e-008,0.2543
4.26184e-008,0.2507
4.26643e-008,0.2474
4.27103e-008,0.2453
4.27562e-008,0.2453
4.28021e-008,0.2476
4.28480e-008,0.2521
4.28940e-008,0.2569
4.29399e-008,0.2597
4.29858e-008,0.2589
4.30317e-008,0.2547
4.30777e-008,0.2489
4.31236e-008,0.2443
4.31695e-008,0.2432
4.32154e-008,0.2458
4.32613e-008,0.2508
4.33073e-008,0.2554
4.33532e-008,0.2574
4.33991e-008,0.2559
4.34450e-008,0.2521
4.34910e-008,0.2480
4.35369e-008,0.2456
4.35828e-008,0.2458
4.36287e-008,0.2480
4.36747e-008,0.2511
4.37206e-008,0.2533
4.37665e-008,0.2539
4.38124e-008,0.2530
4.38584e-008,0.2514
4.39043e-008,0.2499
4.39502e-008,0.2600
4.39961e-008,0.3275
4.40421e-008,0.4360
4.40880e-008,0.5751
4.41339e-008,0.7609
4.41798e-008,0.9255
4.42258e-008,1.0391
4.42717e-008,1.1006
4.43176e-008,1.1045
4.43635e-008,1.0847
4.44095e-008,1.0710
4.44554e-008,1.0732
4.45013e-008,1.1039
4.45472e-008,1.1522
4.45932e-008,1.1940
4.46391e-008,1.2242
4.46850e-008,1.2355
4.47309e-008,1.2300
4.47769e-008,1.2171
4.48228e-008,1.2066
4.48687e-008,1.1987
4.49146e-008,1.2030
4.49606e-008,1.2126
4.50065e-008,1.2257
4.50524e-008,1.2427
