.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
3.69946e-008,1.2705
3.70370e-008,1.2648
3.70794e-008,1.2647
3.71219e-008,1.2614
3.71643e-008,1.2436
3.72067e-008,1.1531
3.72492e-008,0.9835
3.72916e-008,0.8263
3.73340e-008,0.6445
3.73764e-008,0.4795
3.74189e-008,0.3680
3.74613e-008,0.3000
3.75037e-008,0.2530
3.75461e-008,0.2314
3.75885e-008,0.2279
3.76310e-008,0.2232
3.76734e-008,0.2140
3.77158e-008,0.2004
3.77583e-008,0.1908
3.78007e-008,0.1936
3.78431e-008,0.1976
3.78855e-008,0.1990
3.79280e-008,0.2000
3.79704e-008,0.2056
3.80128e-008,0.2079
3.80552e-008,0.2105
3.80976e-008,0.2230
3.81401e-008,0.2852
3.81825e-008,0.4174
3.82249e-008,0.5546
3.82673e-008,0.7339
3.83098e-008,0.8972
3.83522e-008,1.0164
3.83946e-008,1.1028
3.84371e-008,1.1656
3.84795e-008,1.2024
3.85219e-008,1.2220
3.85643e-008,1.2378
3.86067e-008,1.2492
3.86492e-008,1.2627
3.86916e-008,1.2745
3.87340e-008,1.2759
3.87764e-008,1.2759
3.88189e-008,1.2747
3.88613e-008,1.2715
3.89037e-008,1.2656
3.89462e-008,1.2645
3.89886e-008,1.2627
3.90310e-008,1.2497
3.90734e-008,1.1802
3.91159e-008,1.0166
3.91583e-008,0.8580
3.92007e-008,0.6807
3.92431e-008,0.5083
3.92855e-008,0.3855
3.93280e-008,0.3112
3.93704e-008,0.2606
3.94128e-008,0.2334
3.94553e-008,0.2283
3.94977e-008,0.2245
3.95401e-008,0.2162
3.95825e-008,0.2032
3.96250e-008,0.1916
3.96674e-008,0.1926
3.97098e-008,0.1970
3.97522e-008,0.1990
3.97946e-008,0.1995
3.98371e-008,0.2045
3.98795e-008,0.2078
3.99219e-008,0.2094
3.99644e-008,0.2191
4.00068e-008,0.2654
4.00492e-008,0.3907
4.00916e-008,0.5253
4.01341e-008,0.6972
4.01765e-008,0.8689
4.02189e-008,0.9962
4.02613e-008,1.0878
4.03037e-008,1.1552
4.03462e-008,1.1972
4.03886e-008,1.2186
4.04310e-008,1.2351
4.04734e-008,1.2470
4.05159e-008,1.2598
4.05583e-008,1.2730
4.06007e-008,1.2761
4.06432e-008,1.2759
4.06856e-008,1.2751
4.07280e-008,1.2724
4.07704e-008,1.2666
4.08128e-008,1.2642
4.08553e-008,1.2637
4.08977e-008,1.2540
4.09401e-008,1.2027
4.09825e-008,1.0508
4.10250e-008,0.8884
4.10674e-008,0.7174
4.11098e-008,0.5390
4.11523e-008,0.4048
4.11947e-008,0.3233
4.12371e-008,0.2692
4.12795e-008,0.2363
4.13220e-008,0.2287
4.13644e-008,0.2256
4.14068e-008,0.2182
4.14492e-008,0.2060
4.14916e-008,0.1931
4.15341e-008,0.1916
4.15765e-008,0.1964
4.16189e-008,0.1987
4.16614e-008,0.1992
4.17038e-008,0.2032
4.17462e-008,0.2076
4.17886e-008,0.2086
4.18311e-008,0.2162
4.18735e-008,0.2495
4.19159e-008,0.3636
4.19583e-008,0.4980
4.20007e-008,0.6602
4.20432e-008,0.8388
4.20856e-008,0.9745
4.21280e-008,1.0719
4.21704e-008,1.1438
4.22129e-008,1.1911
4.22553e-008,1.2150
4.22977e-008,1.2322
4.23402e-008,1.2448
4.23826e-008,1.2569
4.24250e-008,1.2709
4.24674e-008,1.2762
4.25098e-008,1.2758
4.25523e-008,1.2754
4.25947e-008,1.2731
4.26371e-008,1.2678
4.26795e-008,1.2641
4.27220e-008,1.2644
4.27644e-008,1.2570
4.28068e-008,1.2204
4.28493e-008,1.0852
4.28917e-008,0.9182
4.29341e-008,0.7537
4.29765e-008,0.5714
4.30190e-008,0.4264
4.30614e-008,0.3364
4.31038e-008,0.2784
4.31462e-008,0.2404
4.31886e-008,0.2292
4.32311e-008,0.2265
4.32735e-008,0.2200
4.33159e-008,0.2088
4.33584e-008,0.1950
4.34008e-008,0.1908
4.34432e-008,0.1956
4.34856e-008,0.1984
4.35281e-008,0.1991
4.35705e-008,0.2020
4.36129e-008,0.2072
4.36553e-008,0.2081
4.36977e-008,0.2139
4.37402e-008,0.2376
4.37826e-008,0.3367
4.38250e-008,0.4719
4.38675e-008,0.6241
4.39099e-008,0.8068
4.39523e-008,0.9514
4.39947e-008,1.0552
4.40372e-008,1.1315
4.40796e-008,1.1840
4.41220e-008,1.2113
4.41644e-008,1.2290
4.42068e-008,1.2427
4.42493e-008,1.2542
4.42917e-008,1.2685
4.43341e-008,1.2760
4.43765e-008,1.2757
4.44190e-008,1.2757
4.44614e-008,1.2736
4.45038e-008,1.2691
4.45463e-008,1.2642
4.45887e-008,1.2647
4.46311e-008,1.2593
4.46735e-008,1.2335
4.47160e-008,1.1187
4.47584e-008,0.9485
4.48008e-008,0.7890
4.48432e-008,0.6053
4.48856e-008,0.4502
4.49281e-008,0.3506
4.49705e-008,0.2883
4.50129e-008,0.2457
4.50554e-008,0.2299
4.50978e-008,0.2273
4.51402e-008,0.2216
4.51826e-008,0.2113
4.52251e-008,0.1974
