.HEADER
..NAMES
Time,V U3.C3
.DATA
3.97946e-008,0.4393
3.98371e-008,0.3511
3.98795e-008,0.2917
3.99219e-008,0.2553
3.99644e-008,0.2394
4.00068e-008,0.2234
4.00492e-008,0.2226
4.00916e-008,0.2165
4.01341e-008,0.2109
4.01765e-008,0.2091
4.02189e-008,0.2058
4.02613e-008,0.2048
4.03037e-008,0.2099
4.03462e-008,0.2189
4.03886e-008,0.2073
4.04310e-008,0.1940
4.04734e-008,0.2004
4.05159e-008,0.2014
4.05583e-008,0.2036
4.06007e-008,0.2136
4.06432e-008,0.2212
4.06856e-008,0.2258
4.07280e-008,0.2298
4.07704e-008,0.2286
4.08128e-008,0.2274
4.08553e-008,0.2281
4.08977e-008,0.2245
4.09401e-008,0.2244
4.09825e-008,0.2245
4.10250e-008,0.2235
4.10674e-008,0.2243
4.11098e-008,0.2273
4.11523e-008,0.2258
4.11947e-008,0.2212
4.12371e-008,0.2226
4.12795e-008,0.2248
4.13220e-008,0.2239
4.13644e-008,0.2243
4.14068e-008,0.2249
4.14492e-008,0.2241
4.14916e-008,0.2239
4.15341e-008,0.2231
4.15765e-008,0.2220
4.16189e-008,0.2228
4.16614e-008,0.2226
4.17038e-008,0.2222
4.17462e-008,0.2230
4.17886e-008,0.2228
4.18311e-008,0.2226
4.18735e-008,0.2234
4.19159e-008,0.2234
4.19583e-008,0.2219
4.20007e-008,0.2219
4.20432e-008,0.2230
4.20856e-008,0.2229
4.21280e-008,0.2225
4.21704e-008,0.2226
4.22129e-008,0.2225
4.22553e-008,0.2224
4.22977e-008,0.2224
4.23402e-008,0.2221
4.23826e-008,0.2283
4.24250e-008,0.3160
4.24674e-008,0.4583
4.25098e-008,0.6095
4.25523e-008,0.7954
4.25947e-008,0.9318
4.26371e-008,1.0470
4.26795e-008,1.1267
4.27220e-008,1.1813
4.27644e-008,1.2117
4.28068e-008,1.2339
4.28493e-008,1.2441
4.28917e-008,1.2511
4.29341e-008,1.2600
4.29765e-008,1.2623
4.30190e-008,1.2681
4.30614e-008,1.2698
4.31038e-008,1.2695
4.31462e-008,1.2620
4.31886e-008,1.2631
4.32311e-008,1.2737
4.32735e-008,1.2762
4.33159e-008,1.2781
4.33584e-008,1.2757
4.34008e-008,1.2667
4.34432e-008,1.2604
4.34856e-008,1.2550
4.35281e-008,1.2507
4.35705e-008,1.2500
4.36129e-008,1.2512
4.36553e-008,1.2512
4.36977e-008,1.2542
4.37402e-008,1.2551
4.37826e-008,1.2554
4.38250e-008,1.2566
4.38675e-008,1.2563
4.39099e-008,1.2547
4.39523e-008,1.2540
4.39947e-008,1.2568
4.40372e-008,1.2578
4.40796e-008,1.2573
4.41220e-008,1.2570
4.41644e-008,1.2559
4.42068e-008,1.2555
4.42493e-008,1.2563
4.42917e-008,1.2567
4.43341e-008,1.2571
4.43765e-008,1.2581
4.44190e-008,1.2578
4.44614e-008,1.2579
4.45038e-008,1.2581
4.45463e-008,1.2575
4.45887e-008,1.2576
4.46311e-008,1.2577
4.46735e-008,1.2573
4.47160e-008,1.2570
4.47584e-008,1.2577
4.48008e-008,1.2583
4.48432e-008,1.2580
4.48856e-008,1.2578
4.49281e-008,1.2576
4.49705e-008,1.2576
4.50129e-008,1.2579
4.50554e-008,1.2580
4.50978e-008,1.2580
4.51402e-008,1.2581
4.51826e-008,1.2524
4.52251e-008,1.1684
4.52675e-008,0.9826
