.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
3.51703e-008,1.2676
3.52128e-008,1.2641
3.52552e-008,1.2650
3.52976e-008,1.2699
3.53400e-008,1.2680
3.53824e-008,1.2072
3.54249e-008,1.0339
3.54673e-008,0.8304
3.55097e-008,0.6446
3.55522e-008,0.4960
3.55946e-008,0.3841
3.56370e-008,0.3093
3.56794e-008,0.2648
3.57219e-008,0.2225
3.57643e-008,0.1991
3.58067e-008,0.2004
3.58491e-008,0.2106
3.58915e-008,0.2076
3.59340e-008,0.2057
3.59764e-008,0.2049
3.60188e-008,0.2052
3.60613e-008,0.2056
3.61037e-008,0.2081
3.61461e-008,0.2090
3.61885e-008,0.2058
3.62310e-008,0.2025
3.62734e-008,0.2023
3.63158e-008,0.2390
3.63582e-008,0.3695
3.64006e-008,0.5435
3.64431e-008,0.7284
3.64855e-008,0.8938
3.65279e-008,1.0173
3.65703e-008,1.1013
3.66128e-008,1.1527
3.66552e-008,1.2070
3.66976e-008,1.2436
3.67401e-008,1.2529
3.67825e-008,1.2496
3.68249e-008,1.2560
3.68673e-008,1.2595
3.69097e-008,1.2609
3.69522e-008,1.2644
3.69946e-008,1.2687
3.70370e-008,1.2684
3.70794e-008,1.2645
3.71219e-008,1.2644
3.71643e-008,1.2688
3.72067e-008,1.2702
3.72492e-008,1.2278
3.72916e-008,1.0738
3.73340e-008,0.8690
3.73764e-008,0.6791
3.74189e-008,0.5215
3.74613e-008,0.4038
3.75037e-008,0.3205
3.75461e-008,0.2733
3.75885e-008,0.2298
3.76310e-008,0.2017
3.76734e-008,0.1985
3.77158e-008,0.2095
3.77583e-008,0.2085
3.78007e-008,0.2058
3.78431e-008,0.2051
3.78855e-008,0.2050
3.79280e-008,0.2054
3.79704e-008,0.2074
3.80128e-008,0.2093
3.80552e-008,0.2065
3.80976e-008,0.2031
3.81401e-008,0.2014
3.81825e-008,0.2262
3.82249e-008,0.3395
3.82673e-008,0.5100
3.83098e-008,0.6929
3.83522e-008,0.8658
3.83946e-008,0.9963
3.84371e-008,1.0890
3.84795e-008,1.1431
3.85219e-008,1.1970
3.85643e-008,1.2387
3.86067e-008,1.2529
3.86492e-008,1.2497
3.86916e-008,1.2545
3.87340e-008,1.2594
3.87764e-008,1.2604
3.88189e-008,1.2636
3.88613e-008,1.2679
3.89037e-008,1.2690
3.89462e-008,1.2651
3.89886e-008,1.2641
3.90310e-008,1.2678
3.90734e-008,1.2712
3.91159e-008,1.2437
3.91583e-008,1.1117
3.92007e-008,0.9082
3.92431e-008,0.7147
3.92855e-008,0.5486
3.93280e-008,0.4246
3.93704e-008,0.3333
3.94128e-008,0.2815
