.HEADER
..NAMES
Time,V U2.A7
.DATA
4.10674e-008,0.2117
4.11098e-008,0.2119
4.11523e-008,0.2091
4.11947e-008,0.2121
4.12371e-008,0.2110
4.12795e-008,0.2118
4.13220e-008,0.2175
4.13644e-008,0.2047
4.14068e-008,0.1892
4.14492e-008,0.1951
4.14916e-008,0.2023
4.15341e-008,0.2063
4.15765e-008,0.2133
4.16189e-008,0.2211
4.16614e-008,0.2243
4.17038e-008,0.2266
4.17462e-008,0.2271
4.17886e-008,0.2273
4.18311e-008,0.2264
4.18735e-008,0.2228
4.19159e-008,0.2227
4.19583e-008,0.2227
4.20007e-008,0.2242
4.20432e-008,0.2234
4.20856e-008,0.2224
4.21280e-008,0.2241
4.21704e-008,0.2221
4.22129e-008,0.2193
4.22553e-008,0.2219
4.22977e-008,0.2247
4.23402e-008,0.2237
4.23826e-008,0.2230
4.24250e-008,0.2229
4.24674e-008,0.2223
4.25098e-008,0.2220
4.25523e-008,0.2214
4.25947e-008,0.2214
4.26371e-008,0.2214
4.26795e-008,0.2209
4.27220e-008,0.2212
4.27644e-008,0.2217
4.28068e-008,0.2221
4.28493e-008,0.2217
4.28917e-008,0.2211
4.29341e-008,0.2216
4.29765e-008,0.2215
4.30190e-008,0.2208
4.30614e-008,0.2213
4.31038e-008,0.2221
4.31462e-008,0.2214
4.31886e-008,0.2210
4.32311e-008,0.2210
4.32735e-008,0.2211
4.33159e-008,0.2229
4.33584e-008,0.2808
4.34008e-008,0.4294
4.34432e-008,0.5786
4.34856e-008,0.7601
4.35281e-008,0.9027
4.35705e-008,1.0190
4.36129e-008,1.1033
4.36553e-008,1.1655
4.36977e-008,1.2080
4.37402e-008,1.2295
4.37826e-008,1.2438
4.38250e-008,1.2465
4.38675e-008,1.2569
4.39099e-008,1.2600
4.39523e-008,1.2653
4.39947e-008,1.2649
4.40372e-008,1.2636
4.40796e-008,1.2651
4.41220e-008,1.2605
4.41644e-008,1.2657
4.42068e-008,1.2784
4.42493e-008,1.2815
4.42917e-008,1.2800
4.43341e-008,1.2739
4.43765e-008,1.2658
4.44190e-008,1.2592
4.44614e-008,1.2558
4.45038e-008,1.2533
4.45463e-008,1.2519
4.45887e-008,1.2518
4.46311e-008,1.2520
4.46735e-008,1.2553
4.47160e-008,1.2565
4.47584e-008,1.2575
4.48008e-008,1.2566
4.48432e-008,1.2559
4.48856e-008,1.2572
4.49281e-008,1.2565
4.49705e-008,1.2575
4.50129e-008,1.2595
4.50554e-008,1.2591
4.50978e-008,1.2572
4.51402e-008,1.2565
4.51826e-008,1.2564
4.52251e-008,1.2569
4.52675e-008,1.2580
