.HEADER
..NAMES
Time,V U3.M3
.DATA
3.54541e-008,1.2315
3.55000e-008,1.2363
3.55459e-008,1.2324
3.55919e-008,1.2217
3.56378e-008,1.2109
3.56837e-008,1.2065
3.57296e-008,1.2085
3.57756e-008,1.2171
3.58215e-008,1.2285
3.58674e-008,1.2372
3.59133e-008,1.2397
3.59593e-008,1.2355
3.60052e-008,1.2273
3.60511e-008,1.2188
3.60970e-008,1.2132
3.61430e-008,1.2120
3.61889e-008,1.2141
3.62348e-008,1.2171
3.62807e-008,1.2191
3.63267e-008,1.2177
3.63726e-008,1.2144
3.64185e-008,1.2114
3.64644e-008,1.2100
3.65104e-008,1.2047
3.65563e-008,1.1711
3.66022e-008,1.1099
3.66481e-008,1.0295
3.66941e-008,0.9036
3.67400e-008,0.7444
3.67859e-008,0.5842
3.68318e-008,0.4425
3.68778e-008,0.3262
3.69237e-008,0.2517
3.69696e-008,0.2223
3.70155e-008,0.2280
3.70615e-008,0.2504
3.71074e-008,0.2735
3.71533e-008,0.2870
3.71992e-008,0.2880
3.72452e-008,0.2772
3.72911e-008,0.2594
3.73370e-008,0.2448
3.73830e-008,0.2396
3.74289e-008,0.2425
3.74748e-008,0.2518
3.75207e-008,0.2605
3.75667e-008,0.2648
3.76126e-008,0.2634
3.76585e-008,0.2563
3.77044e-008,0.2465
3.77504e-008,0.2381
3.77963e-008,0.2348
3.78422e-008,0.2374
3.78881e-008,0.2438
3.79341e-008,0.2511
3.79800e-008,0.2566
3.80259e-008,0.2588
3.80718e-008,0.2583
3.81178e-008,0.2562
3.81637e-008,0.2547
3.82096e-008,0.2558
3.82555e-008,0.2584
3.83015e-008,0.2613
3.83474e-008,0.2630
3.83933e-008,0.2625
3.84392e-008,0.2594
3.84852e-008,0.2541
3.85311e-008,0.2485
3.85770e-008,0.2450
3.86229e-008,0.2448
3.86689e-008,0.2477
3.87148e-008,0.2521
3.87607e-008,0.2564
3.88066e-008,0.2590
3.88526e-008,0.2590
3.88985e-008,0.2565
3.89444e-008,0.2528
3.89903e-008,0.2493
3.90363e-008,0.2476
3.90822e-008,0.2481
3.91281e-008,0.2505
3.91740e-008,0.2535
3.92199e-008,0.2557
3.92659e-008,0.2561
3.93118e-008,0.2548
3.93577e-008,0.2525
3.94036e-008,0.2502
3.94496e-008,0.2487
3.94955e-008,0.2485
3.95414e-008,0.2496
3.95873e-008,0.2514
3.96333e-008,0.2531
3.96792e-008,0.2539
3.97251e-008,0.2535
3.97710e-008,0.2522
3.98170e-008,0.2508
3.98629e-008,0.2498
3.99088e-008,0.2496
3.99547e-008,0.2501
4.00007e-008,0.2512
4.00466e-008,0.2521
4.00925e-008,0.2526
4.01384e-008,0.2524
4.01844e-008,0.2515
4.02303e-008,0.2505
4.02762e-008,0.2497
4.03221e-008,0.2495
4.03681e-008,0.2499
4.04140e-008,0.2507
4.04599e-008,0.2515
4.05058e-008,0.2519
4.05518e-008,0.2518
4.05977e-008,0.2512
4.06436e-008,0.2504
4.06895e-008,0.2498
4.07355e-008,0.2495
4.07814e-008,0.2497
4.08273e-008,0.2503
4.08732e-008,0.2509
4.09192e-008,0.2513
4.09651e-008,0.2513
4.10110e-008,0.2509
4.10569e-008,0.2504
4.11029e-008,0.2499
4.11488e-008,0.2496
4.11947e-008,0.2497
4.12407e-008,0.2500
4.12866e-008,0.2504
4.13325e-008,0.2507
4.13784e-008,0.2508
4.14244e-008,0.2506
4.14703e-008,0.2503
4.15162e-008,0.2499
4.15621e-008,0.2496
4.16081e-008,0.2496
4.16540e-008,0.2498
4.16999e-008,0.2501
4.17458e-008,0.2503
4.17918e-008,0.2504
4.18377e-008,0.2503
4.18836e-008,0.2501
4.19295e-008,0.2498
4.19755e-008,0.2496
4.20214e-008,0.2496
4.20673e-008,0.2497
4.21132e-008,0.2511
4.21592e-008,0.2707
4.22051e-008,0.3329
4.22510e-008,0.4162
4.22969e-008,0.5349
4.23429e-008,0.6994
4.23888e-008,0.8690
4.24347e-008,1.0173
4.24806e-008,1.1394
4.25266e-008,1.2185
4.25725e-008,1.2478
4.26184e-008,1.2422
4.26643e-008,1.2180
4.27103e-008,1.1930
4.27562e-008,1.1788
4.28021e-008,1.1783
4.28480e-008,1.1888
4.28940e-008,1.2062
4.29399e-008,1.2225
4.29858e-008,1.2295
4.30317e-008,1.2283
4.30777e-008,1.2211
4.31236e-008,1.2114
4.31695e-008,1.2066
4.32154e-008,1.2073
4.32613e-008,1.2136
4.33073e-008,1.2234
4.33532e-008,1.2319
4.33991e-008,1.2354
4.34450e-008,1.2329
4.34910e-008,1.2263
4.35369e-008,1.2188
4.35828e-008,1.2130
4.36287e-008,1.2110
4.36747e-008,1.2122
4.37206e-008,1.2144
4.37665e-008,1.2161
4.38124e-008,1.2152
4.38584e-008,1.2122
4.39043e-008,1.2095
4.39502e-008,1.2084
4.39961e-008,1.2100
4.40421e-008,1.2141
4.40880e-008,1.2195
4.41339e-008,1.2246
4.41798e-008,1.2274
4.42258e-008,1.2272
4.42717e-008,1.2240
4.43176e-008,1.2192
4.43635e-008,1.2149
4.44095e-008,1.2123
4.44554e-008,1.2126
4.45013e-008,1.2155
4.45472e-008,1.2196
4.45932e-008,1.2231
4.46391e-008,1.2249
4.46850e-008,1.2241
4.47309e-008,1.2215
4.47769e-008,1.2182
4.48228e-008,1.2159
4.48687e-008,1.2156
4.49146e-008,1.2172
4.49606e-008,1.2200
4.50065e-008,1.2225
4.50524e-008,1.2238
4.50983e-008,1.2235
4.51443e-008,1.2220
4.51902e-008,1.2201
4.52361e-008,1.2186
4.52821e-008,1.2181
4.53280e-008,1.2187
4.53739e-008,1.2200
4.54198e-008,1.2214
4.54658e-008,1.2223
4.55117e-008,1.2225
4.55576e-008,1.2218
4.56035e-008,1.2208
4.56495e-008,1.2198
4.56954e-008,1.2195
4.57413e-008,1.2198
4.57872e-008,1.2207
4.58332e-008,1.2218
4.58791e-008,1.2226
4.59250e-008,1.2227
4.59709e-008,1.2221
4.60169e-008,1.2212
4.60628e-008,1.2203
4.61087e-008,1.2200
4.61546e-008,1.2203
4.62006e-008,1.2211
4.62465e-008,1.2220
4.62924e-008,1.2226
4.63383e-008,1.2227
4.63843e-008,1.2223
4.64302e-008,1.2216
4.64761e-008,1.2210
4.65220e-008,1.2208
4.65680e-008,1.2209
4.66139e-008,1.2213
4.66598e-008,1.2219
4.67057e-008,1.2224
4.67517e-008,1.2226
4.67976e-008,1.2224
4.68435e-008,1.2221
4.68894e-008,1.2216
4.69354e-008,1.2213
4.69813e-008,1.2213
4.70272e-008,1.2215
4.70731e-008,1.2220
4.71190e-008,1.2224
4.71650e-008,1.2226
4.72109e-008,1.2226
4.72568e-008,1.2223
4.73027e-008,1.2220
4.73487e-008,1.2217
4.73946e-008,1.2217
4.74405e-008,1.2219
4.74864e-008,1.2222
4.75324e-008,1.2225
4.75783e-008,1.2226
4.76242e-008,1.2226
4.76701e-008,1.2224
4.77161e-008,1.2222
4.77620e-008,1.2221
4.78079e-008,1.2220
4.78538e-008,1.2221
4.78998e-008,1.2223
4.79457e-008,1.2225
4.79916e-008,1.2226
4.80375e-008,1.2226
4.80835e-008,1.2226
4.81294e-008,1.2224
4.81753e-008,1.2223
4.82212e-008,1.2223
4.82672e-008,1.2223
4.83131e-008,1.2224
4.83590e-008,1.2226
4.84049e-008,1.2227
4.84509e-008,1.2228
4.84968e-008,1.2227
4.85427e-008,1.2226
4.85886e-008,1.2225
4.86346e-008,1.2224
4.86805e-008,1.2225
4.87264e-008,1.2226
4.87723e-008,1.2227
4.88183e-008,1.2228
4.88642e-008,1.2228
4.89101e-008,1.2228
4.89560e-008,1.2227
4.90020e-008,1.2227
