.HEADER
..NAMES
Time,V U2.H3
.DATA
3.14793e-008,1.2550
3.15218e-008,1.2560
3.15642e-008,1.2569
3.16066e-008,1.2579
3.16491e-008,1.2589
3.16915e-008,1.2591
3.17339e-008,1.2587
3.17763e-008,1.2580
3.18188e-008,1.2569
3.18612e-008,1.2559
3.19036e-008,1.2561
3.19460e-008,1.2570
3.19884e-008,1.2581
3.20309e-008,1.2589
3.20733e-008,1.2592
3.21157e-008,1.2593
3.21582e-008,1.2592
3.22006e-008,1.2590
3.22430e-008,1.2588
3.22854e-008,1.2588
3.23279e-008,1.2589
3.23703e-008,1.2588
3.24127e-008,1.2588
3.24551e-008,1.2587
3.24975e-008,1.2586
3.25400e-008,1.2586
3.25824e-008,1.2587
3.26248e-008,1.2589
3.26672e-008,1.2591
3.27097e-008,1.2592
3.27521e-008,1.2592
3.27945e-008,1.2591
3.28370e-008,1.2590
3.28794e-008,1.2589
3.29218e-008,1.2590
3.29642e-008,1.2590
3.30066e-008,1.2590
3.30491e-008,1.2591
3.30915e-008,1.2591
3.31339e-008,1.2591
3.31763e-008,1.2591
3.32188e-008,1.2592
3.32612e-008,1.2592
3.33036e-008,1.2592
3.33461e-008,1.2593
3.33885e-008,1.2593
3.34309e-008,1.2593
3.34733e-008,1.2593
3.35158e-008,1.2592
3.35582e-008,1.2593
3.36006e-008,1.2593
3.36430e-008,1.2593
3.36854e-008,1.2593
3.37279e-008,1.2594
3.37703e-008,1.2594
3.38127e-008,1.2594
3.38552e-008,1.2593
3.38976e-008,1.2554
3.39400e-008,1.2054
3.39824e-008,1.0536
3.40249e-008,0.8757
3.40673e-008,0.7170
3.41097e-008,0.5613
3.41521e-008,0.4297
3.41945e-008,0.3428
3.42370e-008,0.2888
3.42794e-008,0.2559
3.43218e-008,0.2339
3.43643e-008,0.2188
3.44067e-008,0.2154
3.44491e-008,0.2164
3.44915e-008,0.2152
3.45340e-008,0.2156
3.45764e-008,0.2167
3.46188e-008,0.2128
3.46612e-008,0.2062
3.47036e-008,0.1989
3.47461e-008,0.1890
3.47885e-008,0.1856
3.48309e-008,0.1951
3.48733e-008,0.2363
3.49158e-008,0.3645
3.49582e-008,0.5368
3.50006e-008,0.7103
3.50431e-008,0.8709
3.50855e-008,0.9986
3.51279e-008,1.0918
3.51703e-008,1.1587
3.52128e-008,1.2013
3.52552e-008,1.2270
3.52976e-008,1.2447
3.53400e-008,1.2535
3.53824e-008,1.2571
3.54249e-008,1.2587
3.54673e-008,1.2592
3.55097e-008,1.2605
3.55522e-008,1.2657
3.55946e-008,1.2729
3.56370e-008,1.2798
3.56794e-008,1.2877
3.57219e-008,1.2910
3.57643e-008,1.2847
