.HEADER
..NAMES
Time,V U2.A2
.DATA
4.10674e-008,1.2636
4.11098e-008,1.2665
4.11523e-008,1.2662
4.11947e-008,1.2668
4.12371e-008,1.2683
4.12795e-008,1.2639
4.13220e-008,1.2554
4.13644e-008,1.2512
4.14068e-008,1.2635
4.14492e-008,1.2749
4.14916e-008,1.2760
4.15341e-008,1.2770
4.15765e-008,1.2678
4.16189e-008,1.2581
4.16614e-008,1.2552
4.17038e-008,1.2552
4.17462e-008,1.2538
4.17886e-008,1.2535
4.18311e-008,1.2533
4.18735e-008,1.2534
4.19159e-008,1.2543
4.19583e-008,1.2545
4.20007e-008,1.2546
4.20432e-008,1.2564
4.20856e-008,1.2571
4.21280e-008,1.2551
4.21704e-008,1.2538
4.22129e-008,1.2556
4.22553e-008,1.2589
4.22977e-008,1.2591
4.23402e-008,1.2582
4.23826e-008,1.2510
4.24250e-008,1.1617
4.24674e-008,0.9509
4.25098e-008,0.7945
4.25523e-008,0.6470
4.25947e-008,0.4916
4.26371e-008,0.3962
4.26795e-008,0.3391
4.27220e-008,0.2843
4.27644e-008,0.2468
4.28068e-008,0.2286
4.28493e-008,0.2147
4.28917e-008,0.2083
4.29341e-008,0.2054
4.29765e-008,0.2034
4.30190e-008,0.2052
4.30614e-008,0.2070
4.31038e-008,0.2039
4.31462e-008,0.2092
4.31886e-008,0.2216
4.32311e-008,0.2250
4.32735e-008,0.2065
4.33159e-008,0.1929
4.33584e-008,0.2546
4.34008e-008,0.4288
4.34432e-008,0.6021
4.34856e-008,0.7892
4.35281e-008,0.9435
4.35705e-008,1.0344
4.36129e-008,1.1084
4.36553e-008,1.1686
4.36977e-008,1.2104
4.37402e-008,1.2362
4.37826e-008,1.2532
4.38250e-008,1.2609
4.38675e-008,1.2670
4.39099e-008,1.2682
4.39523e-008,1.2668
4.39947e-008,1.2696
4.40372e-008,1.2743
4.40796e-008,1.2675
4.41220e-008,1.2540
4.41644e-008,1.2483
4.42068e-008,1.2613
4.42493e-008,1.2777
4.42917e-008,1.2804
4.43341e-008,1.2813
4.43765e-008,1.2711
4.44190e-008,1.2581
4.44614e-008,1.2552
4.45038e-008,1.2560
4.45463e-008,1.2547
4.45887e-008,1.2541
4.46311e-008,1.2542
4.46735e-008,1.2543
4.47160e-008,1.2551
4.47584e-008,1.2547
4.48008e-008,1.2552
4.48432e-008,1.2579
4.48856e-008,1.2588
4.49281e-008,1.2555
4.49705e-008,1.2535
4.50129e-008,1.2557
4.50554e-008,1.2598
4.50978e-008,1.2609
4.51402e-008,1.2596
4.51826e-008,1.2560
4.52251e-008,1.2040
4.52675e-008,1.0152
