.HEADER
..NAMES
Time,V U2.T8
.DATA
3.23771e-008,0.2482
3.24230e-008,0.2482
3.24690e-008,0.2482
3.25149e-008,0.2482
3.25608e-008,0.2483
3.26067e-008,0.2498
3.26527e-008,0.2680
3.26986e-008,0.3362
3.27445e-008,0.4487
3.27904e-008,0.5840
3.28364e-008,0.7509
3.28823e-008,0.9207
3.29282e-008,1.0526
3.29741e-008,1.1355
3.30201e-008,1.1725
3.30660e-008,1.1660
3.31119e-008,1.1368
3.31578e-008,1.1105
3.32038e-008,1.1015
3.32497e-008,1.1173
3.32956e-008,1.1524
3.33415e-008,1.1918
3.33875e-008,1.2239
3.34334e-008,1.2431
3.34793e-008,1.2462
3.35253e-008,1.2375
3.35712e-008,1.2249
3.36171e-008,1.2155
3.36630e-008,1.2138
3.37090e-008,1.2194
3.37549e-008,1.2300
3.38008e-008,1.2422
3.38467e-008,1.2503
3.38927e-008,1.2501
3.39386e-008,1.2430
3.39845e-008,1.2326
3.40304e-008,1.2225
3.40764e-008,1.2175
3.41223e-008,1.2198
3.41682e-008,1.2267
3.42141e-008,1.2334
3.42601e-008,1.2360
3.43060e-008,1.2327
3.43519e-008,1.2245
3.43978e-008,1.2153
3.44438e-008,1.2093
3.44897e-008,1.2061
3.45356e-008,1.1867
3.45815e-008,1.1237
3.46275e-008,1.0281
3.46734e-008,0.9075
3.47193e-008,0.7519
3.47652e-008,0.5864
3.48112e-008,0.4477
3.48571e-008,0.3537
3.49030e-008,0.3050
3.49489e-008,0.2992
3.49949e-008,0.3198
3.50408e-008,0.3461
3.50867e-008,0.3613
3.51326e-008,0.3553
3.51786e-008,0.3301
3.52245e-008,0.2955
3.52704e-008,0.2615
3.53163e-008,0.2364
3.53622e-008,0.2267
3.54082e-008,0.2314
3.54541e-008,0.2441
3.55000e-008,0.2563
3.55459e-008,0.2617
3.55919e-008,0.2589
3.56378e-008,0.2484
3.56837e-008,0.2341
3.57296e-008,0.2230
3.57756e-008,0.2199
3.58215e-008,0.2247
3.58674e-008,0.2346
3.59133e-008,0.2457
3.59593e-008,0.2528
3.60052e-008,0.2532
3.60511e-008,0.2483
3.60970e-008,0.2419
3.61430e-008,0.2378
3.61889e-008,0.2385
3.62348e-008,0.2440
3.62807e-008,0.2522
3.63267e-008,0.2595
3.63726e-008,0.2627
3.64185e-008,0.2603
3.64644e-008,0.2535
3.65104e-008,0.2453
3.65563e-008,0.2387
3.66022e-008,0.2361
3.66481e-008,0.2382
3.66941e-008,0.2441
3.67400e-008,0.2512
3.67859e-008,0.2570
3.68318e-008,0.2596
3.68778e-008,0.2583
3.69237e-008,0.2537
3.69696e-008,0.2479
3.70155e-008,0.2432
3.70615e-008,0.2413
3.71074e-008,0.2428
3.71533e-008,0.2468
3.71992e-008,0.2514
3.72452e-008,0.2547
3.72911e-008,0.2553
3.73370e-008,0.2532
3.73830e-008,0.2495
3.74289e-008,0.2459
3.74748e-008,0.2440
3.75207e-008,0.2443
3.75667e-008,0.2465
3.76126e-008,0.2494
3.76585e-008,0.2517
3.77044e-008,0.2525
3.77504e-008,0.2516
3.77963e-008,0.2496
3.78422e-008,0.2474
3.78881e-008,0.2460
3.79341e-008,0.2458
