.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
3.48309e-008,0.2206
3.48733e-008,0.2095
3.49158e-008,0.1965
3.49582e-008,0.1901
3.50006e-008,0.1934
3.50431e-008,0.1973
3.50855e-008,0.1973
3.51279e-008,0.1984
3.51703e-008,0.2046
3.52128e-008,0.2065
3.52552e-008,0.2114
3.52976e-008,0.2311
3.53400e-008,0.3200
3.53824e-008,0.4550
3.54249e-008,0.6011
3.54673e-008,0.7860
3.55097e-008,0.9340
3.55522e-008,1.0437
3.55946e-008,1.1227
3.56370e-008,1.1764
3.56794e-008,1.2084
3.57219e-008,1.2270
3.57643e-008,1.2406
3.58067e-008,1.2524
3.58491e-008,1.2656
3.58915e-008,1.2742
3.59340e-008,1.2754
3.59764e-008,1.2756
3.60188e-008,1.2745
3.60613e-008,1.2711
3.61037e-008,1.2651
3.61461e-008,1.2646
3.61885e-008,1.2605
3.62310e-008,1.2391
3.62734e-008,1.1365
3.63158e-008,0.9662
3.63582e-008,0.8086
3.64006e-008,0.6240
3.64431e-008,0.4666
3.64855e-008,0.3605
3.65279e-008,0.2940
3.65703e-008,0.2510
3.66128e-008,0.2305
3.66552e-008,0.2261
3.66976e-008,0.2221
3.67401e-008,0.2120
3.67825e-008,0.1988
3.68249e-008,0.1904
3.68673e-008,0.1924
3.69097e-008,0.1968
3.69522e-008,0.1976
3.69946e-008,0.1976
3.70370e-008,0.2036
3.70794e-008,0.2063
3.71219e-008,0.2097
3.71643e-008,0.2248
3.72067e-008,0.2969
3.72492e-008,0.4305
3.72916e-008,0.5692
3.73340e-008,0.7523
3.73764e-008,0.9091
3.74189e-008,1.0250
3.74613e-008,1.1098
3.75037e-008,1.1677
3.75461e-008,1.2036
3.75885e-008,1.2239
3.76310e-008,1.2383
3.76734e-008,1.2501
3.77158e-008,1.2632
3.77583e-008,1.2733
3.78007e-008,1.2753
3.78431e-008,1.2757
3.78855e-008,1.2748
3.79280e-008,1.2722
3.79704e-008,1.2660
3.80128e-008,1.2646
3.80552e-008,1.2620
3.80976e-008,1.2464
3.81401e-008,1.1658
3.81825e-008,0.9984
3.82249e-008,0.8414
3.82673e-008,0.6600
3.83098e-008,0.4936
3.83522e-008,0.3778
3.83946e-008,0.3047
3.84371e-008,0.2579
3.84795e-008,0.2327
3.85219e-008,0.2264
3.85643e-008,0.2234
3.86067e-008,0.2144
3.86492e-008,0.2014
3.86916e-008,0.1913
3.87340e-008,0.1915
3.87764e-008,0.1961
3.88189e-008,0.1978
3.88613e-008,0.1972
3.89037e-008,0.2023
3.89462e-008,0.2062
3.89886e-008,0.2084
3.90310e-008,0.2200
3.90734e-008,0.2751
3.91159e-008,0.4044
3.91583e-008,0.5387
3.92007e-008,0.7159
3.92431e-008,0.8822
3.92855e-008,1.0049
3.93280e-008,1.0956
3.93704e-008,1.1582
3.94128e-008,1.1982
3.94553e-008,1.2206
3.94977e-008,1.2358
3.95401e-008,1.2477
3.95825e-008,1.2606
3.96250e-008,1.2719
3.96674e-008,1.2753
3.97098e-008,1.2756
3.97522e-008,1.2751
3.97946e-008,1.2730
3.98371e-008,1.2671
3.98795e-008,1.2644
3.99219e-008,1.2632
3.99644e-008,1.2517
4.00068e-008,1.1908
4.00492e-008,1.0320
4.00916e-008,0.8725
4.01341e-008,0.6968
4.01765e-008,0.5226
4.02189e-008,0.3965
4.02613e-008,0.3164
4.03037e-008,0.2656
4.03462e-008,0.2357
4.03886e-008,0.2269
4.04310e-008,0.2244
4.04734e-008,0.2166
4.05159e-008,0.2040
4.05583e-008,0.1926
4.06007e-008,0.1908
4.06432e-008,0.1953
4.06856e-008,0.1979
4.07280e-008,0.1970
4.07704e-008,0.2010
4.08128e-008,0.2059
4.08553e-008,0.2075
4.08977e-008,0.2165
4.09401e-008,0.2570
4.09825e-008,0.3777
4.10250e-008,0.5106
4.10674e-008,0.6787
4.11098e-008,0.8536
4.11523e-008,0.9836
4.11947e-008,1.0803
4.12371e-008,1.1477
4.12795e-008,1.1922
4.13220e-008,1.2170
