.HEADER
..NAMES
Time,V U2.C7&B7
.DATA
2.98672e-008,0.1316
2.99096e-008,0.4067
2.99521e-008,0.6063
2.99945e-008,0.7512
3.00369e-008,0.8701
3.00793e-008,0.9471
3.01218e-008,0.9943
3.01642e-008,1.0238
3.02066e-008,1.0410
3.02490e-008,1.0534
3.02914e-008,1.0571
3.03339e-008,1.0558
3.03763e-008,1.0642
3.04187e-008,1.0783
3.04612e-008,1.0893
3.05036e-008,1.0813
3.05460e-008,1.0813
3.05884e-008,1.0927
3.06309e-008,1.0757
3.06733e-008,0.9567
3.07157e-008,0.5982
3.07581e-008,0.2186
3.08005e-008,-0.1034
3.08430e-008,-0.3849
3.08854e-008,-0.5914
3.09278e-008,-0.7389
3.09702e-008,-0.8615
3.10127e-008,-0.9417
3.10551e-008,-0.9926
3.10975e-008,-1.0231
3.11400e-008,-1.0388
3.11824e-008,-1.0499
3.12248e-008,-1.0551
3.12672e-008,-1.0533
3.13096e-008,-1.0618
3.13521e-008,-1.0772
3.13945e-008,-1.0881
3.14369e-008,-1.0813
3.14793e-008,-1.0807
3.15218e-008,-1.0941
3.15642e-008,-1.0823
3.16066e-008,-0.9827
3.16491e-008,-0.6429
3.16915e-008,-0.2537
3.17339e-008,0.0696
3.17763e-008,0.3577
3.18188e-008,0.5722
3.18612e-008,0.7227
3.19036e-008,0.8501
3.19460e-008,0.9344
3.19884e-008,0.9868
3.20309e-008,1.0183
3.20733e-008,1.0352
3.21157e-008,1.0460
3.21582e-008,1.0528
3.22006e-008,1.0515
3.22430e-008,1.0583
3.22854e-008,1.0734
3.23279e-008,1.0854
3.23703e-008,1.0803
3.24127e-008,1.0777
3.24551e-008,1.0915
3.24975e-008,1.0833
3.25400e-008,0.9995
3.25824e-008,0.6818
3.26248e-008,0.2857
3.26672e-008,-0.0399
3.27097e-008,-0.3342
3.27521e-008,-0.5564
3.27945e-008,-0.7105
3.28370e-008,-0.8409
3.28794e-008,-0.9287
3.29218e-008,-0.9840
3.29642e-008,-1.0171
3.30066e-008,-1.0356
3.30491e-008,-1.0466
3.30915e-008,-1.0545
3.31339e-008,-1.0533
3.31763e-008,-1.0588
3.32188e-008,-1.0738
3.32612e-008,-1.0867
3.33036e-008,-1.0834
3.33461e-008,-1.0790
3.33885e-008,-1.0928
3.34309e-008,-1.0878
3.34733e-008,-1.0181
3.35158e-008,-0.7245
3.35582e-008,-0.3215
3.36006e-008,0.0073
3.36430e-008,0.3066
3.36854e-008,0.5368
3.37279e-008,0.6954
3.37703e-008,0.8285
3.38127e-008,0.9206
3.38552e-008,0.9787
3.38976e-008,1.0129
3.39400e-008,1.0323
3.39824e-008,1.0412
3.40249e-008,1.0493
3.40673e-008,1.0477
3.41097e-008,1.0521
3.41521e-008,1.0677
3.41945e-008,1.0816
3.42370e-008,1.0799
3.42794e-008,1.0739
3.43218e-008,1.0878
3.43643e-008,1.0872
3.44067e-008,1.0307
3.44491e-008,0.7633
3.44915e-008,0.3569
3.45340e-008,0.0243
3.45764e-008,-0.2807
3.46188e-008,-0.5183
3.46612e-008,-0.6816
3.47036e-008,-0.8175
3.47461e-008,-0.9143
3.47885e-008,-0.9751
3.48309e-008,-1.0110
3.48733e-008,-1.0325
3.49158e-008,-1.0432
3.49582e-008,-1.0528
3.50006e-008,-1.0533
3.50431e-008,-1.0562
3.50855e-008,-1.0706
3.51279e-008,-1.0846
3.51703e-008,-1.0851
3.52128e-008,-1.0778
3.52552e-008,-1.0905
3.52976e-008,-1.0917
3.53400e-008,-1.0437
3.53824e-008,-0.8016
3.54249e-008,-0.3933
3.54673e-008,-0.0552
3.55097e-008,0.2528
3.55522e-008,0.4981
3.55946e-008,0.6676
3.56370e-008,0.8051
3.56794e-008,0.9058
3.57219e-008,0.9697
3.57643e-008,1.0071
3.58067e-008,1.0310
3.58491e-008,1.0449
3.58915e-008,1.0552
3.59340e-008,1.0561
3.59764e-008,1.0577
3.60188e-008,1.0701
3.60613e-008,1.0840
3.61037e-008,1.0877
3.61461e-008,1.0783
3.61885e-008,1.0877
3.62310e-008,1.0913
