.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.98693e-008,1.1292
2.99117e-008,1.1393
2.99541e-008,1.1640
2.99965e-008,1.1889
3.00390e-008,1.1952
3.00814e-008,1.1889
3.01238e-008,1.1694
3.01663e-008,1.1620
3.02087e-008,1.1651
3.02511e-008,1.1648
3.02935e-008,1.1840
3.03360e-008,1.2173
3.03784e-008,1.2412
3.04208e-008,1.1495
3.04632e-008,0.9192
3.05056e-008,0.7102
3.05481e-008,0.5274
3.05905e-008,0.4199
3.06329e-008,0.3631
3.06753e-008,0.3301
3.07178e-008,0.3459
3.07602e-008,0.3520
3.08026e-008,0.3311
3.08451e-008,0.3132
3.08875e-008,0.2948
3.09299e-008,0.2795
3.09723e-008,0.2785
3.10147e-008,0.2825
3.10572e-008,0.3005
3.10996e-008,0.3179
3.11420e-008,0.3200
3.11844e-008,0.3108
3.12269e-008,0.2837
3.12693e-008,0.2485
3.13117e-008,0.2223
3.13542e-008,0.2724
3.13966e-008,0.4472
3.14390e-008,0.6358
3.14814e-008,0.8440
3.15239e-008,0.9785
3.15663e-008,1.0499
3.16087e-008,1.0912
3.16511e-008,1.0895
3.16935e-008,1.1041
3.17360e-008,1.1264
3.17784e-008,1.1367
3.18208e-008,1.1581
3.18633e-008,1.1854
3.19057e-008,1.1951
3.19481e-008,1.1915
3.19905e-008,1.1731
3.20330e-008,1.1619
3.20754e-008,1.1649
3.21178e-008,1.1641
3.21602e-008,1.1783
3.22026e-008,1.2108
3.22451e-008,1.2397
3.22875e-008,1.1852
3.23299e-008,0.9661
3.23723e-008,0.7519
3.24148e-008,0.5553
3.24572e-008,0.4347
3.24996e-008,0.3725
3.25421e-008,0.3321
3.25845e-008,0.3423
3.26269e-008,0.3532
3.26693e-008,0.3358
3.27117e-008,0.3161
3.27542e-008,0.2988
3.27966e-008,0.2813
3.28390e-008,0.2779
3.28814e-008,0.2810
3.29239e-008,0.2960
3.29663e-008,0.3157
3.30087e-008,0.3206
3.30512e-008,0.3137
3.30936e-008,0.2904
3.31360e-008,0.2550
3.31784e-008,0.2251
3.32209e-008,0.2434
3.32633e-008,0.4092
3.33057e-008,0.5972
3.33481e-008,0.8089
3.33905e-008,0.9585
3.34330e-008,1.0383
3.34754e-008,1.0875
3.35178e-008,1.0898
3.35603e-008,1.0997
3.36027e-008,1.1229
3.36451e-008,1.1347
3.36875e-008,1.1525
3.37300e-008,1.1810
3.37724e-008,1.1945
3.38148e-008,1.1933
3.38572e-008,1.1772
3.38996e-008,1.1625
3.39421e-008,1.1643
3.39845e-008,1.1642
3.40269e-008,1.1733
3.40694e-008,1.2042
3.41118e-008,1.2356
3.41542e-008,1.2144
3.41966e-008,1.0148
3.42391e-008,0.7903
3.42815e-008,0.5870
3.43239e-008,0.4530
3.43663e-008,0.3826
3.44087e-008,0.3356
3.44512e-008,0.3381
3.44936e-008,0.3528
3.45360e-008,0.3407
3.45784e-008,0.3192
3.46209e-008,0.3028
3.46633e-008,0.2839
3.47057e-008,0.2775
3.47482e-008,0.2802
3.47906e-008,0.2917
3.48330e-008,0.3128
3.48754e-008,0.3207
3.49178e-008,0.3159
3.49603e-008,0.2966
3.50027e-008,0.2618
3.50451e-008,0.2302
3.50875e-008,0.2234
3.51300e-008,0.3703
3.51724e-008,0.5603
3.52148e-008,0.7692
3.52573e-008,0.9347
3.52997e-008,1.0255
3.53421e-008,1.0822
3.53845e-008,1.0913
3.54270e-008,1.0958
3.54694e-008,1.1187
3.55118e-008,1.1330
3.55542e-008,1.1473
3.55966e-008,1.1759
3.56391e-008,1.1935
3.56815e-008,1.1945
3.57239e-008,1.1813
3.57664e-008,1.1638
3.58088e-008,1.1634
3.58512e-008,1.1645
3.58936e-008,1.1694
3.59361e-008,1.1976
3.59785e-008,1.2300
3.60209e-008,1.2326
3.60633e-008,1.0632
3.61057e-008,0.8293
3.61482e-008,0.6229
3.61906e-008,0.4743
3.62330e-008,0.3942
3.62754e-008,0.3419
3.63179e-008,0.3337
3.63603e-008,0.3512
3.64027e-008,0.3453
3.64452e-008,0.3226
3.64876e-008,0.3065
3.65300e-008,0.2870
3.65724e-008,0.2775
3.66148e-008,0.2795
3.66573e-008,0.2880
3.66997e-008,0.3093
3.67421e-008,0.3205
3.67845e-008,0.3176
3.68270e-008,0.3021
3.68694e-008,0.2688
3.69118e-008,0.2358
3.69543e-008,0.2181
3.69967e-008,0.3342
3.70391e-008,0.5245
3.70815e-008,0.7262
3.71240e-008,0.9081
3.71664e-008,1.0114
3.72088e-008,1.0737
3.72512e-008,1.0931
3.72936e-008,1.0926
3.73361e-008,1.1141
3.73785e-008,1.1314
3.74209e-008,1.1429
3.74634e-008,1.1703
3.75058e-008,1.1918
3.75482e-008,1.1950
3.75906e-008,1.1852
3.76331e-008,1.1660
3.76755e-008,1.1626
3.77179e-008,1.1649
3.77603e-008,1.1665
3.78027e-008,1.1909
3.78452e-008,1.2241
3.78876e-008,1.2396
3.79300e-008,1.1066
3.79725e-008,0.8700
3.80149e-008,0.6622
3.80573e-008,0.4983
3.80997e-008,0.4061
3.81422e-008,0.3515
3.81846e-008,0.3305
3.82270e-008,0.3491
3.82694e-008,0.3491
3.83118e-008,0.3263
3.83543e-008,0.3098
3.83967e-008,0.2905
3.84391e-008,0.2781
3.84815e-008,0.2790
3.85240e-008,0.2849
3.85664e-008,0.3053
3.86088e-008,0.3196
3.86513e-008,0.3189
3.86937e-008,0.3067
3.87361e-008,0.2759
3.87785e-008,0.2417
3.88210e-008,0.2202
3.88634e-008,0.3035
3.89058e-008,0.4885
3.89482e-008,0.6823
3.89906e-008,0.8788
3.90331e-008,0.9967
3.90755e-008,1.0625
3.91179e-008,1.0934
3.91604e-008,1.0904
3.92028e-008,1.1093
3.92452e-008,1.1294
3.92876e-008,1.1395
3.93301e-008,1.1645
3.93725e-008,1.1893
3.94149e-008,1.1952
3.94573e-008,1.1886
3.94997e-008,1.1690
3.95422e-008,1.1620
3.95846e-008,1.1651
3.96270e-008,1.1648
3.96695e-008,1.1846
3.97119e-008,1.2179
3.97543e-008,1.2413
3.97967e-008,1.1453
3.98392e-008,0.9140
3.98816e-008,0.7053
3.99240e-008,0.5243
3.99664e-008,0.4184
4.00088e-008,0.3619
4.00513e-008,0.3299
4.00937e-008,0.3463
4.01361e-008,0.3518
4.01785e-008,0.3305
4.02210e-008,0.3129
4.02634e-008,0.2943
4.03058e-008,0.2793
4.03483e-008,0.2785
4.03907e-008,0.2826
4.04331e-008,0.3009
4.04755e-008,0.3182
4.05179e-008,0.3199
4.05604e-008,0.3105
4.06028e-008,0.2829
4.06452e-008,0.2478
4.06876e-008,0.2220
4.07301e-008,0.2751
4.07725e-008,0.4511
4.08149e-008,0.6401
4.08574e-008,0.8474
4.08998e-008,0.9804
4.09422e-008,1.0510
4.09846e-008,1.0914
4.10271e-008,1.0895
4.10695e-008,1.1045
4.11119e-008,1.1267
4.11543e-008,1.1369
4.11967e-008,1.1587
4.12392e-008,1.1858
4.12816e-008,1.1951
4.13240e-008,1.1912
4.13665e-008,1.1727
4.14089e-008,1.1618
4.14513e-008,1.1649
4.14937e-008,1.1641
4.15362e-008,1.1788
4.15786e-008,1.2115
4.16210e-008,1.2401
4.16634e-008,1.1813
4.17058e-008,0.9607
4.17483e-008,0.7472
4.17907e-008,0.5519
4.18331e-008,0.4328
4.18756e-008,0.3714
4.19180e-008,0.3317
4.19604e-008,0.3427
4.20028e-008,0.3532
4.20453e-008,0.3352
4.20877e-008,0.3158
4.21301e-008,0.2983
4.21725e-008,0.2811
4.22149e-008,0.2780
4.22574e-008,0.2811
4.22998e-008,0.2965
4.23422e-008,0.3160
4.23846e-008,0.3205
4.24271e-008,0.3134
4.24695e-008,0.2897
4.25119e-008,0.2542
4.25544e-008,0.2245
4.25968e-008,0.2458
4.26392e-008,0.4131
4.26816e-008,0.6012
4.27241e-008,0.8128
4.27665e-008,0.9609
4.28089e-008,1.0395
4.28513e-008,1.0879
4.28937e-008,1.0897
4.29362e-008,1.1001
4.29786e-008,1.1232
4.30210e-008,1.1348
4.30635e-008,1.1530
4.31059e-008,1.1815
4.31483e-008,1.1946
4.31907e-008,1.1932
4.32332e-008,1.1767
4.32756e-008,1.1623
4.33180e-008,1.1643
4.33604e-008,1.1641
4.34028e-008,1.1737
4.34453e-008,1.2049
4.34877e-008,1.2361
4.35301e-008,1.2119
4.35726e-008,1.0092
4.36150e-008,0.7859
4.36574e-008,0.5831
4.36998e-008,0.4507
4.37423e-008,0.3814
4.37847e-008,0.3350
4.38271e-008,0.3385
4.38695e-008,0.3530
4.39119e-008,0.3402
4.39544e-008,0.3188
4.39968e-008,0.3023
4.40392e-008,0.2835
4.40816e-008,0.2775
4.41241e-008,0.2802
4.41665e-008,0.2922
4.42089e-008,0.3132
4.42514e-008,0.3208
4.42938e-008,0.3157
4.43362e-008,0.2960
4.43786e-008,0.2610
4.44210e-008,0.2295
4.44635e-008,0.2242
4.45059e-008,0.3742
4.45483e-008,0.5641
4.45907e-008,0.7736
4.46332e-008,0.9375
4.46756e-008,1.0269
4.47180e-008,1.0829
4.47605e-008,1.0911
4.48029e-008,1.0961
4.48453e-008,1.1191
4.48877e-008,1.1332
4.49302e-008,1.1477
4.49726e-008,1.1764
4.50150e-008,1.1936
4.50574e-008,1.1944
4.50998e-008,1.1809
4.51423e-008,1.1636
4.51847e-008,1.1635
4.52271e-008,1.1644
