.HEADER
..NAMES
Time,V U1.M20
.DATA
4.34450e-008,1.2119
4.34910e-008,1.2064
4.35369e-008,1.1258
4.35828e-008,0.9905
4.36287e-008,0.8486
4.36747e-008,0.6966
4.37206e-008,0.5241
4.37665e-008,0.3880
4.38124e-008,0.2920
4.38584e-008,0.2316
4.39043e-008,0.2001
4.39502e-008,0.1957
4.39961e-008,0.1965
4.40421e-008,0.2038
4.40880e-008,0.2099
4.41339e-008,0.2122
4.41798e-008,0.2053
4.42258e-008,0.1968
4.42717e-008,0.1902
4.43176e-008,0.1971
4.43635e-008,0.2220
4.44095e-008,0.2586
4.44554e-008,0.2913
4.45013e-008,0.3097
4.45472e-008,0.3079
4.45932e-008,0.2921
4.46391e-008,0.2735
4.46850e-008,0.2635
4.47309e-008,0.2667
4.47769e-008,0.2807
4.48228e-008,0.2957
4.48687e-008,0.3022
4.49146e-008,0.2954
4.49606e-008,0.2771
4.50065e-008,0.2546
4.50524e-008,0.2364
4.50983e-008,0.2273
4.51443e-008,0.2279
4.51902e-008,0.2352
4.52361e-008,0.2450
4.52821e-008,0.2537
4.53280e-008,0.2591
4.53739e-008,0.2699
4.54198e-008,0.3699
4.54658e-008,0.5211
4.55117e-008,0.6900
4.55576e-008,0.8690
4.56035e-008,1.0498
4.56495e-008,1.1513
4.56954e-008,1.2181
4.57413e-008,1.2540
4.57872e-008,1.2699
4.58332e-008,1.2690
4.58791e-008,1.2737
4.59250e-008,1.2698
4.59709e-008,1.2668
4.60169e-008,1.2666
4.60628e-008,1.2716
4.61087e-008,1.2766
4.61546e-008,1.2805
4.62006e-008,1.2724
4.62465e-008,1.2458
4.62924e-008,1.2081
4.63383e-008,1.1733
4.63843e-008,1.1546
4.64302e-008,1.1606
4.64761e-008,1.1851
4.65220e-008,1.2102
4.65680e-008,1.2204
4.66139e-008,1.2087
4.66598e-008,1.1827
4.67057e-008,1.1596
4.67517e-008,1.1547
4.67976e-008,1.1716
4.68435e-008,1.2024
4.68894e-008,1.2322
4.69354e-008,1.2486
4.69813e-008,1.2486
4.70272e-008,1.2376
4.70731e-008,1.2242
4.71190e-008,1.2147
4.71650e-008,1.2114
4.72109e-008,1.2128
4.72568e-008,1.2162
4.73027e-008,1.2206
4.73487e-008,1.2261
4.73946e-008,1.2321
4.74405e-008,1.2372
4.74864e-008,1.2392
4.75324e-008,1.2366
4.75783e-008,1.2301
4.76242e-008,1.2229
4.76701e-008,1.2191
4.77161e-008,1.2214
4.77620e-008,1.2292
4.78079e-008,1.2385
4.78538e-008,1.2444
4.78998e-008,1.2436
4.79457e-008,1.2366
4.79916e-008,1.2275
