.HEADER
..NAMES
Time,V U1.M24
.DATA
3.78431e-008,1.2626
3.78855e-008,1.2610
3.79280e-008,1.2591
3.79704e-008,1.2647
3.80128e-008,1.2694
3.80552e-008,1.2687
3.80976e-008,1.2665
3.81401e-008,1.2618
3.81825e-008,1.2600
3.82249e-008,1.2622
3.82673e-008,1.2630
3.83098e-008,1.2632
3.83522e-008,1.2646
3.83946e-008,1.2639
3.84371e-008,1.2637
3.84795e-008,1.2652
3.85219e-008,1.2639
3.85643e-008,1.2625
3.86067e-008,1.2625
3.86492e-008,1.2626
3.86916e-008,1.2642
3.87340e-008,1.2651
3.87764e-008,1.2642
3.88189e-008,1.2635
3.88613e-008,1.2627
3.89037e-008,1.2627
3.89462e-008,1.2639
3.89886e-008,1.2642
3.90310e-008,1.2637
3.90734e-008,1.2638
3.91159e-008,1.2636
3.91583e-008,1.2634
3.92007e-008,1.2639
3.92431e-008,1.2637
3.92855e-008,1.2633
3.93280e-008,1.2634
3.93704e-008,1.2635
3.94128e-008,1.2639
3.94553e-008,1.2640
3.94977e-008,1.2636
3.95401e-008,1.2634
3.95825e-008,1.2634
3.96250e-008,1.2634
3.96674e-008,1.2638
3.97098e-008,1.2638
3.97522e-008,1.2635
3.97946e-008,1.2635
3.98371e-008,1.2636
3.98795e-008,1.2635
3.99219e-008,1.2637
3.99644e-008,1.2636
4.00068e-008,1.2635
4.00492e-008,1.2635
4.00916e-008,1.2636
4.01341e-008,1.2637
4.01765e-008,1.2637
4.02189e-008,1.2635
4.02613e-008,1.2635
4.03037e-008,1.2635
4.03462e-008,1.2636
4.03886e-008,1.2636
4.04310e-008,1.2636
4.04734e-008,1.2635
4.05159e-008,1.2635
4.05583e-008,1.2636
4.06007e-008,1.2636
4.06432e-008,1.2636
4.06856e-008,1.2635
4.07280e-008,1.2635
4.07704e-008,1.2635
4.08128e-008,1.2635
4.08553e-008,1.2636
4.08977e-008,1.2635
4.09401e-008,1.2635
4.09825e-008,1.2635
4.10250e-008,1.2635
4.10674e-008,1.2635
4.11098e-008,1.2635
4.11523e-008,1.2635
4.11947e-008,1.2635
4.12371e-008,1.2635
4.12795e-008,1.2635
4.13220e-008,1.2635
4.13644e-008,1.2635
4.14068e-008,1.2635
4.14492e-008,1.2635
4.14916e-008,1.2635
4.15341e-008,1.2635
4.15765e-008,1.2635
4.16189e-008,1.2635
4.16614e-008,1.2635
4.17038e-008,1.2635
4.17462e-008,1.2635
4.17886e-008,1.2635
