.HEADER
..NAMES
Time,V U1.R23
.DATA
3.86916e-008,1.2611
3.87340e-008,1.2611
3.87764e-008,1.2628
3.88189e-008,1.2523
3.88613e-008,1.0995
3.89037e-008,0.8697
3.89462e-008,0.6900
3.89886e-008,0.5143
3.90310e-008,0.3966
3.90734e-008,0.3342
3.91159e-008,0.2957
3.91583e-008,0.2852
3.92007e-008,0.2847
3.92431e-008,0.2964
3.92855e-008,0.2969
3.93280e-008,0.2943
3.93704e-008,0.2756
3.94128e-008,0.2427
3.94553e-008,0.2568
3.94977e-008,0.2811
3.95401e-008,0.2958
3.95825e-008,0.3048
3.96250e-008,0.2722
3.96674e-008,0.2355
3.97098e-008,0.2190
3.97522e-008,0.2084
3.97946e-008,0.3271
3.98371e-008,0.5333
3.98795e-008,0.7232
3.99219e-008,0.9209
3.99644e-008,1.0406
4.00068e-008,1.1114
4.00492e-008,1.1537
4.00916e-008,1.1707
4.01341e-008,1.1778
4.01765e-008,1.1655
4.02189e-008,1.1739
4.02613e-008,1.1792
4.03037e-008,1.1958
4.03462e-008,1.2267
4.03886e-008,1.2131
4.04310e-008,1.1944
4.04734e-008,1.1778
4.05159e-008,1.1654
4.05583e-008,1.1955
4.06007e-008,1.2310
4.06432e-008,1.2521
4.06856e-008,1.2525
4.07280e-008,1.1034
4.07704e-008,0.8443
4.08128e-008,0.6645
4.08553e-008,0.4940
4.08977e-008,0.3815
4.09401e-008,0.3255
4.09825e-008,0.2926
4.10250e-008,0.2847
4.10674e-008,0.2892
4.11098e-008,0.3065
4.11523e-008,0.2986
4.11947e-008,0.2903
4.12371e-008,0.2712
4.12795e-008,0.2364
4.13220e-008,0.2576
4.13644e-008,0.2917
4.14068e-008,0.3040
4.14492e-008,0.3081
4.14916e-008,0.2701
4.15341e-008,0.2268
4.15765e-008,0.2145
4.16189e-008,0.2089
4.16614e-008,0.2130
4.17038e-008,0.2180
4.17462e-008,0.2182
4.17886e-008,0.2190
4.18311e-008,0.2226
4.18735e-008,0.2234
4.19159e-008,0.2157
4.19583e-008,0.2135
4.20007e-008,0.2084
4.20432e-008,0.2034
4.20856e-008,0.2141
4.21280e-008,0.2203
4.21704e-008,0.2197
4.22129e-008,0.2175
4.22553e-008,0.2081
4.22977e-008,0.2054
4.23402e-008,0.2112
4.23826e-008,0.2150
4.24250e-008,0.2173
4.24674e-008,0.2173
4.25098e-008,0.2151
4.25523e-008,0.2145
4.25947e-008,0.2162
4.26371e-008,0.2156
4.26795e-008,0.2135
4.27220e-008,0.2140
4.27644e-008,0.2134
4.28068e-008,0.2135
4.28493e-008,0.2167
4.28917e-008,0.2168
4.29341e-008,0.2157
4.29765e-008,0.2146
4.30190e-008,0.2126
4.30614e-008,0.2135
4.31038e-008,0.2157
4.31462e-008,0.2160
4.31886e-008,0.2155
4.32311e-008,0.2148
4.32735e-008,0.2141
4.33159e-008,0.2144
4.33584e-008,0.2153
4.34008e-008,0.2149
4.34432e-008,0.2144
4.34856e-008,0.2147
4.35281e-008,0.2146
4.35705e-008,0.2149
4.36129e-008,0.2155
4.36553e-008,0.2150
4.36977e-008,0.2147
4.37402e-008,0.2145
4.37826e-008,0.2143
4.38250e-008,0.2149
4.38675e-008,0.2153
4.39099e-008,0.2151
4.39523e-008,0.2148
4.39947e-008,0.2146
4.40372e-008,0.2146
4.40796e-008,0.2149
4.41220e-008,0.2151
4.41644e-008,0.2149
4.42068e-008,0.2147
4.42493e-008,0.2148
4.42917e-008,0.2148
4.43341e-008,0.2150
4.43765e-008,0.2150
4.44190e-008,0.2148
4.44614e-008,0.2396
4.45038e-008,0.3975
4.45463e-008,0.5728
4.45887e-008,0.7892
4.46311e-008,0.9539
4.46735e-008,1.0564
4.47160e-008,1.1225
4.47584e-008,1.1548
4.48008e-008,1.1785
4.48432e-008,1.1807
4.48856e-008,1.1774
4.49281e-008,1.1766
4.49705e-008,1.1786
4.50129e-008,1.2040
4.50554e-008,1.2216
4.50978e-008,1.2124
4.51402e-008,1.1997
4.51826e-008,1.1758
4.52251e-008,1.1745
4.52675e-008,1.2057
