.HEADER
..NAMES
Time,V U1.N24
.DATA
4.02613e-008,0.2196
4.03037e-008,0.2220
4.03462e-008,0.2197
4.03886e-008,0.2164
4.04310e-008,0.2164
4.04734e-008,0.2178
4.05159e-008,0.2216
4.05583e-008,0.2244
4.06007e-008,0.2237
4.06432e-008,0.2196
4.06856e-008,0.2139
4.07280e-008,0.2085
4.07704e-008,0.2058
4.08128e-008,0.2092
4.08553e-008,0.2144
4.08977e-008,0.2178
4.09401e-008,0.2204
4.09825e-008,0.2198
4.10250e-008,0.2167
4.10674e-008,0.2158
4.11098e-008,0.2162
4.11523e-008,0.2167
4.11947e-008,0.2175
4.12371e-008,0.2176
4.12795e-008,0.2170
4.13220e-008,0.2161
4.13644e-008,0.2152
4.14068e-008,0.2151
4.14492e-008,0.2157
4.14916e-008,0.2166
4.15341e-008,0.2175
4.15765e-008,0.2180
4.16189e-008,0.2176
4.16614e-008,0.2167
4.17038e-008,0.2162
4.17462e-008,0.2160
4.17886e-008,0.2161
4.18311e-008,0.2166
4.18735e-008,0.2169
4.19159e-008,0.2168
4.19583e-008,0.2166
4.20007e-008,0.2164
4.20432e-008,0.2163
4.20856e-008,0.2165
4.21280e-008,0.2167
4.21704e-008,0.2168
4.22129e-008,0.2169
4.22553e-008,0.2168
4.22977e-008,0.2166
4.23402e-008,0.2165
4.23826e-008,0.2164
4.24250e-008,0.2165
4.24674e-008,0.2166
4.25098e-008,0.2167
4.25523e-008,0.2167
4.25947e-008,0.2167
4.26371e-008,0.2166
4.26795e-008,0.2166
4.27220e-008,0.2166
4.27644e-008,0.2167
4.28068e-008,0.2167
4.28493e-008,0.2167
4.28917e-008,0.2167
4.29341e-008,0.2166
4.29765e-008,0.2166
4.30190e-008,0.2166
4.30614e-008,0.2378
4.31038e-008,0.3921
4.31462e-008,0.5674
4.31886e-008,0.7806
4.32311e-008,0.9479
4.32735e-008,1.0567
4.33159e-008,1.1179
4.33584e-008,1.1551
4.34008e-008,1.1771
4.34432e-008,1.2030
4.34856e-008,1.2227
4.35281e-008,1.2354
4.35705e-008,1.2329
4.36129e-008,1.2150
4.36553e-008,1.1870
4.36977e-008,1.1587
4.37402e-008,1.1575
4.37826e-008,1.1754
4.38250e-008,1.2069
4.38675e-008,1.2440
4.39099e-008,1.2613
4.39523e-008,1.2611
4.39947e-008,1.2108
4.40372e-008,0.9708
4.40796e-008,0.7564
4.41220e-008,0.5817
4.41644e-008,0.4405
4.42068e-008,0.3540
4.42493e-008,0.3145
4.42917e-008,0.2846
4.43341e-008,0.2689
4.43765e-008,0.2467
4.44190e-008,0.2340
4.44614e-008,0.2341
4.45038e-008,0.2531
4.45463e-008,0.2817
4.45887e-008,0.3117
4.46311e-008,0.3338
4.46735e-008,0.3162
4.47160e-008,0.2800
4.47584e-008,0.2474
4.48008e-008,0.2140
4.48432e-008,0.2044
4.48856e-008,0.2155
4.49281e-008,0.2276
4.49705e-008,0.3874
4.50129e-008,0.5800
4.50554e-008,0.7759
4.50978e-008,0.9465
4.51402e-008,1.0571
4.51826e-008,1.1194
4.52251e-008,1.1617
4.52675e-008,1.1826
