.HEADER
..NAMES
Time,V U1.T24
.DATA
2.30368e-008,1.2626
2.30792e-008,1.2615
2.31216e-008,1.2613
2.31641e-008,1.2622
2.32065e-008,1.2634
2.32489e-008,1.2642
2.32913e-008,1.2641
2.33338e-008,1.2631
2.33762e-008,1.2620
2.34186e-008,1.2617
2.34610e-008,1.2622
2.35034e-008,1.2632
2.35459e-008,1.2637
2.35883e-008,1.2634
2.36307e-008,1.2629
2.36732e-008,1.2625
2.37156e-008,1.2625
2.37580e-008,1.2629
2.38004e-008,1.2632
2.38428e-008,1.2631
2.38853e-008,1.2628
2.39277e-008,1.2626
2.39701e-008,1.2626
2.40126e-008,1.2628
2.40550e-008,1.2630
2.40974e-008,1.2631
2.41398e-008,1.2631
2.41823e-008,1.2628
2.42247e-008,1.2626
2.42671e-008,1.2626
2.43095e-008,1.2627
2.43519e-008,1.2629
2.43944e-008,1.2631
2.44368e-008,1.2630
2.44792e-008,1.2628
2.45217e-008,1.2627
2.45641e-008,1.2627
2.46065e-008,1.2628
2.46489e-008,1.2629
2.46913e-008,1.2629
2.47338e-008,1.2628
2.47762e-008,1.2627
2.48186e-008,1.2627
2.48611e-008,1.2628
2.49035e-008,1.2629
2.49459e-008,1.2629
2.49883e-008,1.2628
2.50308e-008,1.2628
2.50732e-008,1.2627
2.51156e-008,1.2627
2.51580e-008,1.2628
2.52004e-008,1.2628
2.52429e-008,1.2397
2.52853e-008,1.0408
2.53277e-008,0.8186
2.53702e-008,0.6165
2.54126e-008,0.4401
2.54550e-008,0.3332
2.54974e-008,0.2889
2.55398e-008,0.2611
2.55823e-008,0.2688
2.56247e-008,0.2637
2.56671e-008,0.2697
2.57096e-008,0.2929
2.57520e-008,0.2998
2.57944e-008,0.2960
2.58368e-008,0.2903
2.58793e-008,0.2631
2.59217e-008,0.2382
2.59641e-008,0.2430
2.60065e-008,0.2639
2.60489e-008,0.2878
2.60914e-008,0.3008
2.61338e-008,0.2899
2.61762e-008,0.2568
2.62187e-008,0.2248
2.62611e-008,0.2066
2.63035e-008,0.2070
2.63459e-008,0.2160
2.63883e-008,0.2207
2.64308e-008,0.2242
2.64732e-008,0.2247
2.65156e-008,0.2199
2.65580e-008,0.2202
2.66005e-008,0.2222
2.66429e-008,0.2187
2.66853e-008,0.2157
2.67278e-008,0.2124
2.67702e-008,0.2082
2.68126e-008,0.2092
2.68550e-008,0.2136
2.68974e-008,0.2187
2.69399e-008,0.2220
2.69823e-008,0.2195
2.70247e-008,0.2148
2.70672e-008,0.2113
2.71096e-008,0.2110
2.71520e-008,0.3263
2.71944e-008,0.5175
2.72368e-008,0.7236
2.72793e-008,0.9320
2.73217e-008,1.0651
2.73641e-008,1.1371
2.74065e-008,1.1803
2.74490e-008,1.1901
2.74914e-008,1.2061
2.75338e-008,1.2069
2.75763e-008,1.1933
2.76187e-008,1.1822
2.76611e-008,1.1790
2.77035e-008,1.1798
2.77459e-008,1.2010
2.77884e-008,1.2252
2.78308e-008,1.2337
2.78732e-008,1.2241
2.79157e-008,1.2007
2.79581e-008,1.1800
2.80005e-008,1.1781
2.80429e-008,1.1856
2.80854e-008,1.0565
2.81278e-008,0.8257
2.81702e-008,0.6301
2.82126e-008,0.4344
2.82550e-008,0.3204
2.82975e-008,0.2787
2.83399e-008,0.2526
2.83823e-008,0.2622
2.84248e-008,0.2615
2.84672e-008,0.2617
2.85096e-008,0.2852
2.85520e-008,0.3020
2.85944e-008,0.2993
2.86369e-008,0.2997
2.86793e-008,0.2743
2.87217e-008,0.2420
2.87642e-008,0.2365
2.88066e-008,0.2548
2.88490e-008,0.2828
2.88914e-008,0.3035
2.89339e-008,0.2995
2.89763e-008,0.2675
2.90187e-008,0.2294
2.90611e-008,0.2042
2.91035e-008,0.2017
2.91460e-008,0.2133
2.91884e-008,0.2214
2.92308e-008,0.2250
2.92733e-008,0.2260
2.93157e-008,0.2204
2.93581e-008,0.2187
2.94005e-008,0.2219
2.94429e-008,0.2201
2.94854e-008,0.2169
2.95278e-008,0.2135
2.95702e-008,0.2084
2.96127e-008,0.2077
2.96551e-008,0.2117
2.96975e-008,0.2174
2.97399e-008,0.2226
2.97824e-008,0.2215
2.98248e-008,0.2163
2.98672e-008,0.2118
2.99096e-008,0.2089
2.99521e-008,0.2793
2.99945e-008,0.4636
3.00369e-008,0.6520
3.00793e-008,0.8819
3.01218e-008,1.0332
3.01642e-008,1.1187
3.02066e-008,1.1697
3.02490e-008,1.1889
3.02914e-008,1.2015
3.03339e-008,1.2092
3.03763e-008,1.1986
3.04187e-008,1.1837
3.04612e-008,1.1807
3.05036e-008,1.1771
3.05460e-008,1.1938
3.05884e-008,1.2193
3.06309e-008,1.2337
3.06733e-008,1.2286
3.07157e-008,1.2083
3.07581e-008,1.1846
3.08005e-008,1.1759
3.08430e-008,1.1926
3.08854e-008,1.2239
3.09278e-008,1.2529
3.09702e-008,1.2664
3.10127e-008,1.2630
3.10551e-008,1.2557
3.10975e-008,1.2515
3.11400e-008,1.2508
3.11824e-008,1.2557
3.12248e-008,1.2587
3.12672e-008,1.2573
3.13096e-008,1.2579
3.13521e-008,1.2600
3.13945e-008,1.2632
3.14369e-008,1.2682
3.14793e-008,1.2703
3.15218e-008,1.2685
3.15642e-008,1.2644
3.16066e-008,1.2592
3.16491e-008,1.2579
3.16915e-008,1.2610
3.17339e-008,1.2652
3.17763e-008,1.2690
3.18188e-008,1.2690
3.18612e-008,1.2650
3.19036e-008,1.2612
3.19460e-008,1.2598
3.19884e-008,1.2606
3.20309e-008,1.2627
3.20733e-008,1.2639
3.21157e-008,1.2636
3.21582e-008,1.2628
3.22006e-008,1.2623
3.22430e-008,1.2627
3.22854e-008,1.2636
3.23279e-008,1.2638
3.23703e-008,1.2633
3.24127e-008,1.2625
3.24551e-008,1.2617
3.24975e-008,1.2616
3.25400e-008,1.2624
3.25824e-008,1.2633
3.26248e-008,1.2639
3.26672e-008,1.2638
3.27097e-008,1.2630
3.27521e-008,1.2621
3.27945e-008,1.2620
3.28370e-008,1.2624
3.28794e-008,1.2631
3.29218e-008,1.2634
3.29642e-008,1.2632
3.30066e-008,1.2628
3.30491e-008,1.2626
3.30915e-008,1.2626
3.31339e-008,1.2629
3.31763e-008,1.2631
3.32188e-008,1.2630
3.32612e-008,1.2628
3.33036e-008,1.2626
3.33461e-008,1.2626
3.33885e-008,1.2628
3.34309e-008,1.2630
3.34733e-008,1.2631
3.35158e-008,1.2630
3.35582e-008,1.2628
3.36006e-008,1.2626
3.36430e-008,1.2626
3.36854e-008,1.2264
3.37279e-008,1.0097
3.37703e-008,0.7973
3.38127e-008,0.5916
3.38552e-008,0.4231
3.38976e-008,0.3261
3.39400e-008,0.2847
3.39824e-008,0.2608
3.40249e-008,0.2691
3.40673e-008,0.2634
3.41097e-008,0.2718
3.41521e-008,0.2953
3.41945e-008,0.2989
3.42370e-008,0.2961
3.42794e-008,0.2881
3.43218e-008,0.2594
3.43643e-008,0.2372
3.44067e-008,0.2451
3.44491e-008,0.2668
3.44915e-008,0.2901
3.45340e-008,0.3010
3.45764e-008,0.2868
3.46188e-008,0.2526
3.46612e-008,0.2218
3.47036e-008,0.2058
3.47461e-008,0.2079
3.47885e-008,0.2168
3.48309e-008,0.2211
3.48733e-008,0.2247
3.49158e-008,0.2243
3.49582e-008,0.2196
3.50006e-008,0.2206
3.50431e-008,0.2220
3.50855e-008,0.2182
3.51279e-008,0.2154
3.51703e-008,0.2118
3.52128e-008,0.2080
3.52552e-008,0.2097
3.52976e-008,0.2142
3.53400e-008,0.2193
3.53824e-008,0.2220
3.54249e-008,0.2189
3.54673e-008,0.2143
3.55097e-008,0.2110
3.55522e-008,0.2144
3.55946e-008,0.3477
3.56370e-008,0.5388
3.56794e-008,0.7532
3.57219e-008,0.9512
3.57643e-008,1.0765
3.58067e-008,1.1437
3.58491e-008,1.1833
3.58915e-008,1.1911
3.59340e-008,1.2074
3.59764e-008,1.2060
3.60188e-008,1.1913
3.60613e-008,1.1819
3.61037e-008,1.1783
3.61461e-008,1.1815
3.61885e-008,1.2040
3.62310e-008,1.2274
3.62734e-008,1.2334
3.63158e-008,1.2219
3.63582e-008,1.1977
3.64006e-008,1.1785
3.64431e-008,1.1796
3.64855e-008,1.2047
3.65279e-008,1.2366
3.65703e-008,1.2607
3.66128e-008,1.2665
3.66552e-008,1.2598
3.66976e-008,1.2537
3.67401e-008,1.2504
3.67825e-008,1.2522
3.68249e-008,1.2575
3.68673e-008,1.2582
3.69097e-008,1.2570
3.69522e-008,1.2587
3.69946e-008,1.2609
3.70370e-008,1.2651
3.70794e-008,1.2695
3.71219e-008,1.2698
3.71643e-008,1.2670
3.72067e-008,1.2621
3.72492e-008,1.2580
3.72916e-008,1.2588
3.73340e-008,1.2625
3.73764e-008,1.2668
3.74189e-008,1.2695
3.74613e-008,1.2676
3.75037e-008,1.2631
3.75461e-008,1.2603
3.75885e-008,1.2598
3.76310e-008,1.2613
3.76734e-008,1.2633
3.77158e-008,1.2639
3.77583e-008,1.2632
3.78007e-008,1.2624
3.78431e-008,1.2623
3.78855e-008,1.2630
3.79280e-008,1.2637
3.79704e-008,1.2636
3.80128e-008,1.2629
3.80552e-008,1.2621
3.80976e-008,1.2615
3.81401e-008,1.2618
3.81825e-008,1.2628
3.82249e-008,1.2635
3.82673e-008,1.2639
3.83098e-008,1.2634
3.83522e-008,1.2546
3.83946e-008,1.1280
3.84371e-008,0.8879
3.84795e-008,0.6967
3.85219e-008,0.4981
3.85643e-008,0.3637
3.86067e-008,0.3043
3.86492e-008,0.2675
3.86916e-008,0.2651
3.87340e-008,0.2659
3.87764e-008,0.2654
3.88189e-008,0.2839
3.88613e-008,0.3010
3.89037e-008,0.2957
3.89462e-008,0.2948
3.89886e-008,0.2746
3.90310e-008,0.2447
3.90734e-008,0.2383
3.91159e-008,0.2558
3.91583e-008,0.2795
3.92007e-008,0.2979
3.92431e-008,0.2972
3.92855e-008,0.2699
