.HEADER
..NAMES
Time,V U1.J23
.DATA
3.33036e-008,0.2154
3.33461e-008,0.2154
3.33885e-008,0.2154
3.34309e-008,0.2154
3.34733e-008,0.2154
3.35158e-008,0.2154
3.35582e-008,0.2155
3.36006e-008,0.2155
3.36430e-008,0.2154
3.36854e-008,0.2567
3.37279e-008,0.4261
3.37703e-008,0.6035
3.38127e-008,0.8209
3.38552e-008,0.9633
3.38976e-008,1.0430
3.39400e-008,1.0959
3.39824e-008,1.1251
3.40249e-008,1.1682
3.40673e-008,1.1988
3.41097e-008,1.2160
3.41521e-008,1.2307
3.41945e-008,1.2342
3.42370e-008,1.2352
3.42794e-008,1.2298
3.43218e-008,1.2204
3.43643e-008,1.2083
3.44067e-008,1.1903
3.44491e-008,1.1829
3.44915e-008,1.1851
3.45340e-008,1.2001
3.45764e-008,1.2270
3.46188e-008,1.2470
3.46612e-008,1.2557
3.47036e-008,1.2539
3.47461e-008,1.2489
3.47885e-008,1.2504
3.48309e-008,1.2565
3.48733e-008,1.2637
3.49158e-008,1.2666
3.49582e-008,1.2637
3.50006e-008,1.2603
3.50431e-008,1.2587
3.50855e-008,1.2588
3.51279e-008,1.2596
3.51703e-008,1.2605
3.52128e-008,1.2616
3.52552e-008,1.2632
3.52976e-008,1.2656
3.53400e-008,1.2674
3.53824e-008,1.2676
3.54249e-008,1.2667
3.54673e-008,1.2648
3.55097e-008,1.2629
3.55522e-008,1.2252
3.55946e-008,1.0086
3.56370e-008,0.8012
3.56794e-008,0.6183
3.57219e-008,0.4771
3.57643e-008,0.3980
3.58067e-008,0.3470
3.58491e-008,0.3200
3.58915e-008,0.2920
3.59340e-008,0.2624
3.59764e-008,0.2522
3.60188e-008,0.2381
3.60613e-008,0.2315
3.61037e-008,0.2359
3.61461e-008,0.2450
3.61885e-008,0.2568
3.62310e-008,0.2686
3.62734e-008,0.2893
3.63158e-008,0.2988
3.63582e-008,0.2912
3.64006e-008,0.2740
3.64431e-008,0.2441
3.64855e-008,0.2347
3.65279e-008,0.4014
3.65703e-008,0.6114
3.66128e-008,0.8283
3.66552e-008,0.9812
3.66976e-008,1.0497
3.67401e-008,1.0944
3.67825e-008,1.1223
3.68249e-008,1.1628
3.68673e-008,1.2039
3.69097e-008,1.2193
3.69522e-008,1.2340
3.69946e-008,1.2389
3.70370e-008,1.2383
3.70794e-008,1.2324
3.71219e-008,1.2198
3.71643e-008,1.2070
3.72067e-008,1.1863
3.72492e-008,1.1757
3.72916e-008,1.1796
3.73340e-008,1.1951
3.73764e-008,1.2258
3.74189e-008,1.2231
3.74613e-008,1.0160
3.75037e-008,0.7671
3.75461e-008,0.5749
3.75885e-008,0.4411
3.76310e-008,0.3858
3.76734e-008,0.3525
3.77158e-008,0.3256
3.77583e-008,0.2929
3.78007e-008,0.2530
3.78431e-008,0.2424
3.78855e-008,0.2327
3.79280e-008,0.2272
3.79704e-008,0.2321
3.80128e-008,0.2425
3.80552e-008,0.2576
3.80976e-008,0.2722
3.81401e-008,0.2951
3.81825e-008,0.3068
3.82249e-008,0.2967
3.82673e-008,0.2753
3.83098e-008,0.2412
3.83522e-008,0.2152
3.83946e-008,0.2123
3.84371e-008,0.2202
3.84795e-008,0.2274
3.85219e-008,0.2246
3.85643e-008,0.2158
3.86067e-008,0.2088
3.86492e-008,0.2074
3.86916e-008,0.2132
3.87340e-008,0.2190
3.87764e-008,0.2202
3.88189e-008,0.2197
3.88613e-008,0.2195
3.89037e-008,0.2189
3.89462e-008,0.2171
3.89886e-008,0.2150
3.90310e-008,0.2124
3.90734e-008,0.2099
3.91159e-008,0.2100
3.91583e-008,0.2116
3.92007e-008,0.2137
3.92431e-008,0.2162
3.92855e-008,0.2173
3.93280e-008,0.3167
3.93704e-008,0.4998
3.94128e-008,0.6892
3.94553e-008,0.8856
3.94977e-008,1.0000
3.95401e-008,1.0693
3.95825e-008,1.1122
3.96250e-008,1.1405
3.96674e-008,1.1828
3.97098e-008,1.2045
3.97522e-008,1.2229
3.97946e-008,1.2330
3.98371e-008,1.2345
3.98795e-008,1.2341
3.99219e-008,1.2258
3.99644e-008,1.2169
4.00068e-008,1.2012
4.00492e-008,1.1861
4.00916e-008,1.1830
4.01341e-008,1.1889
4.01765e-008,1.2103
4.02189e-008,1.2363
4.02613e-008,1.2516
4.03037e-008,1.2562
4.03462e-008,1.2516
4.03886e-008,1.2487
4.04310e-008,1.2523
4.04734e-008,1.2592
4.05159e-008,1.2655
4.05583e-008,1.2658
4.06007e-008,1.2624
4.06432e-008,1.2596
4.06856e-008,1.2586
4.07280e-008,1.2591
4.07704e-008,1.2598
4.08128e-008,1.2609
4.08553e-008,1.2622
4.08977e-008,1.2640
4.09401e-008,1.2665
4.09825e-008,1.2676
4.10250e-008,1.2673
4.10674e-008,1.2661
4.11098e-008,1.2640
4.11523e-008,1.2570
4.11947e-008,1.1486
4.12371e-008,0.9095
4.12795e-008,0.7289
4.13220e-008,0.5523
4.13644e-008,0.4367
4.14068e-008,0.3764
4.14492e-008,0.3323
4.14916e-008,0.3115
4.15341e-008,0.2771
4.15765e-008,0.2571
4.16189e-008,0.2468
4.16614e-008,0.2336
4.17038e-008,0.2326
4.17462e-008,0.2390
4.17886e-008,0.2500
4.18311e-008,0.2609
4.18735e-008,0.2767
4.19159e-008,0.2959
4.19583e-008,0.2969
4.20007e-008,0.2855
4.20432e-008,0.2626
4.20856e-008,0.2325
4.21280e-008,0.2881
4.21704e-008,0.4933
4.22129e-008,0.6914
4.22553e-008,0.9059
4.22977e-008,1.0171
4.23402e-008,1.0686
4.23826e-008,1.1073
4.24250e-008,1.1338
4.24674e-008,1.1837
4.25098e-008,1.2116
4.25523e-008,1.2255
4.25947e-008,1.2373
4.26371e-008,1.2386
4.26795e-008,1.2371
4.27220e-008,1.2272
4.27644e-008,1.2151
4.28068e-008,1.1989
4.28493e-008,1.1795
4.28917e-008,1.1762
4.29341e-008,1.1839
4.29765e-008,1.2066
4.30190e-008,1.2381
4.30614e-008,1.2557
4.31038e-008,1.2583
4.31462e-008,1.2510
4.31886e-008,1.2461
4.32311e-008,1.2511
4.32735e-008,1.2603
4.33159e-008,1.2678
4.33584e-008,1.2678
4.34008e-008,1.2619
4.34432e-008,1.2581
4.34856e-008,1.2575
4.35281e-008,1.2586
4.35705e-008,1.2596
4.36129e-008,1.2605
4.36553e-008,1.2619
4.36977e-008,1.2640
4.37402e-008,1.2669
4.37826e-008,1.2684
4.38250e-008,1.2677
4.38675e-008,1.2662
4.39099e-008,1.2639
4.39523e-008,1.2620
4.39947e-008,1.2615
4.40372e-008,1.2623
4.40796e-008,1.2637
4.41220e-008,1.2642
4.41644e-008,1.2636
4.42068e-008,1.2623
4.42493e-008,1.2614
4.42917e-008,1.2619
4.43341e-008,1.2632
4.43765e-008,1.2641
4.44190e-008,1.2641
4.44614e-008,1.2637
4.45038e-008,1.2633
4.45463e-008,1.2632
4.45887e-008,1.2633
4.46311e-008,1.2632
4.46735e-008,1.2629
4.47160e-008,1.2627
4.47584e-008,1.2628
4.48008e-008,1.2631
4.48432e-008,1.2634
4.48856e-008,1.2634
4.49281e-008,1.2633
4.49705e-008,1.2631
4.50129e-008,1.2631
4.50554e-008,1.2631
4.50978e-008,1.2632
4.51402e-008,1.2633
4.51826e-008,1.2634
4.52251e-008,1.2633
4.52675e-008,1.2631
