.HEADER
..NAMES
Time,V U1.U20
.DATA
3.11372e-008,0.2433
3.11831e-008,0.2428
3.12290e-008,0.2428
3.12749e-008,0.2433
3.13209e-008,0.2439
3.13668e-008,0.2445
3.14127e-008,0.2449
3.14586e-008,0.2450
3.15045e-008,0.2447
3.15505e-008,0.2443
3.15964e-008,0.2437
3.16423e-008,0.2433
3.16882e-008,0.2432
3.17342e-008,0.2435
3.17801e-008,0.2441
3.18260e-008,0.2448
3.18719e-008,0.2451
3.19179e-008,0.2450
3.19638e-008,0.2445
3.20097e-008,0.2438
3.20556e-008,0.2433
3.21016e-008,0.2433
3.21475e-008,0.2437
3.21934e-008,0.2443
3.22393e-008,0.2448
3.22853e-008,0.2449
3.23312e-008,0.2447
3.23771e-008,0.2444
3.24230e-008,0.2440
3.24690e-008,0.2438
3.25149e-008,0.2438
3.25608e-008,0.2440
3.26067e-008,0.2443
3.26527e-008,0.2444
3.26986e-008,0.2445
3.27445e-008,0.2445
3.27904e-008,0.2445
3.28364e-008,0.2443
3.28823e-008,0.2442
3.29282e-008,0.2441
3.29741e-008,0.2440
3.30201e-008,0.2441
3.30660e-008,0.2443
3.31119e-008,0.2445
3.31578e-008,0.2446
3.32038e-008,0.2446
3.32497e-008,0.2445
3.32956e-008,0.2443
3.33415e-008,0.2441
3.33875e-008,0.2441
3.34334e-008,0.2442
3.34793e-008,0.2443
3.35253e-008,0.2445
3.35712e-008,0.2446
3.36171e-008,0.2446
3.36630e-008,0.2444
3.37090e-008,0.2443
3.37549e-008,0.2442
3.38008e-008,0.2442
3.38467e-008,0.2443
3.38927e-008,0.2444
3.39386e-008,0.2445
3.39845e-008,0.2445
3.40304e-008,0.2445
3.40764e-008,0.2445
3.41223e-008,0.2446
3.41682e-008,0.3038
3.42141e-008,0.4568
3.42601e-008,0.6184
3.43060e-008,0.8029
3.43519e-008,0.9856
3.43978e-008,1.1321
3.44438e-008,1.2082
3.44897e-008,1.2457
3.45356e-008,1.2656
3.45815e-008,1.2734
3.46275e-008,1.2717
3.46734e-008,1.2737
3.47193e-008,1.2804
3.47652e-008,1.2789
3.48112e-008,1.2730
3.48571e-008,1.2558
3.49030e-008,1.2289
3.49489e-008,1.1902
3.49949e-008,1.1491
3.50408e-008,1.1174
3.50867e-008,1.1036
3.51326e-008,1.1121
3.51786e-008,1.1389
3.52245e-008,1.1714
3.52704e-008,1.1928
3.53163e-008,1.1956
3.53622e-008,1.1810
3.54082e-008,1.1600
3.54541e-008,1.1474
3.55000e-008,1.1551
3.55459e-008,1.1826
3.55919e-008,1.2185
3.56378e-008,1.2485
3.56837e-008,1.2599
3.57296e-008,1.2497
3.57756e-008,1.2260
3.58215e-008,1.2021
3.58674e-008,1.1877
3.59133e-008,1.1875
3.59593e-008,1.1996
3.60052e-008,1.2170
3.60511e-008,1.2328
3.60970e-008,1.2432
3.61430e-008,1.2477
3.61889e-008,1.2464
3.62348e-008,1.2407
3.62807e-008,1.2327
3.63267e-008,1.2252
3.63726e-008,1.2210
3.64185e-008,1.2225
3.64644e-008,1.2296
3.65104e-008,1.2389
3.65563e-008,1.2456
3.66022e-008,1.2457
3.66481e-008,1.2388
3.66941e-008,1.2282
3.67400e-008,1.2194
3.67859e-008,1.2170
3.68318e-008,1.2219
3.68778e-008,1.2312
3.69237e-008,1.2398
3.69696e-008,1.2434
3.70155e-008,1.2407
3.70615e-008,1.2338
3.71074e-008,1.2267
3.71533e-008,1.2227
3.71992e-008,1.2234
3.72452e-008,1.2274
3.72911e-008,1.2323
3.73370e-008,1.2357
3.73830e-008,1.2364
3.74289e-008,1.2349
3.74748e-008,1.2321
3.75207e-008,1.2294
3.75667e-008,1.2274
3.76126e-008,1.2264
3.76585e-008,1.2266
3.77044e-008,1.2280
3.77504e-008,1.2304
3.77963e-008,1.2331
3.78422e-008,1.2350
3.78881e-008,1.2216
3.79341e-008,1.1223
3.79800e-008,0.9767
3.80259e-008,0.8255
3.80718e-008,0.6728
3.81178e-008,0.5032
3.81637e-008,0.3632
3.82096e-008,0.2844
3.82555e-008,0.2339
3.83015e-008,0.2084
3.83474e-008,0.1959
3.83933e-008,0.1965
3.84392e-008,0.1937
3.84852e-008,0.1922
3.85311e-008,0.1969
3.85770e-008,0.2096
3.86229e-008,0.2304
3.86689e-008,0.2586
3.87148e-008,0.2949
3.87607e-008,0.3287
3.88066e-008,0.3534
3.88526e-008,0.3613
3.88985e-008,0.3527
3.89444e-008,0.3307
3.89903e-008,0.3066
3.90363e-008,0.2907
3.90822e-008,0.2875
3.91281e-008,0.2948
3.91740e-008,0.3050
3.92199e-008,0.3086
3.92659e-008,0.2983
3.93118e-008,0.2764
3.93577e-008,0.2506
3.94036e-008,0.2305
3.94496e-008,0.2235
3.94955e-008,0.2308
3.95414e-008,0.2469
3.95873e-008,0.2640
3.96333e-008,0.2759
3.96792e-008,0.2788
3.97251e-008,0.2726
3.97710e-008,0.2740
3.98170e-008,0.3810
3.98629e-008,0.5339
3.99088e-008,0.7124
3.99547e-008,0.8963
4.00007e-008,1.0733
4.00466e-008,1.1860
4.00925e-008,1.2361
4.01384e-008,1.2675
4.01844e-008,1.2748
4.02303e-008,1.2708
4.02762e-008,1.2634
4.03221e-008,1.2656
4.03681e-008,1.2693
4.04140e-008,1.2713
4.04599e-008,1.2663
4.05058e-008,1.2498
4.05518e-008,1.2169
4.05977e-008,1.1713
4.06436e-008,1.1280
4.06895e-008,1.0986
4.07355e-008,1.0949
4.07814e-008,1.1165
4.08273e-008,1.1539
4.08732e-008,1.1878
4.09192e-008,1.2027
4.09651e-008,1.1945
4.10110e-008,1.1710
4.10569e-008,1.1482
4.11029e-008,1.1428
4.11488e-008,1.1618
4.11947e-008,1.1977
4.12407e-008,1.2356
4.12866e-008,1.2595
4.13325e-008,1.2604
4.13784e-008,1.2410
4.14244e-008,1.2141
4.14703e-008,1.1924
4.15162e-008,1.1837
4.15621e-008,1.1895
4.16081e-008,1.2051
4.16540e-008,1.1928
4.16999e-008,1.0776
4.17458e-008,0.9408
4.17918e-008,0.7823
4.18377e-008,0.6160
4.18836e-008,0.4415
4.19295e-008,0.3152
4.19755e-008,0.2438
4.20214e-008,0.2038
4.20673e-008,0.1915
4.21132e-008,0.1986
4.21592e-008,0.2122
4.22051e-008,0.2135
4.22510e-008,0.2105
4.22969e-008,0.2046
4.23429e-008,0.2070
4.23888e-008,0.2220
4.24347e-008,0.2557
4.24806e-008,0.3026
4.25266e-008,0.3467
4.25725e-008,0.3746
4.26184e-008,0.3767
4.26643e-008,0.3552
4.27103e-008,0.3201
4.27562e-008,0.2898
4.28021e-008,0.2760
4.28480e-008,0.2811
4.28940e-008,0.2975
4.29399e-008,0.3128
4.29858e-008,0.3147
4.30317e-008,0.2985
4.30777e-008,0.2704
4.31236e-008,0.2410
4.31695e-008,0.2217
4.32154e-008,0.2186
4.32613e-008,0.2306
4.33073e-008,0.2500
4.33532e-008,0.2688
4.33991e-008,0.2809
4.34450e-008,0.2827
4.34910e-008,0.2744
4.35369e-008,0.2596
4.35828e-008,0.2431
4.36287e-008,0.2295
4.36747e-008,0.2228
4.37206e-008,0.2248
4.37665e-008,0.2336
4.38124e-008,0.2450
4.38584e-008,0.2539
4.39043e-008,0.2562
4.39502e-008,0.2510
4.39961e-008,0.2410
4.40421e-008,0.2317
4.40880e-008,0.2278
4.41339e-008,0.2312
4.41798e-008,0.2401
4.42258e-008,0.2499
4.42717e-008,0.2558
4.43176e-008,0.2554
4.43635e-008,0.2496
4.44095e-008,0.2418
4.44554e-008,0.2358
4.45013e-008,0.2341
4.45472e-008,0.2366
4.45932e-008,0.2416
4.46391e-008,0.2464
4.46850e-008,0.2491
4.47309e-008,0.2491
4.47769e-008,0.2470
4.48228e-008,0.2439
4.48687e-008,0.2410
4.49146e-008,0.2392
4.49606e-008,0.2392
4.50065e-008,0.2408
4.50524e-008,0.2437
4.50983e-008,0.2469
4.51443e-008,0.2491
4.51902e-008,0.2494
4.52361e-008,0.2474
4.52821e-008,0.2439
4.53280e-008,0.2405
4.53739e-008,0.2387
4.54198e-008,0.2394
4.54658e-008,0.2422
4.55117e-008,0.2457
4.55576e-008,0.2481
4.56035e-008,0.2484
4.56495e-008,0.2467
4.56954e-008,0.2440
4.57413e-008,0.2417
4.57872e-008,0.2408
4.58332e-008,0.2416
4.58791e-008,0.2434
4.59250e-008,0.2452
4.59709e-008,0.2463
4.60169e-008,0.2463
4.60628e-008,0.2455
4.61087e-008,0.2444
4.61546e-008,0.2434
4.62006e-008,0.2428
4.62465e-008,0.2428
4.62924e-008,0.2432
4.63383e-008,0.2439
4.63843e-008,0.2448
4.64302e-008,0.2454
4.64761e-008,0.2456
4.65220e-008,0.2452
4.65680e-008,0.2444
4.66139e-008,0.2435
4.66598e-008,0.2428
4.67057e-008,0.2429
4.67517e-008,0.2436
4.67976e-008,0.2447
4.68435e-008,0.2455
4.68894e-008,0.2457
4.69354e-008,0.2452
4.69813e-008,0.2443
4.70272e-008,0.2435
4.70731e-008,0.2431
4.71190e-008,0.2433
4.71650e-008,0.2440
4.72109e-008,0.2447
4.72568e-008,0.2451
4.73027e-008,0.2451
4.73487e-008,0.2448
4.73946e-008,0.2444
4.74405e-008,0.2440
4.74864e-008,0.2439
4.75324e-008,0.2439
4.75783e-008,0.2441
4.76242e-008,0.2443
4.76701e-008,0.2446
4.77161e-008,0.2447
4.77620e-008,0.2448
4.78079e-008,0.2447
4.78538e-008,0.2445
4.78998e-008,0.2442
4.79457e-008,0.2440
4.79916e-008,0.2440
4.80375e-008,0.2441
4.80835e-008,0.2445
4.81294e-008,0.2447
4.81753e-008,0.2449
4.82212e-008,0.2448
4.82672e-008,0.2445
4.83131e-008,0.2442
4.83590e-008,0.2441
4.84049e-008,0.2441
4.84509e-008,0.2443
4.84968e-008,0.2446
4.85427e-008,0.2447
4.85886e-008,0.2447
4.86346e-008,0.2446
4.86805e-008,0.2445
4.87264e-008,0.2443
4.87723e-008,0.2443
4.88183e-008,0.2443
4.88642e-008,0.2444
4.89101e-008,0.2445
4.89560e-008,0.2446
4.90020e-008,0.2446
