.HEADER
..NAMES
Time,V U1.W26
.DATA
2.27398e-008,1.1858
2.27822e-008,1.1876
2.28247e-008,1.2032
2.28671e-008,1.2387
2.29095e-008,1.2652
2.29519e-008,1.2727
2.29943e-008,1.2750
2.30368e-008,1.2712
2.30792e-008,1.2651
2.31216e-008,1.2600
2.31641e-008,1.2585
2.32065e-008,1.2550
2.32489e-008,1.2491
2.32913e-008,1.2502
2.33338e-008,1.2552
2.33762e-008,1.2622
2.34186e-008,1.2692
2.34610e-008,1.2693
2.35034e-008,1.2650
2.35459e-008,1.2626
2.35883e-008,1.2630
2.36307e-008,1.2642
2.36732e-008,1.2665
2.37156e-008,1.2690
2.37580e-008,1.2661
2.38004e-008,1.2614
2.38428e-008,1.2605
2.38853e-008,1.2612
2.39277e-008,1.2615
2.39701e-008,1.2620
2.40126e-008,1.2629
2.40550e-008,1.2622
2.40974e-008,1.2615
2.41398e-008,1.2633
2.41823e-008,1.2648
2.42247e-008,1.2650
2.42671e-008,1.2642
2.43095e-008,1.2624
2.43519e-008,1.2613
2.43944e-008,1.2617
2.44368e-008,1.2628
2.44792e-008,1.2633
2.45217e-008,1.2633
2.45641e-008,1.2631
2.46065e-008,1.2621
2.46489e-008,1.2619
2.46913e-008,1.2629
2.47338e-008,1.2635
2.47762e-008,1.2632
2.48186e-008,1.2629
2.48611e-008,1.2629
2.49035e-008,1.2626
2.49459e-008,1.2626
2.49883e-008,1.2633
2.50308e-008,1.2633
2.50732e-008,1.2628
2.51156e-008,1.2625
2.51580e-008,1.2624
2.52004e-008,1.2626
2.52429e-008,1.2630
2.52853e-008,1.2632
2.53277e-008,1.2630
2.53702e-008,1.2628
2.54126e-008,1.2627
2.54550e-008,1.2626
2.54974e-008,1.2628
2.55398e-008,1.2630
2.55823e-008,1.2629
2.56247e-008,1.2627
2.56671e-008,1.2626
2.57096e-008,1.2576
2.57520e-008,1.1587
2.57944e-008,0.9410
2.58368e-008,0.7589
2.58793e-008,0.5824
2.59217e-008,0.4148
2.59641e-008,0.3107
2.60065e-008,0.2477
2.60489e-008,0.2108
2.60914e-008,0.1932
2.61338e-008,0.2150
2.61762e-008,0.2453
2.62187e-008,0.2662
2.62611e-008,0.2807
2.63035e-008,0.2752
2.63459e-008,0.2598
2.63883e-008,0.2777
2.64308e-008,0.2947
2.64732e-008,0.2938
2.65156e-008,0.2888
2.65580e-008,0.2784
2.66005e-008,0.2395
2.66429e-008,0.2019
2.66853e-008,0.1988
2.67278e-008,0.2016
2.67702e-008,0.1989
2.68126e-008,0.2059
2.68550e-008,0.2161
2.68974e-008,0.2196
2.69399e-008,0.2214
2.69823e-008,0.2300
2.70247e-008,0.2314
2.70672e-008,0.2232
2.71096e-008,0.2169
2.71520e-008,0.2106
2.71944e-008,0.2091
2.72368e-008,0.2150
2.72793e-008,0.2177
2.73217e-008,0.2152
2.73641e-008,0.2141
2.74065e-008,0.2137
2.74490e-008,0.2101
2.74914e-008,0.2112
2.75338e-008,0.2184
2.75763e-008,0.2200
2.76187e-008,0.2574
2.76611e-008,0.4093
2.77035e-008,0.5804
2.77459e-008,0.7843
2.77884e-008,0.9571
2.78308e-008,1.0847
2.78732e-008,1.1697
2.79157e-008,1.2241
2.79581e-008,1.2600
2.80005e-008,1.2625
2.80429e-008,1.2428
2.80854e-008,1.2232
2.81278e-008,1.2019
2.81702e-008,1.1983
2.82126e-008,1.2121
2.82550e-008,1.2091
2.82975e-008,1.1977
2.83399e-008,1.1882
2.83823e-008,1.1854
2.84248e-008,1.1910
2.84672e-008,1.2167
2.85096e-008,1.2512
2.85520e-008,1.2037
2.85944e-008,0.9775
2.86369e-008,0.7710
2.86793e-008,0.5849
2.87217e-008,0.4226
2.87642e-008,0.3068
2.88066e-008,0.2439
2.88490e-008,0.1996
