.HEADER
..NAMES
Time,V U1.N24
.DATA
3.75461e-008,0.2884
3.75885e-008,0.3206
3.76310e-008,0.3257
3.76734e-008,0.2997
3.77158e-008,0.2691
3.77583e-008,0.2316
3.78007e-008,0.2065
3.78431e-008,0.2096
3.78855e-008,0.2158
3.79280e-008,0.3365
3.79704e-008,0.5384
3.80128e-008,0.7225
3.80552e-008,0.9116
3.80976e-008,1.0347
3.81401e-008,1.1028
3.81825e-008,1.1514
3.82249e-008,1.1761
3.82673e-008,1.2040
3.83098e-008,1.2209
3.83522e-008,1.2315
3.83946e-008,1.2272
3.84371e-008,1.2106
3.84795e-008,1.1878
3.85219e-008,1.1606
3.85643e-008,1.1529
3.86067e-008,1.1734
3.86492e-008,1.2003
3.86916e-008,1.2351
3.87340e-008,1.2599
3.87764e-008,1.2606
3.88189e-008,1.2430
3.88613e-008,1.0930
3.89037e-008,0.8412
3.89462e-008,0.6688
3.89886e-008,0.5018
3.90310e-008,0.3848
3.90734e-008,0.3311
3.91159e-008,0.2948
3.91583e-008,0.2765
3.92007e-008,0.2567
3.92431e-008,0.2412
3.92855e-008,0.2339
3.93280e-008,0.2440
3.93704e-008,0.2677
3.94128e-008,0.2962
3.94553e-008,0.3245
3.94977e-008,0.3282
3.95401e-008,0.2959
3.95825e-008,0.2632
3.96250e-008,0.2293
3.96674e-008,0.2049
3.97098e-008,0.2098
3.97522e-008,0.2180
3.97946e-008,0.2197
3.98371e-008,0.2221
3.98795e-008,0.2195
3.99219e-008,0.2164
3.99644e-008,0.2165
4.00068e-008,0.2180
4.00492e-008,0.2218
4.00916e-008,0.2245
4.01341e-008,0.2236
4.01765e-008,0.2193
4.02189e-008,0.2136
4.02613e-008,0.2083
4.03037e-008,0.2058
4.03462e-008,0.2094
4.03886e-008,0.2146
4.04310e-008,0.2179
4.04734e-008,0.2204
4.05159e-008,0.2196
4.05583e-008,0.2166
4.06007e-008,0.2159
4.06432e-008,0.2162
4.06856e-008,0.2167
4.07280e-008,0.2176
4.07704e-008,0.2176
4.08128e-008,0.2169
4.08553e-008,0.2161
4.08977e-008,0.2152
4.09401e-008,0.2151
4.09825e-008,0.2157
4.10250e-008,0.2167
4.10674e-008,0.2175
4.11098e-008,0.2180
4.11523e-008,0.2176
4.11947e-008,0.2167
4.12371e-008,0.2162
4.12795e-008,0.2160
4.13220e-008,0.2161
4.13644e-008,0.2166
4.14068e-008,0.2169
4.14492e-008,0.2168
4.14916e-008,0.2166
4.15341e-008,0.2164
4.15765e-008,0.2163
4.16189e-008,0.2165
4.16614e-008,0.2167
4.17038e-008,0.2168
4.17462e-008,0.2169
4.17886e-008,0.2168
4.18311e-008,0.2166
4.18735e-008,0.2165
4.19159e-008,0.2164
4.19583e-008,0.2165
4.20007e-008,0.2166
4.20432e-008,0.2167
4.20856e-008,0.2167
4.21280e-008,0.2167
4.21704e-008,0.2166
4.22129e-008,0.2166
4.22553e-008,0.2166
4.22977e-008,0.2167
4.23402e-008,0.2167
4.23826e-008,0.2167
4.24250e-008,0.2167
4.24674e-008,0.2166
4.25098e-008,0.2166
4.25523e-008,0.2166
4.25947e-008,0.2441
4.26371e-008,0.4016
4.26795e-008,0.5756
4.27220e-008,0.7909
4.27644e-008,0.9549
4.28068e-008,1.0603
4.28493e-008,1.1202
4.28917e-008,1.1561
4.29341e-008,1.1787
4.29765e-008,1.2040
4.30190e-008,1.2236
4.30614e-008,1.2356
4.31038e-008,1.2323
4.31462e-008,1.2138
4.31886e-008,1.1854
4.32311e-008,1.1580
4.32735e-008,1.1582
4.33159e-008,1.1766
4.33584e-008,1.2089
4.34008e-008,1.2454
4.34432e-008,1.2615
4.34856e-008,1.2610
4.35281e-008,1.2028
4.35705e-008,0.9575
4.36129e-008,0.7485
4.36553e-008,0.5733
4.36977e-008,0.4348
4.37402e-008,0.3517
4.37826e-008,0.3130
4.38250e-008,0.2837
4.38675e-008,0.2677
4.39099e-008,0.2460
4.39523e-008,0.2336
4.39947e-008,0.2347
4.40372e-008,0.2543
4.40796e-008,0.2832
4.41220e-008,0.3131
4.41644e-008,0.3340
4.42068e-008,0.3144
4.42493e-008,0.2784
4.42917e-008,0.2457
4.43341e-008,0.2128
4.43765e-008,0.2048
4.44190e-008,0.2159
4.44614e-008,0.2329
4.45038e-008,0.3985
4.45463e-008,0.5885
4.45887e-008,0.7869
4.46311e-008,0.9534
4.46735e-008,1.0608
4.47160e-008,1.1220
4.47584e-008,1.1631
4.48008e-008,1.1840
4.48432e-008,1.2085
4.48856e-008,1.2226
4.49281e-008,1.2298
4.49705e-008,1.2223
4.50129e-008,1.2047
4.50554e-008,1.1819
4.50978e-008,1.1565
4.51402e-008,1.1589
4.51826e-008,1.1809
4.52251e-008,1.2093
4.52675e-008,1.2446
