.HEADER
..NAMES
Time,V U1.T24
.DATA
2.93157e-008,0.2213
2.93581e-008,0.2160
2.94005e-008,0.2116
2.94429e-008,0.2089
2.94854e-008,0.2858
2.95278e-008,0.4724
2.95702e-008,0.6634
2.96127e-008,0.8905
2.96551e-008,1.0389
2.96975e-008,1.1215
2.97399e-008,1.1718
2.97824e-008,1.1890
2.98248e-008,1.2024
2.98672e-008,1.2090
2.99096e-008,1.1979
2.99521e-008,1.1832
2.99945e-008,1.1805
3.00369e-008,1.1774
3.00793e-008,1.1949
3.01218e-008,1.2204
3.01642e-008,1.2340
3.02066e-008,1.2280
3.02490e-008,1.2070
3.02914e-008,1.1837
3.03339e-008,1.1760
3.03763e-008,1.1939
3.04187e-008,1.2254
3.04612e-008,1.2540
3.05036e-008,1.2666
3.05460e-008,1.2626
3.05884e-008,1.2554
3.06309e-008,1.2514
3.06733e-008,1.2509
3.07157e-008,1.2559
3.07581e-008,1.2587
3.08005e-008,1.2572
3.08430e-008,1.2579
3.08854e-008,1.2601
3.09278e-008,1.2634
3.09702e-008,1.2684
3.10127e-008,1.2703
3.10551e-008,1.2683
3.10975e-008,1.2641
3.11400e-008,1.2590
3.11824e-008,1.2580
3.12248e-008,1.2611
3.12672e-008,1.2654
3.13096e-008,1.2691
3.13521e-008,1.2689
3.13945e-008,1.2647
3.14369e-008,1.2610
3.14793e-008,1.2598
3.15218e-008,1.2607
3.15642e-008,1.2628
3.16066e-008,1.2640
3.16491e-008,1.2636
3.16915e-008,1.2627
3.17339e-008,1.2623
3.17763e-008,1.2628
3.18188e-008,1.2636
3.18612e-008,1.2638
3.19036e-008,1.2633
3.19460e-008,1.2625
3.19884e-008,1.2617
3.20309e-008,1.2616
3.20733e-008,1.2625
3.21157e-008,1.2634
3.21582e-008,1.2639
3.22006e-008,1.2638
3.22430e-008,1.2629
3.22854e-008,1.2621
3.23279e-008,1.2620
3.23703e-008,1.2624
3.24127e-008,1.2631
3.24551e-008,1.2634
3.24975e-008,1.2632
3.25400e-008,1.2628
3.25824e-008,1.2626
3.26248e-008,1.2626
3.26672e-008,1.2629
3.27097e-008,1.2631
3.27521e-008,1.2629
3.27945e-008,1.2628
3.28370e-008,1.2626
3.28794e-008,1.2626
3.29218e-008,1.2628
3.29642e-008,1.2630
3.30066e-008,1.2631
3.30491e-008,1.2630
3.30915e-008,1.2628
3.31339e-008,1.2626
3.31763e-008,1.2625
3.32188e-008,1.2197
3.32612e-008,0.9972
3.33036e-008,0.7886
3.33461e-008,0.5816
3.33885e-008,0.4164
3.34309e-008,0.3235
3.34733e-008,0.2831
3.35158e-008,0.2608
3.35582e-008,0.2690
3.36006e-008,0.2634
3.36430e-008,0.2727
3.36854e-008,0.2962
3.37279e-008,0.2985
3.37703e-008,0.2962
3.38127e-008,0.2870
3.38552e-008,0.2578
3.38976e-008,0.2369
3.39400e-008,0.2460
3.39824e-008,0.2680
3.40249e-008,0.2911
3.40673e-008,0.3010
3.41097e-008,0.2854
3.41521e-008,0.2508
3.41945e-008,0.2205
3.42370e-008,0.2055
3.42794e-008,0.2083
3.43218e-008,0.2172
3.43643e-008,0.2212
3.44067e-008,0.2248
3.44491e-008,0.2241
3.44915e-008,0.2194
3.45340e-008,0.2207
3.45764e-008,0.2219
3.46188e-008,0.2180
3.46612e-008,0.2153
3.47036e-008,0.2116
3.47461e-008,0.2080
3.47885e-008,0.2099
3.48309e-008,0.2144
3.48733e-008,0.2195
3.49158e-008,0.2220
3.49582e-008,0.2187
3.50006e-008,0.2141
3.50431e-008,0.2108
3.50855e-008,0.2155
3.51279e-008,0.3563
3.51703e-008,0.5470
3.52128e-008,0.7651
3.52552e-008,0.9586
3.52976e-008,1.0810
3.53400e-008,1.1461
3.53824e-008,1.1843
3.54249e-008,1.1916
3.54673e-008,1.2078
3.55097e-008,1.2057
3.55522e-008,1.1906
3.55946e-008,1.1818
3.56370e-008,1.1779
3.56794e-008,1.1822
3.57219e-008,1.2052
3.57643e-008,1.2283
3.58067e-008,1.2333
3.58491e-008,1.2210
3.58915e-008,1.1965
3.59340e-008,1.1779
3.59764e-008,1.1802
3.60188e-008,1.2061
3.60613e-008,1.2380
3.61037e-008,1.2615
3.61461e-008,1.2664
3.61885e-008,1.2593
3.62310e-008,1.2534
3.62734e-008,1.2503
3.63158e-008,1.2524
3.63582e-008,1.2577
3.64006e-008,1.2582
3.64431e-008,1.2570
3.64855e-008,1.2588
3.65279e-008,1.2611
3.65703e-008,1.2653
3.66128e-008,1.2697
3.66552e-008,1.2697
3.66976e-008,1.2668
3.67401e-008,1.2619
3.67825e-008,1.2579
3.68249e-008,1.2589
3.68673e-008,1.2627
3.69097e-008,1.2670
3.69522e-008,1.2696
3.69946e-008,1.2674
3.70370e-008,1.2629
3.70794e-008,1.2602
3.71219e-008,1.2598
3.71643e-008,1.2614
3.72067e-008,1.2634
3.72492e-008,1.2639
3.72916e-008,1.2631
3.73340e-008,1.2624
3.73764e-008,1.2623
3.74189e-008,1.2631
3.74613e-008,1.2637
3.75037e-008,1.2636
3.75461e-008,1.2629
3.75885e-008,1.2620
3.76310e-008,1.2614
3.76734e-008,1.2618
3.77158e-008,1.2628
3.77583e-008,1.2636
3.78007e-008,1.2639
3.78431e-008,1.2634
3.78855e-008,1.2532
3.79280e-008,1.1173
3.79704e-008,0.8780
3.80128e-008,0.6861
3.80552e-008,0.4901
3.80976e-008,0.3591
3.81401e-008,0.3022
3.81825e-008,0.2662
3.82249e-008,0.2657
3.82673e-008,0.2655
3.83098e-008,0.2659
3.83522e-008,0.2852
3.83946e-008,0.3011
3.84371e-008,0.2956
3.84795e-008,0.2944
3.85219e-008,0.2731
3.85643e-008,0.2437
3.86067e-008,0.2388
3.86492e-008,0.2568
3.86916e-008,0.2806
3.87340e-008,0.2984
3.87764e-008,0.2964
3.88189e-008,0.2682
3.88613e-008,0.2339
3.89037e-008,0.2106
3.89462e-008,0.2053
3.89886e-008,0.2132
3.90310e-008,0.2196
3.90734e-008,0.2228
3.91159e-008,0.2253
3.91583e-008,0.2214
3.92007e-008,0.2194
3.92431e-008,0.2221
3.92855e-008,0.2200
3.93280e-008,0.2164
3.93704e-008,0.2137
3.94128e-008,0.2092
3.94553e-008,0.2083
3.94977e-008,0.2121
3.95401e-008,0.2170
3.95825e-008,0.2214
3.96250e-008,0.2208
3.96674e-008,0.2161
3.97098e-008,0.2123
3.97522e-008,0.2098
3.97946e-008,0.2112
3.98371e-008,0.2162
3.98795e-008,0.2191
3.99219e-008,0.2189
3.99644e-008,0.2180
4.00068e-008,0.2164
4.00492e-008,0.2156
4.00916e-008,0.2162
4.01341e-008,0.2167
4.01765e-008,0.2168
4.02189e-008,0.2162
4.02613e-008,0.2156
4.03037e-008,0.2157
4.03462e-008,0.2164
4.03886e-008,0.2171
4.04310e-008,0.2178
4.04734e-008,0.2177
4.05159e-008,0.2166
4.05583e-008,0.2157
4.06007e-008,0.2155
4.06432e-008,0.2158
4.06856e-008,0.2167
