.HEADER
..NAMES
Time,V U1.P24
.DATA
2.54974e-008,1.1965
2.55398e-008,1.1655
2.55823e-008,1.1573
2.56247e-008,1.1738
2.56671e-008,1.2058
2.57096e-008,1.2445
2.57520e-008,1.2680
2.57944e-008,1.2692
2.58368e-008,1.2586
2.58793e-008,1.2449
2.59217e-008,1.2413
2.59641e-008,1.2473
2.60065e-008,1.2557
2.60489e-008,1.2629
2.60914e-008,1.2652
2.61338e-008,1.2641
2.61762e-008,1.2630
2.62187e-008,1.2616
2.62611e-008,1.2599
2.63035e-008,1.2579
2.63459e-008,1.2573
2.63883e-008,1.2598
2.64308e-008,1.2642
2.64732e-008,1.2689
2.65156e-008,1.2716
2.65580e-008,1.2704
2.66005e-008,1.2666
2.66429e-008,1.2446
2.66853e-008,1.0551
2.67278e-008,0.8259
2.67702e-008,0.6274
2.68126e-008,0.4519
2.68550e-008,0.3443
2.68974e-008,0.2978
2.69399e-008,0.2717
2.69823e-008,0.2752
2.70247e-008,0.2652
2.70672e-008,0.2614
2.71096e-008,0.2608
2.71520e-008,0.2470
2.71944e-008,0.2365
2.72368e-008,0.2294
2.72793e-008,0.2357
2.73217e-008,0.2529
2.73641e-008,0.2752
2.74065e-008,0.3014
2.74490e-008,0.3120
2.74914e-008,0.2967
2.75338e-008,0.2717
2.75763e-008,0.2388
2.76187e-008,0.2137
2.76611e-008,0.2095
2.77035e-008,0.2147
2.77459e-008,0.2239
2.77884e-008,0.2289
2.78308e-008,0.2267
2.78732e-008,0.2230
2.79157e-008,0.2183
2.79581e-008,0.2150
2.80005e-008,0.2152
2.80429e-008,0.2156
2.80854e-008,0.2164
2.81278e-008,0.2186
2.81702e-008,0.2206
2.82126e-008,0.2213
2.82550e-008,0.2192
2.82975e-008,0.2158
2.83399e-008,0.2123
2.83823e-008,0.2094
2.84248e-008,0.2096
2.84672e-008,0.2124
2.85096e-008,0.2158
2.85520e-008,0.2189
2.85944e-008,0.2198
2.86369e-008,0.2188
2.86793e-008,0.2171
2.87217e-008,0.2155
2.87642e-008,0.2153
2.88066e-008,0.2159
2.88490e-008,0.2167
2.88914e-008,0.2173
2.89339e-008,0.2175
2.89763e-008,0.2172
2.90187e-008,0.2169
2.90611e-008,0.2166
2.91035e-008,0.2163
2.91460e-008,0.2160
2.91884e-008,0.2160
2.92308e-008,0.2164
2.92733e-008,0.2170
2.93157e-008,0.2174
2.93581e-008,0.2176
2.94005e-008,0.2173
2.94429e-008,0.2169
2.94854e-008,0.3025
2.95278e-008,0.4869
2.95702e-008,0.6825
2.96127e-008,0.9065
2.96551e-008,1.0499
2.96975e-008,1.1266
2.97399e-008,1.1712
2.97824e-008,1.1800
2.98248e-008,1.1994
2.98672e-008,1.2066
2.99096e-008,1.2120
2.99521e-008,1.2208
2.99945e-008,1.2314
3.00369e-008,1.2414
3.00793e-008,1.2455
3.01218e-008,1.2363
3.01642e-008,1.2179
3.02066e-008,1.1927
3.02490e-008,1.1719
3.02914e-008,1.1732
3.03339e-008,1.1881
3.03763e-008,1.2174
3.04187e-008,1.2469
3.04612e-008,1.2611
3.05036e-008,1.2625
3.05460e-008,1.2543
3.05884e-008,1.2466
3.06309e-008,1.2464
3.06733e-008,1.2510
3.07157e-008,1.2573
3.07581e-008,1.2623
3.08005e-008,1.2632
3.08430e-008,1.2631
3.08854e-008,1.2626
3.09278e-008,1.2613
3.09702e-008,1.2599
3.10127e-008,1.2585
3.10551e-008,1.2590
3.10975e-008,1.2615
3.11400e-008,1.2650
3.11824e-008,1.2686
3.12248e-008,1.2699
3.12672e-008,1.2684
3.13096e-008,1.2653
3.13521e-008,1.2618
3.13945e-008,1.2598
3.14369e-008,1.2600
3.14793e-008,1.2615
3.15218e-008,1.2634
3.15642e-008,1.2643
3.16066e-008,1.2640
3.16491e-008,1.2631
3.16915e-008,1.2622
3.17339e-008,1.2619
3.17763e-008,1.2621
3.18188e-008,1.2625
3.18612e-008,1.2628
3.19036e-008,1.2631
3.19460e-008,1.2633
3.19884e-008,1.2634
3.20309e-008,1.2632
3.20733e-008,1.2627
3.21157e-008,1.2622
3.21582e-008,1.2619
3.22006e-008,1.2620
3.22430e-008,1.2609
3.22854e-008,1.1893
3.23279e-008,0.9524
3.23703e-008,0.7519
3.24127e-008,0.5428
3.24551e-008,0.3929
3.24975e-008,0.3189
3.25400e-008,0.2815
3.25824e-008,0.2735
3.26248e-008,0.2718
3.26672e-008,0.2648
3.27097e-008,0.2619
3.27521e-008,0.2574
3.27945e-008,0.2407
3.28370e-008,0.2327
3.28794e-008,0.2288
3.29218e-008,0.2409
3.29642e-008,0.2612
3.30066e-008,0.2861
3.30491e-008,0.3107
3.30915e-008,0.3088
3.31339e-008,0.2883
3.31763e-008,0.2586
3.32188e-008,0.2607
3.32612e-008,0.4399
3.33036e-008,0.6481
3.33461e-008,0.8989
3.33885e-008,1.0651
3.34309e-008,1.1462
3.34733e-008,1.1817
3.35158e-008,1.1897
3.35582e-008,1.1945
3.36006e-008,1.2056
3.36430e-008,1.2118
3.36854e-008,1.2166
3.37279e-008,1.2316
3.37703e-008,1.2421
3.38127e-008,1.2533
3.38552e-008,1.2443
3.38976e-008,1.2228
3.39400e-008,1.1943
3.39824e-008,1.1647
3.40249e-008,1.1597
3.40673e-008,1.1767
3.41097e-008,1.2089
3.41521e-008,1.1959
3.41945e-008,0.9665
3.42370e-008,0.7347
3.42794e-008,0.5102
3.43218e-008,0.3545
3.43643e-008,0.2883
3.44067e-008,0.2688
3.44491e-008,0.2663
3.44915e-008,0.2747
3.45340e-008,0.2663
3.45764e-008,0.2623
3.46188e-008,0.2589
3.46612e-008,0.2401
3.47036e-008,0.2288
3.47461e-008,0.2211
3.47885e-008,0.2338
3.48309e-008,0.2592
3.48733e-008,0.2895
3.49158e-008,0.3196
3.49582e-008,0.3214
3.50006e-008,0.2959
3.50431e-008,0.2598
3.50855e-008,0.2204
3.51279e-008,0.2002
3.51703e-008,0.2048
3.52128e-008,0.2175
3.52552e-008,0.2305
3.52976e-008,0.2329
3.53400e-008,0.2270
3.53824e-008,0.2207
3.54249e-008,0.2150
3.54673e-008,0.2131
3.55097e-008,0.2144
3.55522e-008,0.2154
3.55946e-008,0.2171
3.56370e-008,0.2198
3.56794e-008,0.2221
3.57219e-008,0.2221
3.57643e-008,0.2188
3.58067e-008,0.2142
3.58491e-008,0.2097
3.58915e-008,0.2073
3.59340e-008,0.2092
3.59764e-008,0.2133
3.60188e-008,0.2178
3.60613e-008,0.2207
3.61037e-008,0.2206
3.61461e-008,0.2184
3.61885e-008,0.2159
3.62310e-008,0.2145
3.62734e-008,0.2149
3.63158e-008,0.2161
3.63582e-008,0.2172
3.64006e-008,0.2177
3.64431e-008,0.2176
3.64855e-008,0.2171
3.65279e-008,0.2167
