.HEADER
..NAMES
Time,V U1.J20
.DATA
3.59133e-008,1.2315
3.59593e-008,1.2340
3.60052e-008,1.2346
3.60511e-008,1.2327
3.60970e-008,1.2291
3.61430e-008,1.2258
3.61889e-008,1.2245
3.62348e-008,1.2259
3.62807e-008,1.2291
3.63267e-008,1.2322
3.63726e-008,1.2337
3.64185e-008,1.2329
3.64644e-008,1.2304
3.65104e-008,1.2279
3.65563e-008,1.2265
3.66022e-008,1.2268
3.66481e-008,1.2283
3.66941e-008,1.2300
3.67400e-008,1.2309
3.67859e-008,1.2310
3.68318e-008,1.2305
3.68778e-008,1.2298
3.69237e-008,1.2292
3.69696e-008,1.2289
3.70155e-008,1.2287
3.70615e-008,1.2286
3.71074e-008,1.2287
3.71533e-008,1.2291
3.71992e-008,1.2298
3.72452e-008,1.2305
3.72911e-008,1.2306
3.73370e-008,1.2301
3.73830e-008,1.2292
3.74289e-008,1.2282
3.74748e-008,1.2279
3.75207e-008,1.2283
3.75667e-008,1.2292
3.76126e-008,1.2302
3.76585e-008,1.2307
3.77044e-008,1.2304
3.77504e-008,1.2296
3.77963e-008,1.2287
3.78422e-008,1.2282
3.78881e-008,1.2284
3.79341e-008,1.2289
3.79800e-008,1.2296
3.80259e-008,1.2299
3.80718e-008,1.2299
3.81178e-008,1.2296
3.81637e-008,1.2292
3.82096e-008,1.2290
3.82555e-008,1.2290
3.83015e-008,1.2290
3.83474e-008,1.2291
3.83933e-008,1.2292
3.84392e-008,1.2292
3.84852e-008,1.2294
3.85311e-008,1.2295
3.85770e-008,1.2295
3.86229e-008,1.2294
3.86689e-008,1.2292
3.87148e-008,1.2289
3.87607e-008,1.2288
3.88066e-008,1.2289
3.88526e-008,1.2292
3.88985e-008,1.2295
3.89444e-008,1.2296
3.89903e-008,1.2296
3.90363e-008,1.2293
3.90822e-008,1.2290
3.91281e-008,1.2288
3.91740e-008,1.2289
3.92199e-008,1.2291
3.92659e-008,1.2293
3.93118e-008,1.2294
3.93577e-008,1.2294
3.94036e-008,1.2293
3.94496e-008,1.2291
3.94955e-008,1.2290
3.95414e-008,1.2290
3.95873e-008,1.2291
3.96333e-008,1.2291
3.96792e-008,1.2292
