.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
2.33580e-008,1.2553
2.33920e-008,1.2408
2.34260e-008,1.2294
2.34600e-008,1.2191
2.34940e-008,1.2110
2.35280e-008,1.2104
2.35620e-008,1.2140
2.35960e-008,1.2243
2.36300e-008,1.2459
2.36640e-008,1.2691
2.36980e-008,1.2883
2.37320e-008,1.3062
2.37660e-008,1.3169
2.38000e-008,1.3219
2.38340e-008,1.3054
2.38680e-008,1.1993
2.39020e-008,1.0295
2.39360e-008,0.8615
2.39700e-008,0.6938
2.40040e-008,0.5513
2.40380e-008,0.4143
2.40720e-008,0.3004
2.41060e-008,0.2259
2.41400e-008,0.2064
2.41740e-008,0.1961
2.42080e-008,0.1879
2.42420e-008,0.1795
2.42760e-008,0.1872
2.43100e-008,0.1940
2.43440e-008,0.1856
2.43780e-008,0.1680
2.44120e-008,0.1581
2.44460e-008,0.1470
2.44800e-008,0.1174
2.45140e-008,0.0836
2.45480e-008,0.0596
2.45820e-008,0.0533
2.46160e-008,0.0594
2.46500e-008,0.0781
2.46840e-008,0.1128
2.47180e-008,0.1735
2.47520e-008,0.2443
2.47860e-008,0.3097
2.48200e-008,0.3767
2.48540e-008,0.4420
2.48880e-008,0.5147
2.49220e-008,0.6143
2.49560e-008,0.7239
2.49900e-008,0.8453
2.50240e-008,0.9681
2.50580e-008,1.0680
2.50920e-008,1.1450
2.51260e-008,1.2075
2.51600e-008,1.2441
2.51940e-008,1.2609
2.52280e-008,1.2570
2.52620e-008,1.2429
2.52960e-008,1.2310
2.53300e-008,1.2206
2.53640e-008,1.2117
2.53980e-008,1.2102
2.54320e-008,1.2133
2.54660e-008,1.2221
2.55000e-008,1.2423
2.55340e-008,1.2661
2.55680e-008,1.2856
2.56020e-008,1.3040
2.56360e-008,1.3158
2.56700e-008,1.3215
2.57040e-008,1.3098
2.57380e-008,1.2204
2.57720e-008,1.0562
2.58060e-008,0.8856
2.58400e-008,0.7161
2.58740e-008,0.5722
2.59080e-008,0.4328
2.59420e-008,0.3151
2.59760e-008,0.2322
2.60100e-008,0.2073
2.60440e-008,0.1980
2.60780e-008,0.1890
2.61120e-008,0.1801
2.61460e-008,0.1854
2.61800e-008,0.1941
2.62140e-008,0.1876
2.62480e-008,0.1707
2.62820e-008,0.1587
2.63160e-008,0.1500
2.63500e-008,0.1224
2.63840e-008,0.0882
2.64180e-008,0.0621
2.64520e-008,0.0534
2.64860e-008,0.0578
2.65200e-008,0.0746
2.65540e-008,0.1062
2.65880e-008,0.1634
2.66220e-008,0.2340
2.66560e-008,0.2979
2.66900e-008,0.3672
2.67240e-008,0.4333
2.67580e-008,0.5007
2.67920e-008,0.6002
2.68260e-008,0.7063
2.68600e-008,0.8266
2.68940e-008,0.9508
2.69280e-008,1.0543
2.69620e-008,1.1347
2.69960e-008,1.2002
2.70300e-008,1.2400
2.70640e-008,1.2600
