.HEADER
..NAMES
Time,V U1.J23
.DATA
4.36977e-008,1.2635
4.37402e-008,1.2623
4.37826e-008,1.2614
4.38250e-008,1.2619
4.38675e-008,1.2632
4.39099e-008,1.2641
4.39523e-008,1.2641
4.39947e-008,1.2637
4.40372e-008,1.2633
4.40796e-008,1.2632
4.41220e-008,1.2633
4.41644e-008,1.2632
4.42068e-008,1.2628
4.42493e-008,1.2627
4.42917e-008,1.2629
4.43341e-008,1.2631
4.43765e-008,1.2634
4.44190e-008,1.2634
4.44614e-008,1.2633
4.45038e-008,1.2631
4.45463e-008,1.2631
4.45887e-008,1.2631
4.46311e-008,1.2632
4.46735e-008,1.2633
4.47160e-008,1.2634
4.47584e-008,1.2633
4.48008e-008,1.2631
4.48432e-008,1.2630
4.48856e-008,1.2630
4.49281e-008,1.2631
4.49705e-008,1.2632
4.50129e-008,1.2632
4.50554e-008,1.2632
4.50978e-008,1.2631
4.51402e-008,1.2632
4.51826e-008,1.2632
4.52251e-008,1.2632
4.52675e-008,1.2631
