.HEADER
..NAMES
Time,V U1.G24
.DATA
2.51156e-008,0.1818
2.51580e-008,0.1709
2.52004e-008,0.1216
2.52429e-008,0.0726
2.52853e-008,0.0360
2.53277e-008,0.0185
2.53702e-008,0.0199
2.54126e-008,0.0268
2.54550e-008,0.0294
2.54974e-008,0.0256
2.55398e-008,0.0215
2.55823e-008,0.0263
2.56247e-008,0.0351
2.56671e-008,0.0357
2.57096e-008,0.0360
2.57520e-008,0.0451
2.57944e-008,0.0473
2.58368e-008,0.0323
2.58793e-008,0.0095
2.59217e-008,-0.0213
2.59641e-008,-0.0594
2.60065e-008,-0.0823
2.60489e-008,-0.0777
2.60914e-008,-0.0563
2.61338e-008,-0.0307
2.61762e-008,-0.0097
2.62187e-008,-0.0020
2.62611e-008,0.0440
2.63035e-008,0.1432
2.63459e-008,0.3050
2.63883e-008,0.4519
2.64308e-008,0.5763
2.64732e-008,0.6664
2.65156e-008,0.7286
2.65580e-008,0.7731
2.66005e-008,0.8023
2.66429e-008,0.8192
2.66853e-008,0.8324
2.67278e-008,0.8457
2.67702e-008,0.8608
2.68126e-008,0.8855
2.68550e-008,0.9093
2.68974e-008,0.9247
2.69399e-008,0.9511
2.69823e-008,1.0188
2.70247e-008,1.1248
2.70672e-008,1.2576
2.71096e-008,1.3711
2.71520e-008,1.2765
2.71944e-008,1.0246
2.72368e-008,0.8625
2.72793e-008,0.7284
2.73217e-008,0.6507
2.73641e-008,0.6175
2.74065e-008,0.6136
2.74490e-008,0.6083
2.74914e-008,0.6228
2.75338e-008,0.6387
2.75763e-008,0.6574
2.76187e-008,0.6737
2.76611e-008,0.6719
2.77035e-008,0.6541
2.77459e-008,0.6719
2.77884e-008,0.6655
2.78308e-008,0.5337
2.78732e-008,0.3310
2.79157e-008,0.1103
2.79581e-008,-0.1163
2.80005e-008,-0.2554
2.80429e-008,-0.2377
2.80854e-008,-0.1760
2.81278e-008,-0.1298
2.81702e-008,-0.0980
2.82126e-008,-0.0797
2.82550e-008,-0.0799
2.82975e-008,-0.0803
2.83399e-008,-0.0750
2.83823e-008,-0.0671
2.84248e-008,-0.0642
2.84672e-008,-0.0716
2.85096e-008,-0.0783
2.85520e-008,-0.0705
2.85944e-008,-0.0717
2.86369e-008,-0.0909
2.86793e-008,-0.0833
2.87217e-008,-0.0371
2.87642e-008,0.0165
2.88066e-008,0.0778
2.88490e-008,0.1415
2.88914e-008,0.1619
2.89339e-008,0.1350
2.89763e-008,0.0955
2.90187e-008,0.0603
2.90611e-008,0.0351
2.91035e-008,0.0263
2.91460e-008,0.0291
2.91884e-008,0.0327
2.92308e-008,0.0316
2.92733e-008,0.0269
2.93157e-008,0.0272
2.93581e-008,0.0337
2.94005e-008,0.0356
2.94429e-008,0.0326
2.94854e-008,0.0372
2.95278e-008,0.0434
2.95702e-008,0.0358
2.96127e-008,0.0188
2.96551e-008,-0.0031
2.96975e-008,-0.0350
2.97399e-008,-0.0643
2.97824e-008,-0.0726
2.98248e-008,-0.0618
2.98672e-008,-0.0430
2.99096e-008,-0.0231
2.99521e-008,-0.0124
2.99945e-008,0.0187
3.00369e-008,0.0976
3.00793e-008,0.2483
3.01218e-008,0.3988
3.01642e-008,0.5333
3.02066e-008,0.6344
3.02490e-008,0.7054
3.02914e-008,0.7586
3.03339e-008,0.7935
3.03763e-008,0.8148
3.04187e-008,0.8283
3.04612e-008,0.8409
3.05036e-008,0.8529
3.05460e-008,0.8725
3.05884e-008,0.8963
3.06309e-008,0.9139
3.06733e-008,0.9349
3.07157e-008,0.9891
3.07581e-008,1.0856
3.08005e-008,1.2112
3.08430e-008,1.3472
3.08854e-008,1.4613
3.09278e-008,1.5272
3.09702e-008,1.5489
3.10127e-008,1.5523
3.10551e-008,1.5524
3.10975e-008,1.5563
3.11400e-008,1.5616
3.11824e-008,1.5657
3.12248e-008,1.5675
3.12672e-008,1.5686
3.13096e-008,1.5692
3.13521e-008,1.5714
3.13945e-008,1.5724
3.14369e-008,1.5689
3.14793e-008,1.5658
3.15218e-008,1.5676
3.15642e-008,1.5665
3.16066e-008,1.5530
3.16491e-008,1.5276
3.16915e-008,1.4941
3.17339e-008,1.4597
3.17763e-008,1.4369
3.18188e-008,1.4797
3.18612e-008,1.4523
3.19036e-008,1.3307
3.19460e-008,1.1962
3.19884e-008,1.0223
3.20309e-008,0.8446
3.20733e-008,0.7195
3.21157e-008,0.6450
3.21582e-008,0.5914
3.22006e-008,0.5638
3.22430e-008,0.5455
3.22854e-008,0.5334
3.23279e-008,0.5324
3.23703e-008,0.5305
3.24127e-008,0.5118
3.24551e-008,0.5161
3.24975e-008,0.5381
3.25400e-008,0.5189
3.25824e-008,0.4634
3.26248e-008,0.3724
3.26672e-008,0.2132
3.27097e-008,0.0310
3.27521e-008,-0.0800
3.27945e-008,0.0713
3.28370e-008,0.2944
3.28794e-008,0.5088
3.29218e-008,0.6691
3.29642e-008,0.7489
3.30066e-008,0.7716
3.30491e-008,0.7730
3.30915e-008,0.7677
3.31339e-008,0.7514
3.31763e-008,0.7328
3.32188e-008,0.7104
3.32612e-008,0.7002
3.33036e-008,0.7111
3.33461e-008,0.7155
3.33885e-008,0.6903
3.34309e-008,0.7211
3.34733e-008,0.8544
3.35158e-008,1.0567
3.35582e-008,1.3081
3.36006e-008,1.5495
3.36430e-008,1.6686
3.36854e-008,1.6552
3.37279e-008,1.5977
3.37703e-008,1.5392
3.38127e-008,1.5091
3.38552e-008,1.5030
3.38976e-008,1.5105
3.39400e-008,1.5170
3.39824e-008,1.5218
3.40249e-008,1.5248
3.40673e-008,1.5359
3.41097e-008,1.5515
3.41521e-008,1.5571
3.41945e-008,1.5530
3.42370e-008,1.5634
3.42794e-008,1.5769
3.43218e-008,1.5609
3.43643e-008,1.5162
3.44067e-008,1.4561
3.44491e-008,1.3854
3.44915e-008,1.3348
3.45340e-008,1.3371
3.45764e-008,1.3793
3.46188e-008,1.4573
3.46612e-008,1.4728
3.47036e-008,1.3297
3.47461e-008,1.1660
3.47885e-008,0.9712
3.48309e-008,0.7909
3.48733e-008,0.6718
3.49158e-008,0.6153
3.49582e-008,0.5709
3.50006e-008,0.5463
3.50431e-008,0.5361
3.50855e-008,0.5314
3.51279e-008,0.5265
3.51703e-008,0.5265
3.52128e-008,0.5192
3.52552e-008,0.5311
3.52976e-008,0.5713
3.53400e-008,0.5693
3.53824e-008,0.5006
3.54249e-008,0.3726
3.54673e-008,0.1776
3.55097e-008,-0.0368
3.55522e-008,-0.1645
3.55946e-008,-0.2088
3.56370e-008,-0.1998
3.56794e-008,-0.1606
3.57219e-008,-0.1223
3.57643e-008,-0.1053
3.58067e-008,-0.0951
3.58491e-008,-0.0862
3.58915e-008,-0.0822
3.59340e-008,-0.0818
3.59764e-008,-0.0839
3.60188e-008,-0.0898
3.60613e-008,-0.0910
3.61037e-008,-0.0899
3.61461e-008,-0.1006
3.61885e-008,-0.1134
3.62310e-008,-0.1110
3.62734e-008,-0.0906
3.63158e-008,-0.0467
3.63582e-008,0.0219
3.64006e-008,0.0845
3.64431e-008,0.1191
3.64855e-008,0.1252
3.65279e-008,0.0788
3.65703e-008,0.0668
3.66128e-008,0.1528
3.66552e-008,0.3310
3.66976e-008,0.5011
3.67401e-008,0.6498
3.67825e-008,0.7593
3.68249e-008,0.8289
3.68673e-008,0.8788
3.69097e-008,0.9138
3.69522e-008,0.9336
3.69946e-008,0.9452
3.70370e-008,0.9543
3.70794e-008,0.9600
3.71219e-008,0.9734
3.71643e-008,0.9742
3.72067e-008,0.9436
3.72492e-008,0.9240
3.72916e-008,0.9668
3.73340e-008,1.0709
3.73764e-008,1.2286
3.74189e-008,1.3973
3.74613e-008,1.3609
3.75037e-008,1.1068
3.75461e-008,0.9192
3.75885e-008,0.7604
3.76310e-008,0.6652
3.76734e-008,0.6203
3.77158e-008,0.6151
3.77583e-008,0.6099
3.78007e-008,0.6231
3.78431e-008,0.6401
3.78855e-008,0.6618
3.79280e-008,0.6840
3.79704e-008,0.6896
3.80128e-008,0.6737
3.80552e-008,0.6961
3.80976e-008,0.7128
3.81401e-008,0.6015
3.81825e-008,0.3993
3.82249e-008,0.1669
3.82673e-008,-0.0847
3.83098e-008,-0.2598
3.83522e-008,-0.2576
3.83946e-008,-0.1864
3.84371e-008,-0.1299
3.84795e-008,-0.0929
3.85219e-008,-0.0720
3.85643e-008,-0.0730
3.86067e-008,-0.0750
3.86492e-008,-0.0691
3.86916e-008,-0.0598
3.87340e-008,-0.0553
3.87764e-008,-0.0639
3.88189e-008,-0.0754
3.88613e-008,-0.0709
3.89037e-008,-0.0713
3.89462e-008,-0.0942
3.89886e-008,-0.0947
3.90310e-008,-0.0506
3.90734e-008,0.0066
3.91159e-008,0.0723
3.91583e-008,0.1451
3.92007e-008,0.1758
3.92431e-008,0.1502
3.92855e-008,0.1050
3.93280e-008,0.0636
3.93704e-008,0.0334
3.94128e-008,0.0220
3.94553e-008,0.0253
3.94977e-008,0.0304
3.95401e-008,0.0298
3.95825e-008,0.0241
3.96250e-008,0.0229
3.96674e-008,0.0303
3.97098e-008,0.0349
3.97522e-008,0.0328
3.97946e-008,0.0376
3.98371e-008,0.0462
3.98795e-008,0.0411
3.99219e-008,0.0243
3.99644e-008,0.0019
4.00068e-008,-0.0319
4.00492e-008,-0.0661
4.00916e-008,-0.0788
4.01341e-008,-0.0688
4.01765e-008,-0.0479
4.02189e-008,-0.0249
4.02613e-008,-0.0111
4.03037e-008,0.0166
4.03462e-008,0.0916
4.03886e-008,0.2345
4.04310e-008,0.3861
4.04734e-008,0.5234
4.05159e-008,0.6282
4.05583e-008,0.7014
4.06007e-008,0.7558
4.06432e-008,0.7912
4.06856e-008,0.8131
4.07280e-008,0.8264
4.07704e-008,0.8390
