.HEADER
..NAMES
Time,V U1.F25
.DATA
2.90611e-008,0.9832
2.91035e-008,0.7697
2.91460e-008,0.5683
2.91884e-008,0.4199
2.92308e-008,0.3358
2.92733e-008,0.3078
2.93157e-008,0.2945
2.93581e-008,0.2798
2.94005e-008,0.2750
2.94429e-008,0.2721
2.94854e-008,0.2729
2.95278e-008,0.2680
2.95702e-008,0.2452
2.96127e-008,0.2250
2.96551e-008,0.2442
2.96975e-008,0.2735
2.97399e-008,0.2857
2.97824e-008,0.3011
2.98248e-008,0.2978
2.98672e-008,0.2549
2.99096e-008,0.2049
2.99521e-008,0.2117
2.99945e-008,0.3796
3.00369e-008,0.5836
3.00793e-008,0.8145
3.01218e-008,0.9863
3.01642e-008,1.0857
3.02066e-008,1.1324
3.02490e-008,1.1565
3.02914e-008,1.1802
3.03339e-008,1.1900
3.03763e-008,1.1967
3.04187e-008,1.1947
3.04612e-008,1.2002
3.05036e-008,1.2205
3.05460e-008,1.2420
3.05884e-008,1.2375
3.06309e-008,1.2169
3.06733e-008,1.1956
3.07157e-008,1.1709
3.07581e-008,1.1718
3.08005e-008,1.2058
3.08430e-008,1.2515
3.08854e-008,1.2746
3.09278e-008,1.2857
3.09702e-008,1.2766
3.10127e-008,1.2605
3.10551e-008,1.2511
3.10975e-008,1.2523
3.11400e-008,1.2578
3.11824e-008,1.2607
3.12248e-008,1.2607
3.12672e-008,1.2594
3.13096e-008,1.2621
3.13521e-008,1.2664
3.13945e-008,1.2668
3.14369e-008,1.2625
3.14793e-008,1.2599
3.15218e-008,1.2575
3.15642e-008,1.2568
3.16066e-008,1.2627
3.16491e-008,1.2703
3.16915e-008,1.2711
3.17339e-008,1.2666
3.17763e-008,1.2624
3.18188e-008,1.2417
3.18612e-008,1.0687
3.19036e-008,0.8536
3.19460e-008,0.6753
3.19884e-008,0.5058
3.20309e-008,0.3841
3.20733e-008,0.3249
3.21157e-008,0.3049
3.21582e-008,0.2854
3.22006e-008,0.2810
3.22430e-008,0.2746
3.22854e-008,0.2703
3.23279e-008,0.2672
3.23703e-008,0.2544
3.24127e-008,0.2331
3.24551e-008,0.2391
3.24975e-008,0.2691
3.25400e-008,0.2782
3.25824e-008,0.2872
3.26248e-008,0.2952
3.26672e-008,0.2719
3.27097e-008,0.2229
3.27521e-008,0.2034
3.27945e-008,0.1989
3.28370e-008,0.1966
3.28794e-008,0.2066
3.29218e-008,0.2194
3.29642e-008,0.2230
3.30066e-008,0.2195
3.30491e-008,0.2184
3.30915e-008,0.2168
3.31339e-008,0.2172
3.31763e-008,0.2161
3.32188e-008,0.2121
3.32612e-008,0.2113
3.33036e-008,0.2177
3.33461e-008,0.2198
3.33885e-008,0.2172
3.34309e-008,0.2191
3.34733e-008,0.2183
3.35158e-008,0.2100
3.35582e-008,0.2071
3.36006e-008,0.2135
3.36430e-008,0.2163
3.36854e-008,0.2174
3.37279e-008,0.3125
3.37703e-008,0.4879
3.38127e-008,0.6689
3.38552e-008,0.8699
3.38976e-008,1.0089
3.39400e-008,1.0962
3.39824e-008,1.1380
3.40249e-008,1.1663
3.40673e-008,1.1796
3.41097e-008,1.1932
3.41521e-008,1.1998
3.41945e-008,1.2021
3.42370e-008,1.2097
3.42794e-008,1.2280
3.43218e-008,1.2362
3.43643e-008,1.2210
3.44067e-008,1.2086
3.44491e-008,1.1926
3.44915e-008,1.1809
3.45340e-008,1.1912
3.45764e-008,1.2268
3.46188e-008,1.2553
3.46612e-008,1.2716
3.47036e-008,1.2782
3.47461e-008,1.2697
3.47885e-008,1.2595
3.48309e-008,1.2536
3.48733e-008,1.2555
3.49158e-008,1.2577
3.49582e-008,1.2610
3.50006e-008,1.2607
3.50431e-008,1.2606
3.50855e-008,1.2634
3.51279e-008,1.2661
3.51703e-008,1.2636
3.52128e-008,1.2608
3.52552e-008,1.2606
3.52976e-008,1.2589
3.53400e-008,1.2595
3.53824e-008,1.2653
3.54249e-008,1.2695
3.54673e-008,1.2674
3.55097e-008,1.2647
3.55522e-008,1.2615
3.55946e-008,1.2585
3.56370e-008,1.2585
3.56794e-008,1.2608
3.57219e-008,1.2630
3.57643e-008,1.2636
3.58067e-008,1.2632
3.58491e-008,1.2620
3.58915e-008,1.2621
3.59340e-008,1.2628
3.59764e-008,1.2626
3.60188e-008,1.2618
3.60613e-008,1.2620
3.61037e-008,1.2620
3.61461e-008,1.2616
3.61885e-008,1.2625
3.62310e-008,1.2636
3.62734e-008,1.2630
3.63158e-008,1.2619
3.63582e-008,1.2617
3.64006e-008,1.2614
3.64431e-008,1.2616
3.64855e-008,1.2624
3.65279e-008,1.2630
3.65703e-008,1.2629
3.66128e-008,1.2624
3.66552e-008,1.2620
3.66976e-008,1.2619
3.67401e-008,1.2622
3.67825e-008,1.2624
3.68249e-008,1.2622
3.68673e-008,1.2622
3.69097e-008,1.2623
3.69522e-008,1.2621
3.69946e-008,1.2621
3.70370e-008,1.2625
3.70794e-008,1.2625
3.71219e-008,1.2621
3.71643e-008,1.2620
3.72067e-008,1.2621
3.72492e-008,1.2621
3.72916e-008,1.2622
3.73340e-008,1.2624
3.73764e-008,1.2624
3.74189e-008,1.2610
3.74613e-008,1.1961
3.75037e-008,0.9729
3.75461e-008,0.7843
3.75885e-008,0.5944
3.76310e-008,0.4441
3.76734e-008,0.3517
3.77158e-008,0.3171
3.77583e-008,0.2967
3.78007e-008,0.2817
3.78431e-008,0.2771
3.78855e-008,0.2729
3.79280e-008,0.2697
3.79704e-008,0.2645
3.80128e-008,0.2460
3.80552e-008,0.2292
3.80976e-008,0.2499
3.81401e-008,0.2743
3.81825e-008,0.2811
3.82249e-008,0.2934
3.82673e-008,0.2916
3.83098e-008,0.2522
3.83522e-008,0.2089
3.83946e-008,0.2327
3.84371e-008,0.4076
3.84795e-008,0.6020
3.85219e-008,0.8343
3.85643e-008,0.9978
3.86067e-008,1.0926
3.86492e-008,1.1360
3.86916e-008,1.1607
3.87340e-008,1.1813
3.87764e-008,1.1906
3.88189e-008,1.1969
3.88613e-008,1.1956
3.89037e-008,1.2019
3.89462e-008,1.2231
3.89886e-008,1.2422
3.90310e-008,1.2335
3.90734e-008,1.2142
3.91159e-008,1.1939
3.91583e-008,1.1706
3.92007e-008,1.1746
3.92431e-008,1.2110
3.92855e-008,1.2537
