.HEADER
..NAMES
Time,V U1.L23
.DATA
3.36006e-008,1.2628
3.36430e-008,1.2627
3.36854e-008,1.2627
3.37279e-008,1.2627
3.37703e-008,1.2627
3.38127e-008,1.2628
3.38552e-008,1.2628
3.38976e-008,1.2627
3.39400e-008,1.2627
3.39824e-008,1.2627
3.40249e-008,1.2627
3.40673e-008,1.2628
3.41097e-008,1.2627
3.41521e-008,1.2627
3.41945e-008,1.2627
3.42370e-008,1.2627
3.42794e-008,1.2627
3.43218e-008,1.2627
3.43643e-008,1.2627
3.44067e-008,1.2627
3.44491e-008,1.2627
3.44915e-008,1.2627
3.45340e-008,1.2627
3.45764e-008,1.2627
3.46188e-008,1.2627
3.46612e-008,1.2627
3.47036e-008,1.2627
3.47461e-008,1.2627
3.47885e-008,1.2627
3.48309e-008,1.2627
3.48733e-008,1.2627
3.49158e-008,1.2627
3.49582e-008,1.2627
3.50006e-008,1.2627
3.50431e-008,1.2611
3.50855e-008,1.1891
3.51279e-008,0.9539
3.51703e-008,0.7587
3.52128e-008,0.5565
3.52552e-008,0.4028
3.52976e-008,0.3264
3.53400e-008,0.2842
3.53824e-008,0.2824
3.54249e-008,0.2661
3.54673e-008,0.2537
3.55097e-008,0.2552
3.55522e-008,0.2620
3.55946e-008,0.2864
3.56370e-008,0.2907
3.56794e-008,0.2811
3.57219e-008,0.2696
3.57643e-008,0.2736
3.58067e-008,0.2919
3.58491e-008,0.2963
3.58915e-008,0.2855
3.59340e-008,0.2577
3.59764e-008,0.2334
3.60188e-008,0.2209
3.60613e-008,0.2140
3.61037e-008,0.2212
3.61461e-008,0.2300
3.61885e-008,0.2319
3.62310e-008,0.2267
3.62734e-008,0.2170
3.63158e-008,0.2138
3.63582e-008,0.2155
3.64006e-008,0.2187
3.64431e-008,0.2181
3.64855e-008,0.2128
3.65279e-008,0.2100
3.65703e-008,0.2109
3.66128e-008,0.2139
3.66552e-008,0.2153
3.66976e-008,0.2139
3.67401e-008,0.2125
3.67825e-008,0.2123
3.68249e-008,0.2134
3.68673e-008,0.2147
3.69097e-008,0.2167
3.69522e-008,0.2183
3.69946e-008,0.2172
3.70370e-008,0.2148
3.70794e-008,0.2131
3.71219e-008,0.2137
3.71643e-008,0.2157
3.72067e-008,0.2168
3.72492e-008,0.2164
3.72916e-008,0.2152
3.73340e-008,0.2148
3.73764e-008,0.2153
3.74189e-008,0.2159
3.74613e-008,0.2161
3.75037e-008,0.2158
3.75461e-008,0.2155
3.75885e-008,0.2154
3.76310e-008,0.2153
3.76734e-008,0.2154
3.77158e-008,0.2158
3.77583e-008,0.2160
3.78007e-008,0.2156
3.78431e-008,0.2151
3.78855e-008,0.2150
3.79280e-008,0.2154
3.79704e-008,0.2159
3.80128e-008,0.2159
3.80552e-008,0.2156
3.80976e-008,0.2153
3.81401e-008,0.2153
3.81825e-008,0.2155
3.82249e-008,0.2156
3.82673e-008,0.2156
3.83098e-008,0.2156
3.83522e-008,0.2155
3.83946e-008,0.2155
3.84371e-008,0.2155
3.84795e-008,0.2155
3.85219e-008,0.2157
3.85643e-008,0.2157
3.86067e-008,0.2156
3.86492e-008,0.2155
3.86916e-008,0.2155
3.87340e-008,0.2156
3.87764e-008,0.2157
3.88189e-008,0.2156
3.88613e-008,0.2155
3.89037e-008,0.2155
3.89462e-008,0.2156
3.89886e-008,0.2156
3.90310e-008,0.2156
3.90734e-008,0.2156
3.91159e-008,0.2156
3.91583e-008,0.2156
3.92007e-008,0.2156
3.92431e-008,0.2156
3.92855e-008,0.2156
3.93280e-008,0.2156
3.93704e-008,0.2156
3.94128e-008,0.2156
3.94553e-008,0.2156
3.94977e-008,0.2156
3.95401e-008,0.2156
3.95825e-008,0.2156
3.96250e-008,0.2156
3.96674e-008,0.2156
3.97098e-008,0.2156
3.97522e-008,0.2156
3.97946e-008,0.2156
3.98371e-008,0.2156
3.98795e-008,0.2156
3.99219e-008,0.2156
3.99644e-008,0.2156
4.00068e-008,0.2156
4.00492e-008,0.2156
4.00916e-008,0.2157
4.01341e-008,0.2157
4.01765e-008,0.2157
4.02189e-008,0.2157
4.02613e-008,0.2157
4.03037e-008,0.2157
4.03462e-008,0.2157
4.03886e-008,0.2157
4.04310e-008,0.2157
4.04734e-008,0.2157
4.05159e-008,0.2157
4.05583e-008,0.2157
4.06007e-008,0.2157
4.06432e-008,0.2157
4.06856e-008,0.2161
4.07280e-008,0.3202
4.07704e-008,0.5067
4.08128e-008,0.7027
4.08553e-008,0.9162
4.08977e-008,1.0460
4.09401e-008,1.1275
4.09825e-008,1.1644
4.10250e-008,1.1784
4.10674e-008,1.2035
4.11098e-008,1.2115
4.11523e-008,1.2201
4.11947e-008,1.2089
4.12371e-008,1.1905
4.12795e-008,1.1873
4.13220e-008,1.1914
4.13644e-008,1.2048
4.14068e-008,1.2001
4.14492e-008,1.1881
4.14916e-008,1.1804
4.15341e-008,1.1888
4.15765e-008,1.2156
4.16189e-008,1.2382
4.16614e-008,1.2536
4.17038e-008,1.2555
4.17462e-008,1.2478
4.17886e-008,1.2436
4.18311e-008,1.2432
4.18735e-008,1.2511
4.19159e-008,1.2596
4.19583e-008,1.2631
4.20007e-008,1.2623
4.20432e-008,1.2588
4.20856e-008,1.2600
4.21280e-008,1.2643
4.21704e-008,1.2678
4.22129e-008,1.2678
4.22553e-008,1.2646
4.22977e-008,1.2628
4.23402e-008,1.2635
4.23826e-008,1.2655
4.24250e-008,1.2663
4.24674e-008,1.2652
4.25098e-008,1.2632
4.25523e-008,1.2551
4.25947e-008,1.1440
4.26371e-008,0.9048
4.26795e-008,0.7201
4.27220e-008,0.5217
4.27644e-008,0.3842
4.28068e-008,0.3151
4.28493e-008,0.2801
4.28917e-008,0.2800
4.29341e-008,0.2618
4.29765e-008,0.2549
4.30190e-008,0.2558
4.30614e-008,0.2664
4.31038e-008,0.2892
4.31462e-008,0.2886
4.31886e-008,0.2790
4.32311e-008,0.2690
4.32735e-008,0.2780
4.33159e-008,0.2944
4.33584e-008,0.2952
4.34008e-008,0.2807
4.34432e-008,0.2518
4.34856e-008,0.2310
4.35281e-008,0.2194
4.35705e-008,0.2146
4.36129e-008,0.2234
4.36553e-008,0.2307
4.36977e-008,0.2317
4.37402e-008,0.2251
4.37826e-008,0.2162
4.38250e-008,0.2143
4.38675e-008,0.2162
4.39099e-008,0.2191
4.39523e-008,0.2173
4.39947e-008,0.2122
4.40372e-008,0.2103
4.40796e-008,0.2117
4.41220e-008,0.2146
4.41644e-008,0.2153
4.42068e-008,0.2136
4.42493e-008,0.2126
4.42917e-008,0.2128
4.43341e-008,0.2139
4.43765e-008,0.2152
4.44190e-008,0.2173
4.44614e-008,0.2184
4.45038e-008,0.2170
4.45463e-008,0.2146
4.45887e-008,0.2133
4.46311e-008,0.2143
4.46735e-008,0.2162
4.47160e-008,0.2170
4.47584e-008,0.2164
4.48008e-008,0.2153
4.48432e-008,0.2151
4.48856e-008,0.2157
4.49281e-008,0.2162
4.49705e-008,0.2162
4.50129e-008,0.2159
4.50554e-008,0.2157
4.50978e-008,0.2156
4.51402e-008,0.2155
4.51826e-008,0.2156
4.52251e-008,0.2160
4.52675e-008,0.2161
